Atomodesma                               | Animal    | Mollusca                   | -268800000    | -252170000   | <>
Atractyliopsis                           | Plant     | Chlorophyta                | -268800000    | -2.651e+08   | <>
Attenuatella                             | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Aulacogastrioceras                       | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Aulohelia                                | Animal    | Cnidaria                   | -268800000    | -2.599e+08   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -268800000    | -2.651e+08   | Aulopora
Aulosteges                               | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Auriculospongia                          | Animal    | Porifera                   | -268800000    | -2.599e+08   | <>
Australerpeton                           | Animal    | Chordata                   | -268800000    | -254170000   | Australerpeton
Australosyodon                           | Animal    | Chordata                   | -268800000    | -2.651e+08   | Australosyodon
Australotheca                            | Animal    | Hyolitha                   | -268800000    | -2.651e+08   | <>
Australoxylon                            | Plant     | Pinophyta                  | -268800000    | -252170000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -268800000    | -254170000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Avonia                                   | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | Avonia
Babylonites                              | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Bageherpeton                             | Animal    | Chordata                   | -272300000    | -2.599e+08   | Bageherpeton
Baiera                                   | Plant     | Ginkgophyta                | -268800000    | -2.599e+08   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -268800000    | -252170000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Baisalina                                | Micro     | Foraminifera               | -268000000    | -265000000   | <>
Bajkuria                                 | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Bajtugania                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Bakevellia                               | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Balatonia                                | Animal    | Porifera                   | -268800000    | -2.651e+08   | <>
Bamberina                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Bamyaniceras                             | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Bansheepteron                            | Animal    | Arthropoda                 | -290100000    | -2.651e+08   | <>
Barbclabornia                            | Animal    | Chordata                   | -298900000    | -252170000   | Barbclabornia
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | Bardella
Bardocarpus                              | Plant     | Peltaspermophyta           | -268800000    | -2.599e+08   | <>
Bashkirosaurus                           | Animal    | Chordata                   | -268000000    | -265000000   | Bashkirosaurus
Bashkyroleter                            | Animal    | Chordata                   | -268000000    | -265000000   | Bashkyroleter
Basslerella                              | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Bathymyonia                              | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Batostomella                             | Animal    | Bryozoa                    | -268800000    | -2.599e+08   | <>
Batrachichnus                            | Animal    | Chordata                   | -290100000    | -2.599e+08   | <>
Bauneia                                  | Animal    | Porifera                   | -268800000    | -2.651e+08   | <>
Bayhaium                                 | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Baylea                                   | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Beecheria                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Belebey                                  | Animal    | Chordata                   | -268000000    | -265000000   | Belebey
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Belemnopteris                            | Plant     | Pteridophyta               | -268800000    | -252170000   | <>
Bellerophon                              | Animal    | Mollusca                   | -268800000    | -2.599e+08   | Bellerophon
Betaneospirifer                          | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Beurlenella                              | Animal    | Mollusca                   | -268800000    | -2.599e+08   | <>
Beyrichia                                | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Biarmeaspira                             | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Biarmica                                 | Animal    | Chordata                   | -279500000    | -268000000   | <>
Biarmosuchoides                          | Animal    | Chordata                   | -268000000    | -265000000   | Biarmosuchoides
Biarmosuchus                             | Animal    | Chordata                   | -268000000    | -265000000   | Biarmosuchus
Bicamella                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Bicornuticaudina                         | Animal    | Echinodermata              | -268800000    | -2.651e+08   | <>
Bilotina                                 | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Birdsallella                             | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Bisiphonella                             | Animal    | Porifera                   | -268800000    | -2.651e+08   | <>
Bisolcatelasma                           | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Bitaunioceras                            | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Bitaunioceras
Biwaella                                 | Micro     | Foraminifera               | -298900000    | -2.599e+08   | <>
Blasispirifer                            | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Bolosaurus                               | Animal    | Chordata                   | -290100000    | -268000000   | Bolosaurus
Boreoperlidium                           | Animal    | Arthropoda                 | -268000000    | -265000000   | <>
Borestus                                 | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Bothrionia                               | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Boultonia                                | Micro     | Foraminifera               | -268800000    | -2.599e+08   | <>
Bowmanites                               | Plant     | Equisetophyta              | -272300000    | -2.651e+08   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Brachydectes                             | Animal    | Chordata                   | -290100000    | -268000000   | Brachydectes
Brachyphyllum                            | Plant     | Coniferophyta              | -358900000    | -252170000   | Brachyphyllum
Brachyprosopus                           | Animal    | Chordata                   | -268800000    | -2.599e+08   | Brachyprosopus
Brachythyrina                            | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Brachythyris                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bradyina                                 | Micro     | Foraminifera               | -268000000    | -265000000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -268800000    | -2.599e+08   | <>
Bransonia                                | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Bransonoceras                            | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Broiliellus                              | Animal    | Chordata                   | -296400000    | -268000000   | Broiliellus
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Bruntonia                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Bryorhynchus                             | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Bullacephalus                            | Animal    | Chordata                   | -268800000    | -2.599e+08   | Bullacephalus
Buxtonia                                 | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Cactosteges                              | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Calamites                                | Plant     | Sphenophyta                | -268800000    | -2.599e+08   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -272500000    | -252300000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -268800000    | -2.651e+08   | <>
Calathium                                | Plant     | Chlorophyta                | -268800000    | -2.599e+08   | <>
Calceolispongia                          | Animal    | Echinodermata              | -268800000    | -2.651e+08   | Calceolispongia
Calcitornella                            | Micro     | Foraminifera               | -268800000    | -2.651e+08   | <>
Calcivertella                            | Micro     | Foraminifera               | -268800000    | -2.651e+08   | <>
Calclyra                                 | Animal    | Echinodermata              | -268800000    | -2.651e+08   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Calliprotonia                            | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -268800000    | -2.599e+08   | Callipteris
Callispirina                             | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Callistadia                              | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -268800000    | -2.599e+08   | <>
Camarophorina                            | Animal    | Brachiopoda                | -272300000    | -254170000   | <>
Cambodgia                                | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Camerisma                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Canalisella                              | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
