Atrochaetetes                            | Animal    | Porifera                   | -242000000    | -228000000   | <>
Aulacoceras                              | Animal    | Mollusca                   | -242000000    | -228000000   | Aulacoceras
Aulacothyris                             | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Aulacothyroides                          | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Aulotortus                               | Micro     | Foraminifera               | -242000000    | -235000000   | <>
Austriellula                             | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Austrocolomia                            | Micro     | Foraminifera               | -242000000    | -237000000   | <>
Austroidelia                             | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Austrotindaria                           | Animal    | Mollusca                   | -252170000    | -201300000   | <>
Aviamysis                                | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Avicula                                  | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Avicularca                               | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -242000000    | -237000000   | Aviculopecten
Avocatinus                               | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Axenopterum                              | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Axicrinus                                | Animal    | Echinodermata              | -242000000    | -237000000   | <>
Azendohsaurus                            | Animal    | Chordata                   | -242000000    | -228000000   | Azendohsaurus
Bacutriletes                             | Plant     | Lycophyta                  | -247200000    | -201300000   | <>
Badiotella                               | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Badiotites                               | Animal    | Mollusca                   | -242000000    | -237000000   | Badiotites
Baharellinus                             | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Baharellus                               | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -242000000    | -228000000   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -242000000    | -237000000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Bakevellia                               | Animal    | Mollusca                   | -242000000    | -232000000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -242000000    | -237000000   | <>
Balantioselena                           | Animal    | Mollusca                   | -242000000    | -228000000   | <>
Balatonia                                | Animal    | Porifera                   | -242000000    | -228000000   | <>
Balatonites                              | Animal    | Mollusca                   | -242000000    | -237000000   | Balatonites
Balatonospira                            | Animal    | Brachiopoda                | -242000000    | -228000000   | <>
Barbafera                                | Animal    | Annelida                   | -242000000    | -228000000   | <>
Barbatia                                 | Animal    | Mollusca                   | -242000000    | -235000000   | Barbatia
Barberenasuchus                          | Animal    | Chordata                   | -242000000    | -237000000   | Barberenasuchus
Barracudasaurus                          | Animal    | Chordata                   | -247200000    | -237000000   | Barracudasaurus
Barrandeites                             | Animal    | Mollusca                   | -242000000    | -237000000   | Barrandeites
Bathysynactites                          | Animal    | Echinodermata              | -242000000    | -235000000   | <>
Batkenia                                 | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Batkenopterum                            | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Batkentak                                | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Batrachopus                              | Animal    | Chordata                   | -247200000    | -237000000   | Batrachopus
Batrachotomus                            | Animal    | Chordata                   | -242000000    | -235000000   | Batrachotomus
Baumgartneria                            | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Beaconiella                              | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Bektasia                                 | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Bellidispongia                           | Animal    | Porifera                   | -242000000    | -235000000   | <>
Belonorhynchus                           | Animal    | Chordata                   | -242000000    | -237000000   | <>
Berckhemeraster                          | Animal    | Echinodermata              | -242000000    | -237000000   | <>
Bernoullia                               | Plant     | Pteridophyta               | -242000000    | -228000000   | Bernoullia
Besania                                  | Animal    | Chordata                   | -242000000    | -235000000   | Besania
Besanosaurus                             | Animal    | Chordata                   | -247200000    | -237000000   | Besanosaurus
Betraccium                               | Micro     | Radiolaria                 | -247200000    | -237000000   | <>
Beturiella                               | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -242000000    | -235000000   | <>
Beyrichites                              | Animal    | Mollusca                   | -247200000    | -221500000   | Beyrichites
Bigenerina                               | Micro     | Foraminifera               | -242000000    | -237000000   | <>
Birgeria                                 | Animal    | Chordata                   | -242000000    | -235000000   | Birgeria
Bittneria                                | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Bittnerula                               | Animal    | Brachiopoda                | -242000000    | -235000000   | <>
Bjuvia                                   | Plant     | Cycadophyta                | -242000000    | -237000000   | <>
Blattomerope                             | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Blezingeria                              | Animal    | Chordata                   | -247200000    | -237000000   | Blezingeria
Bogdanella                               | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Boreiospira                              | Animal    | Brachiopoda                | -242000000    | -237000000   | <>
Boreocixius                              | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Boreosomus                               | Animal    | Chordata                   | -242000000    | -235000000   | Boreosomus
Borysthenia                              | Plant     | Coniferophyta              | -242000000    | -228000000   | Borysthenia
Bositra                                  | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Botulopsis                               | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Brachychirotherium                       | Animal    | Chordata                   | -247200000    | -237000000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -242000000    | -208500000   | Brachyphyllum
Brasinorhynchus                          | Animal    | Chordata                   | -242000000    | -237000000   | Brasinorhynchus
Brevilocustavus                          | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
Brevisaurichthys                         | Animal    | Chordata                   | -242000000    | -235000000   | <>
Brochidium                               | Animal    | Mollusca                   | -242000000    | -237000000   | <>
Buccinites                               | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Bucklandiopsis                           | Plant     | Cycadophyta                | -242000000    | -237000000   | <>
Budurovignathus                          | Animal    | Chordata                   | -242000000    | -235000000   | Budurovignathus
Bugunzhites                              | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Bukobaja                                 | Animal    | Chordata                   | -242000000    | -237000000   | Bukobaja
Bulbocyrtium                             | Micro     | Radiolaria                 | -242000000    | -235000000   | <>
Bullatihungarites                        | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Bullopora                                | Micro     | Foraminifera               | -242000000    | -235000000   | <>
Bupecten                                 | Animal    | Mollusca                   | -242000000    | -232000000   | <>
Busuanga                                 | Micro     | Radiolaria                 | -242000000    | -237000000   | Busuanga
Bystrowiella                             | Animal    | Chordata                   | -242000000    | -235000000   | Bystrowiella
Bythocypris                              | Animal    | Arthropoda                 | -242000000    | -237000000   | <>
