Calyptaulax                              | Animal    | Arthropoda                 | -468100000    | -449500000   | Calyptaulax
Calyptolepta                             | Animal    | Brachiopoda                | -468100000    | -463500000   | <>
Camerella                                | Animal    | Brachiopoda                | -468100000    | -460900000   | <>
Cameroceras                              | Animal    | Mollusca                   | -468100000    | -452500000   | Cameroceras
Campbelloceras                           | Animal    | Mollusca                   | -478600000    | -468100000   | Campbelloceras
Campendoceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Campendoceras
Canadocystis                             | Animal    | Echinodermata              | -468100000    | -460900000   | <>
Carabocrinus                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Carcassonnella                           | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Cardiograptus                            | Animal    | Hemichordata               | -468100000    | -460900000   | Cardiograptus
Carolinites                              | Animal    | Arthropoda                 | -468100000    | -460900000   | Carolinites
Carrickia                                | Animal    | Arthropoda                 | -468100000    | -449500000   | <>
Caryocaris                               | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Cassinoceras                             | Animal    | Mollusca                   | -470000000    | -458400000   | Cassinoceras
Catamarcaia                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cataschisma                              | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Catenipora                               | Animal    | Cnidaria                   | -470000000    | -419200000   | Catenipora
Catochia                                 | Animal    | Arthropoda                 | -478600000    | -468100000   | <>
Catoraphiceras                           | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Catoraphinoceras                         | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cavernolites                             | Animal    | Hyolitha                   | -478600000    | -466000000   | <>
Celdobolus                               | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Celmus                                   | Animal    | Arthropoda                 | -471800000    | -466000000   | Celmus
Centrotarphyceras                        | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -478600000    | -466000000   | Ceramopora
Ceramoporella                            | Animal    | Bryozoa                    | -468100000    | -460900000   | <>
Ceratiocaris                             | Animal    | Arthropoda                 | -471800000    | -457500000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -468100000    | -449500000   | Ceratocephala
Ceratoleperditia                         | Animal    | Arthropoda                 | -478600000    | -468100000   | <>
