Azabbaremys                              | Animal    | Chordata                   | -61700000     | -55800000    | Azabbaremys
Azolla                                   | Plant     | Pteridophyta               | -61700000     | -56800000    | Azolla
Azollopsis                               | Plant     | Pteridophyta               | -72100000     | -56000000    | <>
Babylonella                              | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Baculatisporites                         | Plant     | Pteridophyta               | -100500000    | -33900000    | <>
Baibiancarpus                            | Plant     | Angiospermae               | -66000000     | -23030000    | <>
Baiotomeus                               | Animal    | Chordata                   | -61700000     | -56800000    | Baiotomeus
Bairdia                                  | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Balanophyllia                            | Animal    | Cnidaria                   | -61600000     | -56000000    | Balanophyllia
Balanus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Balanus
Balcis                                   | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Balmeisporites                           | Plant     | Pinophyta                  | -72100000     | -56000000    | <>
Baluchicardia                            | Animal    | Mollusca                   | -61600000     | -59200000    | Baluchicardia
Bambusites                               | Plant     | Angiospermae               | -66000000     | -2588000     | <>
Banaraphyllum                            | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Bantamia                                 | Animal    | Cnidaria                   | -66000000     | -56000000    | <>
Baratangia                               | Micro     | Cyanobacteria              | -66000000     | -47800000    | <>
Barbatia                                 | Animal    | Mollusca                   | -61600000     | -56000000    | Barbatia
Barylambda                               | Animal    | Chordata                   | -61700000     | -56800000    | Barylambda
Basilissa                                | Animal    | Mollusca                   | -61600000     | -59200000    | Basilissa_(gastropod)
Basilosaurus                             | Animal    | Chordata                   | -66000000     | -2588000     | Basilosaurus
Basopollis                               | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Bathosella                               | Animal    | Bryozoa                    | -66000000     | -56000000    | <>
Bathropyramis                            | Micro     | Radiolaria                 | -61600000     | -59200000    | <>
Bathyarca                                | Animal    | Mollusca                   | -61700000     | -55800000    | Bathyarca
Batillaria                               | Animal    | Mollusca                   | -61600000     | -56000000    | Batillaria
Batissa                                  | Animal    | Mollusca                   | -66000000     | -23030000    | <>
Batrachoidiformorum                      | Animal    | Chordata                   | -61600000     | -59200000    | <>
Bayania                                  | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Beaupreaidites                           | Plant     | Spermatophyta              | -100500000    | -5333000     | <>
Belliscala                               | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Belonostomus                             | Animal    | Chordata                   | -61700000     | -56800000    | Belonostomus
Beloptera                                | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Bemalambda                               | Animal    | Chordata                   | -61700000     | -58700000    | <>
Bembidium                                | Animal    | Arthropoda                 | -61600000     | -59200000    | Bembidium
Benoistia                                | Animal    | Mollusca                   | -66000000     | -58700000    | Benoistia
Berchemia                                | Plant     | Spermatophyta              | -66000000     | -2588000     | Berchemia
Berhamniphyllum                          | Plant     | Spermatophyta              | -66000000     | -33900000    | <>
Bernaya                                  | Animal    | Mollusca                   | -66000000     | -56000000    | Bernaya
Berrulestes                              | Animal    | Chordata                   | -61600000     | -59200000    | <>
Berruornis                               | Animal    | Chordata                   | -61600000     | -59200000    | Berruornis
Bessoecetor                              | Animal    | Chordata                   | -61700000     | -56800000    | <>
Betula                                   | Plant     | Spermatophyta              | -66000000     | -2588000     | Betula
Bibio                                    | Animal    | Arthropoda                 | -61600000     | -59200000    | Bibio_(fly)
Bicorbula                                | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Biddulphia                               | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Bidenichthys                             | Animal    | Chordata                   | -61600000     | -59200000    | Bidenichthys
Bignonia                                 | Plant     | Magnoliophyta              | -66000000     | -23030000    | Bignonia
Biplica                                  | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Bisonalveus                              | Animal    | Chordata                   | -61700000     | -56800000    | Bisonalveus
Bithynia                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Bithynia
Bittiscala                               | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Bittium                                  | Animal    | Mollusca                   | -61600000     | -59200000    | Bittium
Blattidium                               | Animal    | Arthropoda                 | -61600000     | -59200000    | <>
Blechnum                                 | Plant     | Pteridophyta               | -66000000     | -5333000     | Blechnum
Bolboceras                               | Animal    | Arthropoda                 | -61600000     | -59200000    | Bolboceras
Boltenella                               | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Bombacacidites                           | Plant     | Spermatophyta              | -66000000     | -33900000    | <>
Bonellitia                               | Animal    | Mollusca                   | -61600000     | -59200000    | Bonellitia
Borealosuchus                            | Animal    | Chordata                   | -61700000     | -56800000    | Borealosuchus
Boreocomitas                             | Animal    | Mollusca                   | -61600000     | -56000000    | Boreocomitas
Bornia                                   | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Borsonia                                 | Animal    | Mollusca                   | -61600000     | -59200000    | Borsonia
Bothremys                                | Animal    | Chordata                   | -61600000     | -59200000    | Bothremys
Bothriostylops                           | Animal    | Chordata                   | -61700000     | -58700000    | <>
Bothrocorbula                            | Animal    | Mollusca                   | -66000000     | -58700000    | <>
Botrychium                               | Plant     | Pteridophyta               | -66000000     | -56000000    | Botrychium
Botryococcus                             | Plant     | Chlorophyta                | -100500000    | -33900000    | Botryococcus
Boualitomus                              | Animal    | Chordata                   | -61600000     | -59200000    | <>
Bouchardia                               | Animal    | Brachiopoda                | -66000000     | -23030000    | <>
Bourguetia                               | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Boverisuchus                             | Animal    | Chordata                   | -61600000     | -59200000    | Boverisuchus
Brachidontes                             | Animal    | Mollusca                   | -61700000     | -55800000    | Brachidontes
