Anatosuchus                              | Animal    | Chordata                   | -122460000    | -109000000   | Anatosuchus
Anchura                                  | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Ancorale                                 | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Ancyloceras                              | Animal    | Mollusca                   | -113000000    | -100500000   | Ancyloceras
Anditrigonia                             | Animal    | Mollusca                   | -112030000    | -109000000   | <>
Andreaea                                 | Animal    | Porifera                   | -109000000    | -105300000   | Andreaea
Anemia                                   | Plant     | Pteridophyta               | -112030000    | -99600000    | Anemia_(plant)
Angarosphex                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Angaturama                               | Animal    | Chordata                   | -113000000    | -100500000   | Angaturama
Anglonautilus                            | Animal    | Mollusca                   | -112030000    | -109000000   | <>
Angolaichnus                             | Animal    | Chordata                   | -122460000    | -112030000   | <>
Angulatergum                             | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Angulathilda                             | Animal    | Mollusca                   | -112030000    | -109000000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -112030000    | -105300000   | <>
Anhanguera                               | Animal    | Chordata                   | -105300000    | -99600000    | Anhanguera_(pterosaur)
Aniabrochus                              | Animal    | Brachiopoda                | -105300000    | -99600000    | <>
Animantarx                               | Animal    | Chordata                   | -105300000    | -99600000    | Animantarx
Anisocardia                              | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Anisoceras                               | Animal    | Mollusca                   | -105300000    | -93500000    | Anisoceras
Anisomyon                                | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Ankylosphenodon                          | Animal    | Chordata                   | -113000000    | -100500000   | Ankylosphenodon
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -105300000    | -93500000    | <>
Anomalaeschna                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Anomalina                                | Micro     | Foraminifera               | -105300000    | -99600000    | <>
Anomia                                   | Animal    | Mollusca                   | -109000000    | -105300000   | Anomia_(bivalve)
Anomoeodus                               | Animal    | Chordata                   | -112030000    | -109000000   | Anomoeodus
Anomoepus                                | Animal    | Chordata                   | -105300000    | -93500000    | Anomoepus
Anomotodon                               | Animal    | Chordata                   | -105300000    | -99600000    | Anomotodon
Anopaea                                  | Animal    | Mollusca                   | -113000000    | -100500000   | <>
Anorthopygus                             | Animal    | Echinodermata              | -105300000    | -93500000    | <>
Anteophthalmosuchus                      | Animal    | Chordata                   | -112030000    | -109000000   | Anteophthalmosuchus
Anthocephalinus                          | Animal    | Arthropoda                 | -113000000    | -100500000   | <>
Antholithes                              | Plant     | Pteridospermophyta         | -113000000    | -100500000   | <>
Anthonya                                 | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Anticonulus                              | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Antiquis                                 | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Antodicranomyia                          | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Antulsporites                            | Plant     | Pteridophyta               | -112030000    | -109000000   | <>
Apateodus                                | Animal    | Chordata                   | -105300000    | -93900000    | Apateodus
Apatomerus                               | Animal    | Chordata                   | -113000000    | -100500000   | Apatomerus
Apatorhamphus                            | Animal    | Chordata                   | -113000000    | -93900000    | Apatorhamphus
Aphrocallistes                           | Animal    | Porifera                   | -105300000    | -99600000    | Aphrocallistes
Aphrodina                                | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Apiblatta                                | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -113000000    | -100500000   | <>
Apiocrinites                             | Animal    | Echinodermata              | -105300000    | -99600000    | Apiocrinites
Aplopsammia                              | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Aplousina                                | Animal    | Bryozoa                    | -105300000    | -99600000    | <>
Apoplacophyllia                          | Animal    | Cnidaria                   | -113000000    | -100500000   | <>
Aporrhais                                | Animal    | Mollusca                   | -105300000    | -93900000    | Aporrhais
Aposerphites                             | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Appendicisporites                        | Plant     | Pteridophyta               | -109000000    | -105300000   | <>
Appomatoxia                              | Plant     | Angiospermae               | -112030000    | -105300000   | <>
Appudiceras                              | Animal    | Mollusca                   | -105300000    | -99600000    | <>
Apticax                                  | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Aptolinter                               | Animal    | Mollusca                   | -112030000    | -109000000   | <>
Aptyxiella                               | Animal    | Mollusca                   | -112030000    | -109000000   | <>
Aquatifolia                              | Plant     | Spermatophyta              | -109000000    | -99600000    | <>
Aquatilavipes                            | Animal    | Chordata                   | -125000000    | -100500000   | <>
Aquia                                    | Plant     | Spermatophyta              | -112030000    | -105300000   | <>
Aquilops                                 | Animal    | Chordata                   | -109000000    | -99600000    | Aquilops
Arabicodium                              | Plant     | Chlorophyta                | -105300000    | -99600000    | Arabicodium
Aragochersis                             | Animal    | Chordata                   | -112030000    | -109000000   | <>
Aragomantispa                            | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Aragonimantis                            | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Aragonitermes                            | Animal    | Arthropoda                 | -105300000    | -99600000    | <>
Araliaephyllum                           | Plant     | Spermatophyta              | -105300000    | -99600000    | <>
Aralia                                   | Plant     | Spermatophyta              | -105300000    | -99600000    | Aralia
Araliopsoides                            | Plant     | Spermatophyta              | -105300000    | -99600000    | <>
Araripebelostomum                        | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripeberotha                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripechlorogomphus                     | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripechrysa                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripegomphus                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripegryllus                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripeleon                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripelepidotes                         | Animal    | Chordata                   | -122460000    | -109000000   | <>
Araripelibellula                         | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripeliupanshania                      | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripelocusta                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripemyrmecophilops                    | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripemys                               | Animal    | Chordata                   | -105300000    | -93500000    | Araripemys
Araripeneura                             | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripenymphes                           | Animal    | Arthropoda                 | -122460000    | -112030000   | Araripenymphes
Araripephlebia                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Arariperhinus                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripescolia                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripescorpius                          | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araripesuchus                            | Animal    | Chordata                   | -112030000    | -109000000   | Araripesuchus
Arariphrynus                             | Animal    | Chordata                   | -122460000    | -112030000   | <>
Araripia                                 | Plant     | Magnoliophyta              | -122460000    | -112030000   | <>
Araripichthys                            | Animal    | Chordata                   | -109000000    | -99600000    | Araripichthys
Araripogon                               | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -105300000    | -93500000    | <>
Araucaria                                | Plant     | Pinophyta                  | -105300000    | -89300000    | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
