Ateleocystites                           | Animal    | Echinodermata              | -452000000    | -443700000   | <>
Atractopyge                              | Animal    | Arthropoda                 | -449500000    | -443700000   | Atractopyge
Atrypa                                   | Animal    | Brachiopoda                | -445200000    | -440800000   | Atrypa
Atrypina                                 | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Augustoceras                             | Animal    | Mollusca                   | -449500000    | -443700000   | Augustoceras
Aulacera                                 | Animal    | Porifera                   | -445200000    | -443400000   | <>
Aulacognathus                            | Animal    | Chordata                   | -449500000    | -412300000   | <>
Aulocopella                              | Animal    | Porifera                   | -449500000    | -443700000   | <>
Aulocopium                               | Animal    | Porifera                   | -449500000    | -443700000   | <>
Austinella                               | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Avitograptus                             | Animal    | Hemichordata               | -445200000    | -443400000   | <>
Azygograptus                             | Animal    | Hemichordata               | -449500000    | -443400000   | <>
Bactroceras                              | Animal    | Mollusca                   | -456100000    | -443700000   | Bactroceras
Bactrotheca                              | Animal    | Hyolitha                   | -445200000    | -443400000   | Bactrotheca
Baikitolites                             | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Bajgolia                                 | Animal    | Cnidaria                   | -453000000    | -443400000   | <>
Baltiscanella                            | Animal    | Mollusca                   | -485400000    | -443400000   | <>
Baltoniodus                              | Animal    | Chordata                   | -452000000    | -443700000   | Baltoniodus
Bancroftina                              | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Baniaspis                                | Animal    | Arthropoda                 | -445600000    | -443700000   | <>
Barbarorthis                             | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Barbatulella                             | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Barrandeocarpus                          | Animal    | Echinodermata              | -445200000    | -443400000   | <>
Basslerites                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Batherocystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Bathyurus                                | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Batostoma                                | Animal    | Bryozoa                    | -445200000    | -443400000   | <>
Batostomella                             | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Beatricea                                | Micro     | Radiolaria                 | -449500000    | -443700000   | <>
Becscia                                  | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belenopyge                               | Animal    | Arthropoda                 | -445200000    | -443400000   | <>
Bellerophon                              | Animal    | Mollusca                   | -445600000    | -443700000   | Bellerophon
Belodella                                | Animal    | Chordata                   | -449500000    | -443700000   | <>
Belodina                                 | Animal    | Chordata                   | -445200000    | -443400000   | <>
Beloitoceras                             | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Belonechitina                            | Micro     | Sarcodina                  | -445200000    | -443400000   | Belonechitina
Belubulaia                               | Animal    | Porifera                   | -449500000    | -443700000   | <>
Berenicea                                | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Besselodus                               | Animal    | Chordata                   | -449500000    | -427400000   | <>
Bickmorites                              | Animal    | Mollusca                   | -449500000    | -443700000   | Bickmorites
Bicuspina                                | Animal    | Brachiopoda                | -449500000    | -433400000   | <>
Biernatia                                | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Bighornia                                | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Billingsites                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Bimuria                                  | Animal    | Brachiopoda                | -449500000    | -443400000   | Bimuria
Biparetis                                | Animal    | Brachiopoda                | -445200000    | -443400000   | <>
Birksfeldia                              | Animal    | Chordata                   | -445200000    | -443400000   | <>
Birmanites                               | Animal    | Arthropoda                 | -449500000    | -443700000   | Birmanites
Bitrigonocardia                          | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Bodacrinus                               | Animal    | Echinodermata              | -453000000    | -443400000   | <>
Bodophyllum                              | Animal    | Cnidaria                   | -445200000    | -438500000   | <>
Bodospira                                | Animal    | Mollusca                   | -445200000    | -443400000   | <>
Boeckaspis                               | Animal    | Arthropoda                 | -485400000    | -443400000   | <>
Bolbineossia                             | Animal    | Arthropoda                 | -449500000    | -433400000   | <>
Bollia                                   | Animal    | Arthropoda                 | -445200000    | -443400000   | <>
Boreadorthis                             | Animal    | Brachiopoda                | -445600000    | -443700000   | <>
Borealaspis                              | Animal    | Arthropoda                 | -449500000    | -443700000   | Borealaspis
Borelasma                                | Animal    | Cnidaria                   | -445200000    | -443400000   | <>
Borisella                                | Micro     | Radiolaria                 | -453000000    | -443400000   | <>
Bothriocidaris                           | Animal    | Echinodermata              | -449500000    | -443700000   | Bothriocidaris
Boucotspira                              | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Bowanophyllum                            | Animal    | Cnidaria                   | -449500000    | -443700000   | <>
Brachiospongia                           | Animal    | Porifera                   | -449500000    | -443700000   | <>
Brachyaspis                              | Animal    | Arthropoda                 | -449500000    | -443700000   | <>
Brachymimulus                            | Animal    | Brachiopoda                | -460900000    | -443700000   | <>
