Aspidothorax                             | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Asselodiscus                             | Micro     | Foraminifera               | -303700000    | -295500000   | <>
Astartella                               | Animal    | Mollusca                   | -303400000    | -268000000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -303400000    | -298900000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -311450000    | -300200000   | Asterotheca
Astreptorhachis                          | Animal    | Chordata                   | -303700000    | -298900000   | Astreptorhachis
Atactoblatta                             | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Athlocrinus                              | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Atractyliopsis                           | Plant     | Chlorophyta                | -303700000    | -298900000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -358900000    | -298900000   | Atrypa
Attenuatella                             | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Aulacotheca                              | Plant     | Pteridospermophyta         | -323200000    | -298900000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -323200000    | -298900000   | Aulopora
Aurikirkbya                              | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -301200000    | -300200000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -301200000    | -300200000   | <>
Avonia                                   | Animal    | Brachiopoda                | -303700000    | -298900000   | Avonia
Axophyllum                               | Animal    | Cnidaria                   | -301200000    | -300200000   | <>
Aykhal                                   | Animal    | Arthropoda                 | -303700000    | -298900000   | Aykhal
Bactrites                                | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Baeoneura                                | Animal    | Arthropoda                 | -307000000    | -298900000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -358900000    | -252170000   | Baiera
Bailliena                                | Animal    | Brachiopoda                | -314600000    | -298900000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -303400000    | -298900000   | <>
Bakevellia                               | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Balachonoblatta                          | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Baldwinonus                              | Animal    | Chordata                   | -303400000    | -298900000   | Baldwinonus
Barbclabornia                            | Animal    | Chordata                   | -303700000    | -298900000   | Barbclabornia
Bardocarpus                              | Plant     | Peltaspermophyta           | -303700000    | -298900000   | <>
Barrandeophyllum                         | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Bartramella                              | Micro     | Foraminifera               | -303700000    | -298900000   | <>
Bashkirella                              | Animal    | Bryozoa                    | -303700000    | -298900000   | <>
Basslerella                              | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Bathronocrinus                           | Animal    | Echinodermata              | -303400000    | -302200000   | <>
Bathymyonia                              | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Batostomella                             | Animal    | Bryozoa                    | -358900000    | -298900000   | <>
Baylea                                   | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Becquerelia                              | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
