Aviculopecten                            | Animal    | Mollusca                   | -296400000    | -268000000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Avocoleus                                | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Avonia                                   | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Axolithophyllum                          | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Babylonites                              | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Bactrites                                | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -298900000    | -295000000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -298900000    | -252170000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Bajkuria                                 | Animal    | Brachiopoda                | -298900000    | -290100000   | <>
Bakevellia                               | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Baldwinonus                              | Animal    | Chordata                   | -298900000    | -290100000   | Baldwinonus
Bandelzyga                               | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Bandoproductus                           | Animal    | Brachiopoda                | -298900000    | -290100000   | <>
Barakaria                                | Plant     | Sphenophyta                | -298900000    | -295500000   | <>
Barbclabornia                            | Animal    | Chordata                   | -298900000    | -252170000   | Barbclabornia
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | <>
Bardocarpus                              | Plant     | Peltaspermophyta           | -298900000    | -272300000   | <>
Barskoceras                              | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Basslerella                              | Animal    | Arthropoda                 | -298900000    | -252170000   | <>
Batostomella                             | Animal    | Bryozoa                    | -298900000    | -252170000   | <>
Batropetes                               | Animal    | Chordata                   | -298900000    | -295000000   | Batropetes
Bayhaium                                 | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Baylea                                   | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Bedicella                                | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Beecheria                                | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Belebey                                  | Animal    | Chordata                   | -303700000    | -295500000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnitomimus                           | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Bellazona                                | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Bellerophon                              | Animal    | Mollusca                   | -298900000    | -252170000   | Bellerophon_(genus)
Benshiella                               | Micro     | Foraminifera               | -298900000    | -295500000   | <>
Betaneospirifer                          | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -298900000    | -272300000   | <>
Biarmeaspira                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Bigenerina                               | Micro     | Foraminifera               | -303700000    | -290100000   | <>
Bilotina                                 | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Biseriella                               | Micro     | Foraminifera               | -298900000    | -295500000   | <>
Biwaella                                 | Micro     | Foraminifera               | -298900000    | -259900000   | <>
Blattinopsis                             | Animal    | Arthropoda                 | -298900000    | -290100000   | <>
Bobbodus                                 | Animal    | Chordata                   | -298900000    | -295500000   | Bobbodus
Boesites                                 | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Bogoslovskya                             | Animal    | Mollusca                   | -303700000    | -295500000   | Bogoslovskya
Bolicharewia                             | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Bolosaurus                               | Animal    | Chordata                   | -296400000    | -268000000   | Bolosaurus
Borestus                                 | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Boscoleus                                | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Boskovicia                               | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Bothroclisia                             | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Botrychiopsis                            | Plant     | Pteridophyta               | -298900000    | -290100000   | Botrychiopsis
Botryopteris                             | Plant     | Pteridophyta               | -298900000    | -290100000   | <>
Boultonia                                | Micro     | Foraminifera               | -298900000    | -295500000   | <>
Boutakovia                               | Animal    | Arthropoda                 | -298900000    | -290100000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -298900000    | -272300000   | <>
Brachydectes                             | Animal    | Chordata                   | -296400000    | -268000000   | Brachydectes
Brachymetopus                            | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -358900000    | -252170000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -296400000    | -268000000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bradyblatta                              | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Branchierpeton                           | Animal    | Chordata                   | -298900000    | -295000000   | Branchierpeton
Brevidorsum                              | Animal    | Chordata                   | -298900000    | -290100000   | Brevidorsum
Brnia                                    | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Broiliellus                              | Animal    | Chordata                   | -296400000    | -268000000   | Broiliellus
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Bruntonella                              | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Bruntonia                                | Animal    | Brachiopoda                | -296400000    | -268000000   | <>
Bulunites                                | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Cabarzia                                 | Animal    | Chordata                   | -298900000    | -295500000   | Cabarzia
Calamites                                | Plant     | Sphenophyta                | -298900000    | -252170000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -298900000    | -252170000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -298900000    | -272300000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -298900000    | -252170000   | Calceolispongia
Calcitornella                            | Micro     | Foraminifera               | -298900000    | -290100000   | <>
Calcivertella                            | Micro     | Foraminifera               | -298900000    | -272300000   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Calliprotonia                            | Animal    | Brachiopoda                | -296400000    | -268000000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -298900000    | -201300000   | Callipteris
Callispira                               | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Callispirina                             | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Calloconularia                           | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Camarelasma                              | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Camerisma                                | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Campophyllum                             | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Cancellina                               | Micro     | Foraminifera               | -298900000    | -259900000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Caninia                                  | Animal    | Cnidaria                   | -296400000    | -268000000   | Caninia_(coral)
Caninophyllum                            | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Capillomesolobus                         | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Captorhinikos                            | Animal    | Chordata                   | -298900000    | -272300000   | <>
Capulus                                  | Animal    | Mollusca                   | -298900000    | -252170000   | Capulus
Carbonicola                              | Animal    | Mollusca                   | -298900000    | -252170000   | Carbonicola
Carbonita                                | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Carcinophyllum                           | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Cardiaphyllum                            | Animal    | Cnidaria                   | -298900000    | -295500000   | Cardiaphyllum
Cardiella                                | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Cardioneura                              | Plant     | Tracheophyta               | -298900000    | -290100000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -298900000    | -252170000   | Carinthiaphyllum
Carniaphyllum                            | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Carrizarroyo                             | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Carrizocladus                            | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Carrizodiaphanoptera                     | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Carrizoneura                             | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Carrizopteron                            | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Carrizopteryx                            | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Cartorhium                               | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Cassianoides                             | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Casterella                               | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Cathayspirina                            | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Cauloptera                               | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Cavellina                                | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
Celonocrinus                             | Animal    | Echinodermata              | -298900000    | -295500000   | <>
Celox                                    | Animal    | Mollusca                   | -323200000    | -272300000   | <>
Cenorhynchia                             | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Cerasopterum                             | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Cercopyllis                              | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Ceriopora                                | Animal    | Bryozoa                    | -298900000    | -295500000   | <>
Cerithioides                             | Animal    | Mollusca                   | -298900000    | -295500000   | <>
Chaetetes                                | Animal    | Porifera                   | -323200000    | -252170000   | Chaetetes
Chalaroschwagerina                       | Micro     | Foraminifera               | -298900000    | -272300000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Chauliochiton                            | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Chelichnus                               | Animal    | Chordata                   | -298900000    | -252170000   | Chelichnus
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelononia                               | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Chelydosaurus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Chenoprosopus                            | Animal    | Chordata                   | -296400000    | -268000000   | Chenoprosopus
Chlumia                                  | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Chomatodus                               | Animal    | Chordata                   | -298900000    | -295500000   | Chomatodus
Chondronia                               | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Chonetella                               | Animal    | Brachiopoda                | -303400000    | -268000000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -298900000    | -252170000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Choristitella                            | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Choristites                              | Animal    | Brachiopoda                | -296400000    | -268000000   | <>
Chuanshanophyllum                        | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Chusenella                               | Micro     | Foraminifera               | -298900000    | -259900000   | <>
Cibecuia                                 | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Cibolocrinus                             | Animal    | Echinodermata              | -298900000    | -295500000   | <>
Cimmeriella                              | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Cinclidonema                             | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Cistecephalus                            | Animal    | Chordata                   | -298900000    | -252170000   | Cistecephalus
Cladochonus                              | Animal    | Cnidaria                   | -296400000    | -268000000   | Cladochonus
Cladodus                                 | Animal    | Chordata                   | -298900000    | -295500000   | Cladodus
Cladophlebis                             | Plant     | Pteridophyta               | -298900000    | -252170000   | Cladophlebis
Clausotrypa                              | Animal    | Bryozoa                    | -298900000    | -272300000   | Clausotrypa
Clavatasporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Clavicosta                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -298900000    | -252170000   | Cleiothyridina
Climacammina                             | Micro     | Foraminifera               | -298900000    | -252170000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Coelocladiella                           | Animal    | Porifera                   | -298900000    | -295500000   | <>
Coledium                                 | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Coleopsis                                | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Collatipora                              | Animal    | Porifera                   | -298900000    | -295500000   | <>
Composita                                | Animal    | Brachiopoda                | -298900000    | -252170000   | Composita
Compressoproductus                       | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Compsoblatta                             | Animal    | Arthropoda                 | -298900000    | -290100000   | <>
Comuquia                                 | Animal    | Brachiopoda                | -298900000    | -290100000   | <>
Concavisporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Conjunctio                               | Animal    | Chordata                   | -296400000    | -268000000   | Conjunctio
Conocardium                              | Animal    | Mollusca                   | -298900000    | -252170000   | Conocardium
Conularia                                | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -298900000    | -272500000   | <>
Cooleyella                               | Animal    | Chordata                   | -298900000    | -295500000   | <>
Coopericus                               | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Cooperina                                | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Cordaites                                | Plant     | Pinophyta                  | -298900000    | -252170000   | Cordaites
Cordillerastraea                         | Animal    | Cnidaria                   | -298900000    | -295500000   | <>
Cornigella                               | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Cornucarpus                              | Plant     | Gymnospermophyta           | -298900000    | -290100000   | <>
Cornuspira                               | Micro     | Foraminifera               | -303700000    | -295500000   | <>
Cornwallatia                             | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Coronakirkbya                            | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Corynepteris                             | Plant     | Tracheophyta               | -298900000    | -272300000   | <>
Coscinium                                | Animal    | Bryozoa                    | -298900000    | -295500000   | Coscinium_(bryozoan)
Coscinotrypa                             | Animal    | Bryozoa                    | -298900000    | -295500000   | <>
Cosmomya                                 | Animal    | Mollusca                   | -303700000    | -295500000   | <>
Costachonetes                            | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Costatumulus                             | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Costiferina                              | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Costispinifera                           | Animal    | Brachiopoda                | -298900000    | -295500000   | <>
Cotylorhynchus                           | Animal    | Chordata                   | -303700000    | -290100000   | Cotylorhynchus
Crania                                   | Animal    | Brachiopoda                | -298900000    | -252170000   | Crania_(brachiopod)
Crasselytron                             | Animal    | Arthropoda                 | -298900000    | -295500000   | <>
Cribrogenerina                           | Micro     | Foraminifera               | -303700000    | -295500000   | <>
Crurithyris                              | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Cryptacanthia                            | Animal    | Brachiopoda                | -298900000    | -290100000   | <>
Cryptocoelia                             | Animal    | Porifera                   | -298900000    | -295500000   | <>
Ctenacanthus                             | Animal    | Chordata                   | -298900000    | -272300000   | Ctenacanthus
