Caribouceras                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Carinaknightina                          | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Carniolites                              | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Carteria                                 | Animal    | Mollusca                   | -251300000    | -247200000   | Carteria
Cartorhynchus                            | Animal    | Chordata                   | -251300000    | -247200000   | Cartorhynchus
Caseodus                                 | Animal    | Chordata                   | -251300000    | -247200000   | Caseodus
Catalecanites                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -252170000    | -247200000   | <>
Ceccaisculitoides                        | Animal    | Mollusca                   | -251300000    | -247200000   | Ceccaisculitoides
Celtites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cenosphaera                              | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Ceratites                                | Animal    | Mollusca                   | -251200000    | -247200000   | Ceratites
Ceratodus                                | Animal    | Chordata                   | -251200000    | -247200000   | Ceratodus
Chaohuichthys                            | Animal    | Chordata                   | -251300000    | -247200000   | <>
Chaohuperleidus                          | Animal    | Chordata                   | -251300000    | -247200000   | <>
Chaohusaurus                             | Animal    | Chordata                   | -251200000    | -247200000   | Chaohusaurus
Chartronella                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Chasmatosuchus                           | Animal    | Chordata                   | -251200000    | -247200000   | Chasmatosuchus
Chauliodites                             | Animal    | Arthropoda                 | -251200000    | -247200000   | <>
Chelichnus                               | Animal    | Chordata                   | -252170000    | -247200000   | Chelichnus
Chelonipus                               | Animal    | Chordata                   | -251200000    | -242000000   | Chelonipus
Chioceras                                | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Chiosella                                | Animal    | Chordata                   | -251300000    | -247200000   | Chiosella
Chiotites                                | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Chirotherium                             | Animal    | Chordata                   | -251200000    | -242000000   | Chirotherium
Chlamys                                  | Animal    | Mollusca                   | -251200000    | -242000000   | Chlamys
Chordites                                | Plant     | Ochrophyta                 | -252170000    | -247200000   | <>
Chuluaria                                | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Churkites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cidaris                                  | Animal    | Echinodermata              | -252170000    | -201300000   | Cidaris
Citrella                                 | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -251300000    | -242000000   | Cladophlebis
Claraia                                  | Animal    | Mollusca                   | -251200000    | -242000000   | Claraia
Cleithrolepis                            | Animal    | Chordata                   | -251300000    | -242000000   | Cleithrolepis
Clypeoceras                              | Animal    | Mollusca                   | -251300000    | -247200000   | Clypeoceras
Clypeoceratoides                         | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Clypites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Coelacanthus                             | Animal    | Chordata                   | -251300000    | -247200000   | Coelacanthus
Coelodontognathus                        | Animal    | Chordata                   | -251200000    | -247200000   | Coelodontognathus
Coelostylina                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -251200000    | -247200000   | Coelurosaurichnus
Coenothyris                              | Animal    | Brachiopoda                | -251200000    | -242000000   | <>
Coletta                                  | Animal    | Chordata                   | -251200000    | -247200000   | Coletta
Collignonites                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Collilongus                              | Animal    | Chordata                   | -251200000    | -247200000   | Collilongus
Columbites                               | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Confusionella                            | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -252170000    | -247200000   | Coniopteris
Conservatella                            | Animal    | Chordata                   | -251300000    | -247200000   | <>
Conulariopsis                            | Animal    | Cnidaria                   | -251300000    | -247200000   | <>
Copicyntra                               | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Cordaites                                | Plant     | Pinophyta                  | -252170000    | -247200000   | Cordaites
Cordillerites                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cornuspira                               | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Corosaurus                               | Animal    | Chordata                   | -251300000    | -247200000   | Corosaurus
Coscaites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cosgriffius                              | Animal    | Chordata                   | -251300000    | -247200000   | Cosgriffius
Cosmonautilus                            | Animal    | Mollusca                   | -252170000    | -201300000   | Cosmonautilus
Costatoria                               | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Counillonia                              | Animal    | Chordata                   | -252170000    | -247200000   | Counillonia
Courtilloticeras                         | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cowboyiceras                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Crittendenia                             | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Crurithyris                              | Animal    | Brachiopoda                | -252170000    | -247200000   | <>
Cryptostephanidium                       | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Ctenopteris                              | Plant     | Cycadophyta                | -252170000    | -247200000   | Ctenopteris
Ctenosauriscus                           | Animal    | Chordata                   | -251300000    | -247200000   | Ctenosauriscus
Cycadocarpidium                          | Plant     | Coniferophyta              | -252170000    | -242000000   | <>
Cycadopites                              | Plant     | Cycadophyta                | -251200000    | -247200000   | <>
Cyclobathmus                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cyclogyra                                | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Cylindrobullina                          | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cymbospondylus                           | Animal    | Chordata                   | -251300000    | -247200000   | Cymbospondylus
Cypellospongia                           | Animal    | Porifera                   | -251300000    | -247200000   | <>
Cyrolexis                                | Animal    | Brachiopoda                | -251200000    | -247200000   | <>
Cyrtia                                   | Animal    | Brachiopoda                | -252170000    | -201300000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -358900000    | -201300000   | <>
Cytheropteron                            | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Czatkobatrachus                          | Animal    | Chordata                   | -251200000    | -247200000   | Czatkobatrachus
Czatkowiella                             | Animal    | Chordata                   | -251200000    | -247200000   | Czatkowiella
Czekanowskia                             | Plant     | Ginkgophyta                | -252170000    | -247200000   | <>
Czekanowskites                           | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dacromya                                 | Animal    | Mollusca                   | -251300000    | -247200000   | Dacromya
Dagnoceras                               | Animal    | Mollusca                   | -251200000    | -247200000   | Dagnoceras
Dalmatites                               | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Danaeopsis                               | Plant     | Filicophyta                | -252170000    | -237000000   | <>
Danubites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Daonella                                 | Animal    | Mollusca                   | -251200000    | -242000000   | Daonella
Darneya                                  | Plant     | Gymnospermophyta           | -252170000    | -242000000   | <>
Deltacephalus                            | Animal    | Chordata                   | -252170000    | -247200000   | Deltacephalus
Deltasaurus                              | Animal    | Chordata                   | -252170000    | -247200000   | Deltasaurus
Deltoidospora                            | Plant     | Pteridophyta               | -252170000    | -242000000   | <>
Densoisporites                           | Plant     | Pteridophyta               | -251200000    | -247200000   | <>
Dentalina                                | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Desmiophyllum                            | Plant     | Coniferophyta              | -251300000    | -247200000   | <>
Deuterotetrapous                         | Animal    | Chordata                   | -252170000    | -247200000   | <>
Deweveria                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Diaplococeras                            | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Dicosmos                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dicroidium                               | Plant     | Tracheophyta               | -251300000    | -242000000   | Dicroidium
Dictyoconites                            | Animal    | Mollusca                   | -251300000    | -247200000   | Dictyoconites
Dictyophyllidites                        | Plant     | Pteridophyta               | -252170000    | -237000000   | <>
Dictyopyge                               | Animal    | Chordata                   | -251300000    | -242000000   | Dictyopyge
Dicynodontoides                          | Animal    | Chordata                   | -252170000    | -247200000   | Dicynodontoides
Dielasma                                 | Animal    | Brachiopoda                | -252170000    | -201300000   | <>
Dieneroceras                             | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Dimetropus                               | Animal    | Chordata                   | -252170000    | -247200000   | <>
Dimorphoconcha                           | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Dinanomodon                              | Animal    | Chordata                   | -252170000    | -247200000   | Dinanomodon
Dinarites                                | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Diplochilus                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Diplotremina                             | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Discina                                  | Animal    | Brachiopoda                | -251200000    | -242000000   | Discina
Discinisca                               | Animal    | Brachiopoda                | -251300000    | -247200000   | Discinisca
Discoproptychites                        | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Discretella                              | Animal    | Chordata                   | -251300000    | -247200000   | <>
Dobrogeria                               | Animal    | Chordata                   | -251300000    | -247200000   | <>
Donaldina                                | Animal    | Mollusca                   | -251300000    | -247200000   | Donaldina
Doniceps                                 | Animal    | Chordata                   | -251200000    | -247200000   | Doniceps
Dorikranites                             | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Dromotectum                              | Animal    | Chordata                   | -251200000    | -247200000   | Dromotectum
Dunedinites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Duplisuggestus                           | Animal    | Chordata                   | -251300000    | -247200000   | <>
Durvilleoceras                           | Animal    | Mollusca                   | -2.599e+08    | -247200000   | <>
Dyscritellopsis                          | Animal    | Bryozoa                    | -251300000    | -247200000   | <>
Earlandia                                | Micro     | Foraminifera               | -251300000    | -247200000   | Earlandia
Eboracia                                 | Plant     | Pteridophyta               | -252170000    | -247200000   | <>
Edingerella                              | Animal    | Chordata                   | -252170000    | -247200000   | Edingerella
Edyndella                                | Plant     | Peltaspermophyta           | -252170000    | -247200000   | <>
Elatocladus                              | Plant     | Coniferophyta              | -252170000    | -247200000   | Elatocladus
Eleganopteris                            | Plant     | Pteridophyta               | -252170000    | -247200000   | <>
Elegantinia                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Elessaurus                               | Animal    | Chordata                   | -252170000    | -247200000   | Elessaurus
Ellesmerella                             | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Ellisonia                                | Animal    | Chordata                   | -251200000    | -247200000   | Ellisonia
Enantiognathus                           | Animal    | Chordata                   | -251300000    | -247200000   | <>
Endoteba                                 | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Endotebanella                            | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Endotriadella                            | Micro     | Foraminifera               | -251300000    | -247200000   | <>
Enoploceras                              | Animal    | Mollusca                   | -251300000    | -247200000   | Enoploceras
Entactinosphaera                         | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Enteropleura                             | Animal    | Mollusca                   | -252170000    | -247200000   | <>
Entolioides                              | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Entolium                                 | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Eoacrochordiceras                        | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eobuchia                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eodanubites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eodiadema                                | Animal    | Echinodermata              | -252170000    | -201300000   | <>
Eogymnites                               | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Eohupehsuchus                            | Animal    | Chordata                   | -251300000    | -247200000   | Eohupehsuchus
Eolydekkerina                            | Animal    | Chordata                   | -252170000    | -247200000   | Eolydekkerina
Eophyllites                              | Animal    | Mollusca                   | -251200000    | -247200000   | Eophyllites
Eoptychites                              | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eosturia                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Epiboreoceras                            | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Epiceltites                              | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Epiceltitoides                           | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Epiclaraia                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Epigondolella                            | Animal    | Chordata                   | -252170000    | -201300000   | Epigondolella
Episageceras                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eptingium                                | Micro     | Radiolaria                 | -251300000    | -242000000   | <>
Equisetites                              | Plant     | Sphenophyta                | -252170000    | -237000000   | Equisetites
Equisetum                                | Plant     | Sphenophyta                | -252170000    | -247200000   | Equisetum
Ericiolacerta                            | Animal    | Chordata                   | -252170000    | -247200000   | Ericiolacerta
Errolichthys                             | Animal    | Chordata                   | -252170000    | -247200000   | <>
Eryosuchus                               | Animal    | Chordata                   | -251200000    | -247200000   | Eryosuchus
Erythrobatrachus                         | Animal    | Chordata                   | -252170000    | -247200000   | Erythrobatrachus
Escarguelites                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eschericeratites                         | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Estheria                                 | Animal    | Arthropoda                 | -252170000    | -201300000   | Estheria
Eubrontes                                | Animal    | Chordata                   | -251300000    | -247200000   | Eubrontes
Euestheria                               | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Euflemingites                            | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Eukashmirites                            | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Eumetabolodon                            | Animal    | Chordata                   | -251200000    | -242000000   | Eumetabolodon
Eumicrotis                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Eumorphotis                              | Animal    | Mollusca                   | -251200000    | -247200000   | <>
Euomphalus                               | Animal    | Mollusca                   | -251300000    | -247200000   | Euomphalus
Eurygnathodus                            | Animal    | Chordata                   | -251300000    | -247200000   | <>
Eutomoceras                              | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Evenites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Fadenia                                  | Animal    | Chordata                   | -251300000    | -247200000   | Fadenia
Falcisporites                            | Plant     | Gymnospermophyta           | -252170000    | -247200000   | <>
Fengshanites                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Flemingites Flemingitidae                | Animal    | Mollusca                   | -251200000    | -247200000   | Flemingites
Foliella                                 | Animal    | Chordata                   | -251300000    | -247200000   | Foliella
Follicucullus                            | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
