Asterias                                 | Animal    | Echinodermata              | -201300000    | -196500000   | Asterias
Asteroceras                              | Animal    | Mollusca                   | -201300000    | -174100000   | Asteroceras
Astrocoenia                              | Animal    | Cnidaria                   | -201300000    | -163500000   | <>
Atalantria                               | Micro     | Radiolaria                 | -201300000    | -189600000   | <>
Atractites                               | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Atreta                                   | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Aulacothyris                             | Animal    | Brachiopoda                | -201300000    | -174100000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Austaulius                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Australochelys                           | Animal    | Chordata                   | -201300000    | -190800000   | Australochelys
Austrohamia                              | Plant     | Pinophyta                  | -201300000    | -163500000   | <>
Avalonnectes                             | Animal    | Chordata                   | -201300000    | -196500000   | Avalonnectes
Avicula                                  | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -237000000    | -174100000   | Aviculopecten
Bacutriletes                             | Plant     | Lycophyta                  | -208500000    | -174100000   | <>
Badouxia                                 | Animal    | Mollusca                   | -201300000    | -189600000   | <>
Bagotum                                  | Micro     | Radiolaria                 | -201300000    | -174100000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -201300000    | -145000000   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -201300000    | -174100000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Bakevellia                               | Animal    | Mollusca                   | -201300000    | -199300000   | <>
Bakonithyris                             | Animal    | Brachiopoda                | -201300000    | -196500000   | <>
Bakonyithyris                            | Animal    | Brachiopoda                | -201300000    | -189600000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -201300000    | -174100000   | <>
Bandelopsis                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Baseopsis                                | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Batrachopus                              | Animal    | Chordata                   | -201300000    | -145000000   | Batrachopus
Bauneia                                  | Animal    | Porifera                   | -201300000    | -190800000   | <>
Bavarophlebia                            | Animal    | Arthropoda                 | -201300000    | -199300000   | <>
Beatricea                                | Micro     | Radiolaria                 | -201300000    | -189600000   | <>
Belemnites                               | Animal    | Mollusca                   | -201300000    | -100500000   | Belemnites_(genus)
Bellingera                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Bellingeropsis                           | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
