Bacharia                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bacharogryllus                           | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bacharovoliopus                          | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bacutriletes                             | Plant     | Lycophyta                  | -170300000    | -166100000   | <>
Baeorhynchia                             | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Baga                                     | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Baharellus                               | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Baianochorista                           | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -170300000    | -168300000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Bajanchongoria                           | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bajocia                                  | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Bakevellia                               | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Bakharia                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bakonyia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Balanocidaris                            | Animal    | Echinodermata              | -170300000    | -168300000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -170300000    | -168300000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Bandellina                               | Animal    | Mollusca                   | -171600000    | -164700000   | <>
Barbatia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | Barbatia
Barbuta                                  | Micro     | Radiolaria                 | -171600000    | -167700000   | Barbuta
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Bathysiphon                              | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Batrachopus                              | Animal    | Chordata                   | -201300000    | -145000000   | <>
Beania Beaniaceae                        | Plant     | Cycadophyta                | -170300000    | -168300000   | Beania
Belemnites                               | Animal    | Mollusca                   | -174100000    | -145000000   | Belemnites_(genus)
Belemnopsis                              | Animal    | Mollusca                   | -170300000    | -168300000   | Belemnopsis
Belmonticeras                            | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Berenicea                                | Animal    | Bryozoa                    | -170300000    | -164700000   | <>
Bernoullius                              | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Biarmatoidella                           | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Bigotites                                | Animal    | Mollusca                   | -171600000    | -167700000   | Bigotites
Bilsdalea                                | Plant     | Coniferophyta              | -170300000    | -168300000   | <>
Biretisporites                           | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Bishanopliosaurus                        | Animal    | Chordata                   | -174100000    | -163500000   | Bishanopliosaurus
Bistarkum                                | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Bithynia                                 | Animal    | Mollusca                   | -170300000    | -166100000   | Bithynia
Blattula                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Boeckhia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | Boeckhia
Boreomerope                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Bositra                                  | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Bosniella                                | Micro     | Foraminifera               | -174100000    | -168400000   | <>
Bothryopneustes                          | Animal    | Echinodermata              | -170300000    | -164700000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -170300000    | -166100000   | Botryococcus
Bourguetia                               | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -170300000    | -163500000   | Brachyphyllum
Brachytrema                              | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Bradfordia                               | Animal    | Mollusca                   | -170300000    | -168300000   | Bradfordia
Brasilia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | Brasilia
Bredyia                                  | Animal    | Mollusca                   | -171600000    | -168400000   | Bredyia
Brevibelus                               | Animal    | Mollusca                   | -171600000    | -167700000   | Brevibelus
Brizalina                                | Micro     | Foraminifera               | -171600000    | -168400000   | <>
Brontopodus                              | Animal    | Chordata                   | -174100000    | -145000000   | Brontopodus
Bryanka                                  | Animal    | Arthropoda                 | -170300000    | -166100000   | Bryanka
Buchia                                   | Animal    | Mollusca                   | -171600000    | -168300000   | <>
Bucklandia                               | Plant     | Cycadophyta                | -170300000    | -163500000   | <>
Bullariscus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Buratina                                 | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Burmirhynchia                            | Animal    | Brachiopoda                | -170300000    | -163500000   | <>
Bythoceratina                            | Animal    | Arthropoda                 | -171600000    | -167700000   | <>
Cadomella                                | Animal    | Brachiopoda                | -201300000    | -163500000   | <>
Cadomites                                | Animal    | Mollusca                   | -170300000    | -168300000   | Cadomites
Caenocidaris                             | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Calamophyllia                            | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Calclamna                                | Animal    | Echinodermata              | -170300000    | -168300000   | Calclamna
Calcligula                               | Animal    | Echinodermata              | -170300000    | -168300000   | <>
Caledorhynchia                           | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Callialasporites                         | Plant     | Coniferophyta              | -174100000    | -93500000    | <>
Callianassa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | Callianassa
Calliphylloceras                         | Animal    | Mollusca                   | -170300000    | -168300000   | Calliphylloceras
Caloblattina                             | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Caloceras                                | Animal    | Mollusca                   | -201300000    | -163500000   | Caloceras
Calvirhynchia                            | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Camptonectes                             | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -170300000    | -168300000   | <>
Capillirhynchia                          | Animal    | Brachiopoda                | -170300000    | -166100000   | <>
Cardinia                                 | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Cardinirhynchia                          | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Cardobairdia                             | Animal    | Arthropoda                 | -171600000    | -167700000   | <>
Carinathilda                             | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Carmelopodus                             | Animal    | Chordata                   | -170300000    | -168300000   | Carmelopodus
Catacoeloceras                           | Animal    | Mollusca                   | -182700000    | -166100000   | Catacoeloceras
Catella                                  | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Caucasella                               | Animal    | Brachiopoda                | -171600000    | -164700000   | <>
Caumontisphinctes                        | Animal    | Mollusca                   | -170300000    | -168300000   | Caumontisphinctes
Cayeuxia                                 | Micro     | Cyanobacteria              | -170300000    | -166100000   | <>
Caytonanthus                             | Plant     | Pteridospermophyta         | -170300000    | -168300000   | Caytonanthus
Caytonia                                 | Plant     | Ginkgophyta                | -170300000    | -168300000   | Caytonia
Cenoceras                                | Animal    | Mollusca                   | -171600000    | -167700000   | Cenoceras
Ceratomya                                | Animal    | Mollusca                   | -170300000    | -164700000   | <>
Ceratomyopsis                            | Animal    | Mollusca                   | -170300000    | -164700000   | <>
Cercomya                                 | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Cererithyris                             | Animal    | Brachiopoda                | -170300000    | -166100000   | <>
Ceriocava                                | Animal    | Bryozoa                    | -170300000    | -168300000   | <>
Ceritella                                | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Cerithinella                             | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Cetiosaurus                              | Animal    | Chordata                   | -171600000    | -167700000   | Cetiosaurus
Chacaicosaurus                           | Animal    | Chordata                   | -171600000    | -168400000   | Chacaicosaurus
Changdusaurus                            | Animal    | Chordata                   | -174100000    | -163500000   | Changdusaurus
Changpeipus                              | Animal    | Chordata                   | -174100000    | -163500000   | Changpeipus
Chaoborites                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Chariocrinus                             | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Charlottea                               | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Charltonithyris                          | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Cheniothyris                             | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Chimaerocoleites                         | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Chiton                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Chiton
Chlamys                                  | Animal    | Mollusca                   | -170300000    | -166100000   | Chlamys
Choffatia                                | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Choffatiasphinctes                       | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Chomatoseris                             | Animal    | Cnidaria                   | -170300000    | -164700000   | <>
Chondroceras                             | Animal    | Mollusca                   | -170300000    | -166100000   | Chondroceras
Chorilingia                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Chuanjiesaurus                           | Animal    | Chordata                   | -170300000    | -168300000   | Chuanjiesaurus
Cicadocoris                              | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Cicatricosisporites                      | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cicatricososporites                      | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cidaris                                  | Animal    | Echinodermata              | -170300000    | -166100000   | Cidaris
Cinemala                                 | Animal    | Arthropoda                 | -170300000    | -166100000   | Cinemala
Cingulatisporites                        | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Cinguloturris                            | Micro     | Radiolaria                 | -171600000    | -164700000   | <>
Cirpa                                    | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Cirrus                                   | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Citharina                                | Micro     | Foraminifera               | -170300000    | -168300000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -170300000    | -163500000   | Cladophlebis
Cladophyllia                             | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Cladotheca                               | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Classopollis                             | Plant     | Coniferophyta              | -174100000    | -93500000    | <>
Clathropteris                            | Plant     | Pteridophyta               | -170300000    | -166100000   | <>
Clausastrea                              | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Clephemera                               | Animal    | Arthropoda                 | -170300000    | -168300000   | <>
Clydoniceras                             | Animal    | Mollusca                   | -170300000    | -164700000   | <>
Clypeus                                  | Animal    | Arthropoda                 | -170300000    | -166100000   | <>
Clypeus                                  | Animal    | Echinodermata              | -170300000    | -166100000   | <>
Coelastarte                              | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Coeloceras                               | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Coelopus                                 | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Coelostylina                             | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -174100000    | -145000000   | Coelurosaurichnus
Coenastraea                              | Animal    | Cnidaria                   | -170300000    | -163500000   | <>
Coleia                                   | Animal    | Arthropoda                 | -201300000    | -145000000   | Coleia
Coleopteron                              | Animal    | Arthropoda                 | -201300000    | -163500000   | <>
Collignonastraea                         | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Columnocoenia                            | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Comophyllia                              | Animal    | Cnidaria                   | -174100000    | -168300000   | Comophyllia
Comoseris                                | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Complexastraeopsis                       | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Complexastrea                            | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Comptoniaster                            | Animal    | Echinodermata              | -170300000    | -168300000   | <>
Conarothyris                             | Animal    | Brachiopoda                | -170300000    | -168300000   | <>
Concavisporites                          | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Concavissimisporites                     | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Condorraptor                             | Animal    | Chordata                   | -180100000    | -168400000   | Condorraptor
Confusastrea                             | Animal    | Cnidaria                   | -170300000    | -168300000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -170300000    | -163500000   | Coniopteris
Conites                                  | Plant     | Cycadeoideophyta           | -170300000    | -166100000   | <>
Conodicoelites                           | Animal    | Mollusca                   | -175600000    | -161200000   | Conodicoelites
Conoglobigerina                          | Micro     | Foraminifera               | -170300000    | -166100000   | <>
Convexastrea                             | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Coptothyris                              | Animal    | Brachiopoda                | -201300000    | -145000000   | Coptothyris
Corbicella                               | Animal    | Mollusca                   | -170300000    | -168300000   | <>
Corbula                                  | Animal    | Mollusca                   | -170300000    | -168300000   | Corbula
Corbulomima                              | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Cornuspira                               | Micro     | Foraminifera               | -170300000    | -168300000   | <>
Cornutella                               | Micro     | Radiolaria                 | -171600000    | -167700000   | Cornutella_(radiolarian)
Cossmannea                               | Animal    | Mollusca                   | -170300000    | -166100000   | <>
Costentolium                             | Animal    | Mollusca                   | -170300000    | -168300000   | <>
