Calycocoelia                             | Animal    | Porifera                   | -443400000    | -440800000   | <>
Calymene                                 | Animal    | Arthropoda                 | -443400000    | -419200000   | Calymene
Calymenella                              | Animal    | Arthropoda                 | -443400000    | -433400000   | Calymenella
Camarotoechia                            | Animal    | Brachiopoda                | -443400000    | -419200000   | Camarotoechia
Camerella                                | Animal    | Brachiopoda                | -443400000    | -427400000   | <>
Campograptus                             | Animal    | Hemichordata               | -443400000    | -433400000   | <>
Camptodictyon                            | Animal    | Porifera                   | -443400000    | -440800000   | <>
Camptolithus                             | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Cannapora                                | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Capelliniella                            | Animal    | Brachiopoda                | -443400000    | -427400000   | <>
Capnophyllum                             | Animal    | Cnidaria                   | -443400000    | -419200000   | Capnophyllum
Carcinosoma                              | Animal    | Arthropoda                 | -443400000    | -419200000   | Carcinosoma
Cardiola                                 | Animal    | Mollusca                   | -443400000    | -419200000   | Cardiola
Carniodus                                | Animal    | Chordata                   | -443400000    | -419200000   | Carniodus
Carpocrinus                              | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Caryocaris                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Caryocrinites                            | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Caryogyps                                | Animal    | Brachiopoda                | -443400000    | -427400000   | <>
Catatonocrinus                           | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Catazyga                                 | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Catenipora                               | Animal    | Cnidaria                   | -443400000    | -419200000   | Catenipora
Cathaysiorthis                           | Animal    | Brachiopoda                | -443400000    | -440800000   | <>
Caudicriodus                             | Animal    | Chordata                   | -443400000    | -410800000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -443400000    | -419200000   | Ceramopora
Cerasina                                 | Animal    | Brachiopoda                | -443400000    | -438500000   | <>
Ceratocephala                            | Animal    | Arthropoda                 | -443400000    | -427400000   | Ceratocephala_(trilobite)
Ceraurinus                               | Animal    | Arthropoda                 | -449500000    | -433400000   | Ceraurinus
Cerauromeros                             | Animal    | Arthropoda                 | -443400000    | -427400000   | Cerauromeros
Ceriaster                                | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Chaetetes                                | Animal    | Porifera                   | -443400000    | -433400000   | Chaetetes
Chaetosalpinx                            | Animal    | Annelida                   | -443400000    | -436000000   | Chaetosalpinx
Chaosocrinus                             | Animal    | Echinodermata              | -443400000    | -440800000   | <>
Charactocrinus                           | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Chasmatopora                             | Animal    | Bryozoa                    | -443400000    | -433400000   | Chasmatopora
Cheilotrypa                              | Animal    | Bryozoa                    | -443400000    | -419200000   | <>
Cheirocrinus                             | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -443400000    | -419200000   | Cheirurus
Chilobolbina                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Chiozoon                                 | Animal    | Arthropoda                 | -443400000    | -427400000   | Chiozoon
Chonetes                                 | Animal    | Brachiopoda                | -443400000    | -419200000   | Chonetes
Chonetoidea                              | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Chonophyllum                             | Animal    | Cnidaria                   | -443400000    | -428200000   | <>
Christiania                              | Animal    | Brachiopoda                | -443400000    | -440800000   | Christiania_(brachiopod)
Chrustenopora                            | Animal    | Brachiopoda                | -443400000    | -440800000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -443400000    | -433400000   | Cladochonus
Cladopora                                | Animal    | Cnidaria                   | -443400000    | -382700000   | <>
Clarkeia                                 | Animal    | Brachiopoda                | -443400000    | -423000000   | Clarkeia
Clathrodictyon                           | Animal    | Porifera                   | -443400000    | -419200000   | <>
Clathropora                              | Animal    | Bryozoa                    | -443400000    | -422900000   | <>
Clavidictyon                             | Animal    | Porifera                   | -443400000    | -433400000   | <>
Cleionychia                              | Animal    | Mollusca                   | -443400000    | -440800000   | <>
Clematocrinus                            | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Clidophorus                              | Animal    | Mollusca                   | -443400000    | -423000000   | <>
