Anasyntexis                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anaxyela                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anchiornis                               | Animal    | Chordata                   | -167700000    | -150800000   | Anchiornis
Andemantastraea                          | Animal    | Cnidaria                   | -166100000    | -163500000   | <>
Anditrigonia                             | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -166100000    | -163500000   | <>
Aneuretopsyche                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anguanax                                 | Animal    | Chordata                   | -164700000    | -155700000   | Anguanax
Angulathilda                             | Animal    | Mollusca                   | -166100000    | -163500000   | <>
Angulaticeras                            | Animal    | Mollusca                   | -164700000    | -161200000   | Angulaticeras
Angulobracchia                           | Micro     | Radiolaria                 | -164700000    | -155700000   | <>
Angulocrinus                             | Animal    | Echinodermata              | -166100000    | -163500000   | <>
Angustaboilus                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Angustiphlebia                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anhuilong                                | Animal    | Chordata                   | -174100000    | -163500000   | Anhuilong
Anisocardia                              | Animal    | Mollusca                   | -164700000    | -155700000   | <>
Ankobites                                | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Ankylokypha                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Annemys                                  | Animal    | Chordata                   | -166100000    | -157300000   | <>
Annulariopsis                            | Plant     | Sphenophyta                | -168300000    | -163500000   | <>
Anomia                                   | Animal    | Mollusca                   | -167700000    | -164700000   | Anomia_(bivalve)
Anomoepus                                | Animal    | Chordata                   | -174100000    | -163500000   | Anomoepus
Anomopterella                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anomoxyela                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anomozamites                             | Plant     | Cycadeoideophyta           | -166100000    | -152100000   | <>
Anoualerpeton                            | Animal    | Chordata                   | -167700000    | -164700000   | Anoualerpeton
Ansorgius                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antarctica                               | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Antefungivora                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antemnacrassa                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antexitus                                | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Anthocoleus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anthoscytina                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Antiquamedia                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antiquicyprina                           | Animal    | Mollusca                   | -166100000    | -152100000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -164700000    | -161200000   | Antrimpos
Aorun                                    | Animal    | Chordata                   | -166100000    | -163500000   | Aorun
Apatecosia                               | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Aphidulum                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Apiciserphus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Apiocrinites                             | Animal    | Echinodermata              | -164700000    | -161200000   | Apiocrinites
Apiocrinus                               | Animal    | Echinodermata              | -166100000    | -163500000   | <>
Aplosmilia                               | Animal    | Cnidaria                   | -166100000    | -157300000   | <>
Apochrysogramma                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Apocladophyllia                          | Animal    | Cnidaria                   | -166100000    | -163500000   | <>
Aporothallus                             | Plant     | Bryophyta                  | -166100000    | -157300000   | <>
Aporrhais                                | Animal    | Mollusca                   | -164700000    | -161200000   | Aporrhais
Apsendesia                               | Animal    | Bryozoa                    | -167700000    | -164700000   | <>
Apseudocardinia                          | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Aptychus                                 | Animal    | Mollusca                   | -164700000    | -161200000   | Aptychus
Apystomimus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arabatia                                 | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Arapsothyris                             | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Araucanites                              | Animal    | Mollusca                   | -164700000    | -155700000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -164700000    | -161200000   | <>
Araucaria                                | Plant     | Pinophyta                  | -168300000    | -163500000   | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -174100000    | -163500000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -166100000    | -152100000   | <>
Arboroharamiya                           | Animal    | Chordata                   | -167700000    | -150800000   | Arboroharamiya
Arbusella                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arca                                     | Animal    | Mollusca                   | -164700000    | -161200000   | Arca
Arcanicapsa                              | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Arceythyris                              | Animal    | Brachiopoda                | -167700000    | -164700000   | <>
Archaboilus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | Archaboilus
Archaecorixa                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -164700000    | -155700000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -164700000    | -155700000   | <>
Archaeohagiastrum                        | Micro     | Radiolaria                 | -166100000    | -163500000   | <>
Archaeohelorus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeoistiodactylus                     | Animal    | Chordata                   | -167700000    | -150800000   | Archaeoistiodactylus
Archaeomastax                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeometra                             | Animal    | Echinodermata              | -164700000    | -161200000   | <>
Archaeopelecinus                         | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeoripiphorus                        | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeorrhynchoides                      | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeosmylidia                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -164700000    | -150800000   | <>
Archaulacus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archeosolenocera                         | Animal    | Arthropoda                 | -164700000    | -161200000   | Archeosolenocera
Archicapsa                               | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Archidermapteron                         | Animal    | Arthropoda                 | -166100000    | -157300000   | Archidermapteron
Archijassus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archinemestrius                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archipsylla                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archirhagio                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archirhyphus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archisargus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Architectonica                           | Animal    | Mollusca                   | -166100000    | -163500000   | Architectonica
Architipula                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archizelmira                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Archocyrtus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | Archocyrtus
Archodromus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arcofuzia                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arcomya                                  | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -164700000    | -150800000   | <>
Arctica                                  | Animal    | Mollusca                   | -166100000    | -157300000   | Arctica_(bivalve)
Arcticoceras                             | Animal    | Mollusca                   | -164700000    | -161200000   | Arcticoceras
Arctocephalites                          | Animal    | Mollusca                   | -167700000    | -164700000   | Arctocephalites
Arctostrea                               | Animal    | Mollusca                   | -166100000    | -157300000   | <>
Arcus                                    | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Argutostrea                              | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Aristenymphes                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aristoleuctra                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aromasithyris                            | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Artematopodites                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arthraster                               | Animal    | Echinodermata              | -167700000    | -164700000   | <>
Arthrogaster                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Artocarpidium                            | Plant     | Spermatophyta              | -174100000    | -163500000   | <>
Ascololepidopterix                       | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Ashangopsis                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asiephialtites                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asioblatta                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asiodiplatys                             | Animal    | Arthropoda                 | -166100000    | -157300000   | Asiodiplatys
Asionecta                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asiopteron                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asphinctites                             | Animal    | Mollusca                   | -167700000    | -164700000   | Asphinctites
Aspidistes                               | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Aspidoceras                              | Animal    | Mollusca                   | -164700000    | -161200000   | Aspidoceras
Aspidorhynchus                           | Animal    | Chordata                   | -166100000    | -163500000   | Aspidorhynchus
Astacolus                                | Micro     | Foraminifera               | -164700000    | -161200000   | <>
Astandes                                 | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Astarte                                  | Animal    | Mollusca                   | -164700000    | -157300000   | Astarte
Astartopsis                              | Animal    | Mollusca                   | -166100000    | -157300000   | <>
Astenorrhinus                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Asteracanthus                            | Animal    | Chordata                   | -164700000    | -161200000   | Asteracanthus
Asteriaceros                             | Animal    | Echinodermata              | -167700000    | -164700000   | <>
Asterias                                 | Animal    | Echinodermata              | -167700000    | -164700000   | Asterias
Asterocidaris                            | Animal    | Echinodermata              | -164700000    | -161200000   | Asterocidaris
Astraeofungia                            | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Astraraea                                | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -166100000    | -157300000   | <>
Astropecten                              | Animal    | Echinodermata              | -167700000    | -164700000   | Astropecten
Astroporina                              | Animal    | Porifera                   | -164700000    | -157300000   | <>
Astrospongia                             | Animal    | Porifera                   | -164700000    | -161200000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Athrotaxites                             | Plant     | Coniferophyta              | -166100000    | -157300000   | <>
Atopderma                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Atreta                                   | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Aucklandirhynchia                        | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Aulacenoceras                            | Animal    | Mollusca                   | -166100000    | -163500000   | <>
Aulacogastrinus                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aulaconautilus                           | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Aulacothyris                             | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Aulidontes                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aulieezidium                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Auliella                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Auliepterix                              | Animal    | Arthropoda                 | -166100000    | -157300000   | Auliepterix
Aulisca                                  | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Auliserphus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aurornis                                 | Animal    | Chordata                   | -167700000    | -150800000   | Aurornis
Austrocardilanx                          | Animal    | Mollusca                   | -164700000    | -157300000   | <>
Austrohamia                              | Plant     | Pinophyta                  | -201300000    | -163500000   | <>
Avicula                                  | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Avonothyris                              | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -166100000    | -163500000   | <>
Azorica                                  | Animal    | Porifera                   | -164700000    | -161200000   | <>
Azyga                                    | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Bacharaboilus                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bactroptyxis                             | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -166100000    | -157300000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -164700000    | -161200000   | <>
Baisochrysa                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bakevellia                               | Animal    | Mollusca                   | -166100000    | -163500000   | <>
Bakharia                                 | Animal    | Arthropoda                 | -166100000    | -152100000   | <>
Balanocidaris                            | Animal    | Echinodermata              | -166100000    | -163500000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -164700000    | -161200000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Balnealacerta                            | Animal    | Chordata                   | -167700000    | -164700000   | <>
Bandellina                               | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Baptanodon                               | Animal    | Chordata                   | -168300000    | -157300000   | Baptanodon
Barbatia                                 | Animal    | Mollusca                   | -164700000    | -161200000   | Barbatia
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Basiserphus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bathmosmilia                             | Animal    | Cnidaria                   | -166100000    | -163500000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Bathycoenia                              | Animal    | Cnidaria                   | -167700000    | -164700000   | <>
Bathysiphon                              | Micro     | Foraminifera               | -166100000    | -163500000   | <>
Batrachopus                              | Animal    | Chordata                   | -201300000    | -145000000   | <>
Beania Beaniaceae                        | Plant     | Cycadophyta                | -166100000    | -157300000   | Beania
Beipiaocarabus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beipiaoplecia                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beipiaopsychops                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beipiaoserphus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beipiaosirex                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Belemnites                               | Animal    | Mollusca                   | -164700000    | -161200000   | Belemnites_(genus)
Belemnopsis                              | Animal    | Mollusca                   | -164700000    | -157300000   | Belemnopsis
Bellabrunetia                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bellairsia                               | Animal    | Chordata                   | -167700000    | -164700000   | <>
Belleza                                  | Micro     | Radiolaria                 | -166100000    | -163500000   | <>
Bellicimbrophlebia                       | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bellinympha                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Belloderma                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Berbericeras                             | Animal    | Mollusca                   | -167700000    | -164700000   | Berbericeras
Berenicea                                | Animal    | Bryozoa                    | -164700000    | -161200000   | <>
Berniceras                               | Animal    | Mollusca                   | -164700000    | -161200000   | Berniceras
Bernoullius                              | Micro     | Radiolaria                 | -164700000    | -155700000   | <>
Berothone                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Besobrasovia                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bethylonymellus                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bethylonymus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Biarmatoidella                           | Animal    | Mollusca                   | -167700000    | -164700000   | <>
Bihenithyris                             | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Bilaminella                              | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Binatisphinctes                          | Animal    | Mollusca                   | -164700000    | -161200000   | Binatisphinctes
Biretisporites                           | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Bishanopliosaurus                        | Animal    | Chordata                   | -174100000    | -163500000   | Bishanopliosaurus
Bistarkum                                | Micro     | Radiolaria                 | -167700000    | -164700000   | <>
Bisulcocypris                            | Animal    | Arthropoda                 | -167700000    | -164700000   | <>
Blastochaetetes                          | Animal    | Porifera                   | -164700000    | -161200000   | <>
Blattogryllus                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Blattula                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Blephadejura                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
