Araucarites                              | Plant     | Pinophyta                  | -290100000    | -272300000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Araxopora                                | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Arceodomus                               | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -290100000    | -279300000   | Archaeocidaris
Archaeocycas                             | Plant     | Cycadophyta                | -295500000    | -272300000   | <>
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -296400000    | -268000000   | Archaeolithophyllum
Archaeophiomusium                        | Animal    | Echinodermata              | -290100000    | -279300000   | <>
Archboldevia                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Archboldiceras                           | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Archelytron                              | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Archeria                                 | Animal    | Chordata                   | -290100000    | -268000000   | Archeria
Archescytina                             | Animal    | Arthropoda                 | -279500000    | -272500000   | <>
Archimedes                               | Animal    | Bryozoa                    | -290100000    | -279300000   | Archimedes
Arcochiton                               | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Arcticalosia                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Arctochonetes                            | Animal    | Brachiopoda                | -290100000    | -272300000   | <>
Arctotypus                               | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Arcullina                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Aricoceras                               | Animal    | Mollusca                   | -290100000    | -272300000   | Aricoceras
Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Arionthia                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Armenina                                 | Micro     | Foraminifera               | -298900000    | -259900000   | <>
Arroyocrinus                             | Animal    | Echinodermata              | -290100000    | -279300000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -298900000    | -272300000   | Arthropitys
Articheilus                              | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Artinska                                 | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Artinskia                                | Animal    | Mollusca                   | -290100000    | -272300000   | <>
Artioceras                               | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Artioceratoides                          | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Artiodus                                 | Animal    | Chordata                   | -290100000    | -279300000   | Artiodus
Ascendonanus                             | Animal    | Chordata                   | -295500000    | -279300000   | Ascendonanus
Ascopora                                 | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Ascoporella                              | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Asiachorista                             | Animal    | Arthropoda                 | -290100000    | -272300000   | <>
Asiopompus                               | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Aspidosaurus                             | Animal    | Chordata                   | -279500000    | -268000000   | Aspidosaurus
Astartella                               | Animal    | Mollusca                   | -290100000    | -268000000   | <>
Astartila                                | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -298900000    | -254000000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -290100000    | -272300000   | Asterotheca
Asthenohymen                             | Animal    | Arthropoda                 | -279500000    | -272500000   | <>
Athyris                                  | Animal    | Brachiopoda                | -290100000    | -279300000   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -290100000    | -259900000   | <>
Atsabites                                | Animal    | Mollusca                   | -295500000    | -279300000   | Atsabites
Attenuatella                             | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -290100000    | -272300000   | Aulopora
Aulosteges                               | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Aurikirkbya                              | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Australaster                             | Animal    | Echinodermata              | -290100000    | -279300000   | <>
Australomya                              | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Australopolypora                         | Animal    | Bryozoa                    | -290100000    | -272300000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Aversor                                  | Animal    | Chordata                   | -279500000    | -272500000   | Aversor
Aviculopecten                            | Animal    | Mollusca                   | -279500000    | -268000000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -290100000    | -268000000   | <>
Avonia                                   | Animal    | Brachiopoda                | -290100000    | -279300000   | Avonia
Babylonites                              | Animal    | Mollusca                   | -290100000    | -268000000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -290100000    | -279300000   | Baiera
Bailliena                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -279500000    | -272500000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Bajkuria                                 | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bakevellia                               | Animal    | Mollusca                   | -290100000    | -268000000   | <>
Baliqliqia                               | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bamberina                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bamyaniceras                             | Animal    | Mollusca                   | -290100000    | -272300000   | <>
Bandoproductus                           | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bansheepteron                            | Animal    | Arthropoda                 | -290100000    | -265100000   | <>
Barakaria                                | Plant     | Sphenophyta                | -290100000    | -272300000   | <>
Barbclabornia                            | Animal    | Chordata                   | -290100000    | -272300000   | Barbclabornia
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | Bardella
Bardocarpus                              | Plant     | Peltaspermophyta           | -290100000    | -272300000   | <>
Barona                                   | Animal    | Arthropoda                 | -290100000    | -279300000   | Barona
Bashkirella                              | Animal    | Bryozoa                    | -290100000    | -279300000   | <>
Basslerella                              | Animal    | Arthropoda                 | -290100000    | -279300000   | <>
Bathygnathus                             | Animal    | Chordata                   | -290100000    | -279300000   | Bathygnathus
Batostomella                             | Animal    | Bryozoa                    | -298900000    | -252170000   | <>
Batrachichnus                            | Animal    | Chordata                   | -290100000    | -259900000   | <>
Bayhaium                                 | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Baylea                                   | Animal    | Mollusca                   | -290100000    | -279300000   | <>
Beecheria                                | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Belashovicrinus                          | Animal    | Echinodermata              | -290100000    | -279300000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellerophon                              | Animal    | Mollusca                   | -290100000    | -259900000   | Bellerophon
Benshiella                               | Micro     | Foraminifera               | -290100000    | -279300000   | <>
Betaneospirifer                          | Animal    | Brachiopoda                | -290100000    | -279300000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -298900000    | -272300000   | <>
