Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnocrinus                            | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Belemnospongia                           | Animal    | Porifera                   | -353800000    | -342800000   | <>
Belgibole                                | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Bellerophon                              | Animal    | Mollusca                   | -353800000    | -342800000   | Bellerophon
Bembexia                                 | Animal    | Mollusca                   | -353800000    | -342800000   | Bembexia
Beyrichiella                             | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Beyrichoceras                            | Animal    | Mollusca                   | -353800000    | -342800000   | Beyrichoceras
Bibucia                                  | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Bifossularia                             | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Bilignea                                 | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Bispathodus                              | Animal    | Chordata                   | -358900000    | -346700000   | <>
Bisphaera                                | Micro     | Foraminifera               | -358900000    | -346700000   | <>
Bitumulina                               | Animal    | Arthropoda                 | -358900000    | -353800000   | <>
Blairocrinus                             | Animal    | Echinodermata              | -358900000    | -346700000   | <>
Blothrocrinus                            | Animal    | Echinodermata              | -358900000    | -345300000   | <>
Bohlenatia                               | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Bollandia                                | Animal    | Arthropoda                 | -353800000    | -339400000   | <>
Bollandoceras                            | Animal    | Mollusca                   | -358900000    | -330900000   | <>
Borestus                                 | Animal    | Mollusca                   | -358900000    | -342800000   | <>
Botryopteris                             | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bouhamedites                             | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Boweria                                  | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -358900000    | -298900000   | <>
Brachymetopus                            | Animal    | Arthropoda                 | -353800000    | -339400000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -358900000    | -252170000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Brahmacrinus                             | Animal    | Echinodermata              | -353800000    | -345000000   | <>
Bransonella                              | Animal    | Chordata                   | -358900000    | -330900000   | Bransonella
Breileenia                               | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Breviphillipsia                          | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Brunsia                                  | Micro     | Foraminifera               | -353800000    | -345300000   | Brunsia
Bryantodus                               | Animal    | Chordata                   | -358900000    | -298900000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -358900000    | -298900000   | <>
Bulimorpha                               | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Buteoxylon                               | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Bythocyproidea                           | Animal    | Arthropoda                 | -358900000    | -353800000   | <>
Cactocrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Caenanoplia                              | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Calamites                                | Plant     | Sphenophyta                | -358900000    | -252170000   | Calamites
Calamodendron                            | Plant     | Sphenophyta                | -358900000    | -298900000   | <>
Calamopitys                              | Plant     | Ginkgophyta                | -358900000    | -323200000   | <>
Calamospora                              | Plant     | Sphenophyta                | -358900000    | -298900000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -358900000    | -298900000   | <>
Calathiops                               | Plant     | Pteridospermophyta         | -358900000    | -330900000   | <>
Calathospermum                           | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -358900000    | -252170000   | Calceolispongia
Calclamnella                             | Animal    | Echinodermata              | -358900000    | -323200000   | <>
Calclyra                                 | Animal    | Echinodermata              | -358900000    | -323200000   | <>
Caligella                                | Micro     | Foraminifera               | -382700000    | -346700000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -358900000    | -252170000   | Callipteris
Callistophyton                           | Plant     | Ginkgophyta                | -358900000    | -298900000   | <>
Calmiussiphyllum                         | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Calvustrigis                             | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
