Anisodonta                               | Animal    | Mollusca                   | -47800000     | -41300000    | <>
Anisolambda                              | Animal    | Chordata                   | -47800000     | -38000000    | <>
Anisosiren                               | Animal    | Chordata                   | -47800000     | -41300000    | Anisosiren
Anisotemnus                              | Animal    | Chordata                   | -47800000     | -38000000    | <>
Anisus                                   | Animal    | Mollusca                   | -50300000     | -46200000    | Anisus
Ankylodon                                | Animal    | Chordata                   | -46200000     | -40400000    | <>
Annoticyathus                            | Animal    | Cnidaria                   | -56000000     | -33900000    | <>
Anobium                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Anobium
Anodonta                                 | Animal    | Mollusca                   | -47800000     | -41300000    | Anodonta
Anodontia                                | Animal    | Mollusca                   | -47800000     | -41300000    | Anodontia
Anomalina                                | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -55800000     | -37200000    | <>
Anomalophis                              | Animal    | Chordata                   | -47800000     | -41300000    | <>
Anomia                                   | Animal    | Mollusca                   | -47800000     | -38000000    | Anomia
Anomochone                               | Animal    | Porifera                   | -47800000     | -41300000    | Anomochone
Anomoemys                                | Animal    | Chordata                   | -46200000     | -40400000    | <>
Anomotodon                               | Animal    | Chordata                   | -47800000     | -38000000    | Anomotodon
Anonaspermum                             | Plant     | Spermatophyta              | -47800000     | -41300000    | <>
Anosteira                                | Animal    | Chordata                   | -46200000     | -40400000    | Anosteira
Anoxypristis                             | Animal    | Chordata                   | -47800000     | -38000000    | Anoxypristis
Antalis                                  | Animal    | Mollusca                   | -47800000     | -38000000    | Antalis
Antarctodarwinella                       | Animal    | Mollusca                   | -47800000     | -38000000    | <>
Antarctodolops                           | Animal    | Chordata                   | -47800000     | -38000000    | Antarctodolops
Antarctodon                              | Animal    | Chordata                   | -47800000     | -38000000    | Antarctodon
Antarctomithrax                          | Animal    | Arthropoda                 | -47800000     | -41300000    | <>
Antennarius                              | Animal    | Chordata                   | -47800000     | -41300000    | Antennarius
Antepithecus                             | Animal    | Chordata                   | -47800000     | -38000000    | <>
Anthaxia                                 | Animal    | Arthropoda                 | -47800000     | -41300000    | Anthaxia
Antherophagus                            | Animal    | Arthropoda                 | -50300000     | -46200000    | Antherophagus
