Australochorista                         | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Australovenator                          | Animal    | Chordata                   | -122460000    | -112030000   | Australovenator
Australurus                              | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Austroraphidia                           | Animal    | Arthropoda                 | -122460000    | -112030000   | Austroraphidia
Austroscarites                           | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Avellana                                 | Animal    | Mollusca                   | -122460000    | -112030000   | <>
Avitortor                                | Animal    | Arthropoda                 | -125000000    | -113000000   | Avitortor
Axelrodichthys                           | Animal    | Chordata                   | -122460000    | -109000000   | Axelrodichthys
Axelrodiellus                            | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Axiomaldia                               | Animal    | Arthropoda                 | -125000000    | -113000000   | <>
Axiopsis                                 | Animal    | Arthropoda                 | -145000000    | -100500000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -122460000    | -112030000   | <>
Aymberedactylus                          | Animal    | Chordata                   | -122460000    | -112030000   | Aymberedactylus
Azygopelecinus                           | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Babinskaia                               | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -122460000    | -109000000   | <>
Baculites                                | Animal    | Mollusca                   | -125000000    | -113000000   | Baculites
Bacutriletes                             | Plant     | Lycophyta                  | -122460000    | -109000000   | <>
Baeocossus                               | Animal    | Arthropoda                 | -122460000    | -112030000   | <>
Baidabatyr                               | Animal    | Chordata                   | -129400000    | -113000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -125000000    | -113000000   | Baiera
Baieropsis                               | Plant     | Pteridophyta               | -145000000    | -100500000   | <>
