Arduorhiza                               | Animal    | Porifera                   | -228000000    | -201300000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -228000000    | -201300000   | <>
Arganodus                                | Animal    | Chordata                   | -237000000    | -201300000   | Arganodus
Arnioceras                               | Animal    | Mollusca                   | -208500000    | -201300000   | Arnioceras
Arpadites                                | Animal    | Mollusca                   | -237000000    | -201300000   | Arpadites
Asoella                                  | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Aspiduriella                             | Animal    | Echinodermata              | -208500000    | -201300000   | <>
Astarte                                  | Animal    | Mollusca                   | -208500000    | -201300000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -228000000    | -174100000   | Asteracanthus
Asterocalculus                           | Plant     | Rhodophyta                 | -212000000    | -201300000   | <>
Asteroceras                              | Animal    | Mollusca                   | -208500000    | -201300000   | Asteroceras
Asterolepis                              | Animal    | Chordata                   | -208500000    | -201300000   | Asterolepis
Asterotheca                              | Plant     | Pteridophyta               | -208500000    | -201300000   | Asterotheca
Astraeomorpha                            | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -212000000    | -205600000   | <>
Asylosaurus                              | Animal    | Chordata                   | -208500000    | -201300000   | Asylosaurus
Atractites                               | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Atreta                                   | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Atrochaetetes                            | Animal    | Porifera                   | -212000000    | -205600000   | <>
Aulacoceras                              | Animal    | Mollusca                   | -208500000    | -201300000   | Aulacoceras
Aulacothyris                             | Animal    | Brachiopoda                | -215560000    | -205600000   | <>
Aulacothyropsis                          | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Auloconus                                | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Aulosina                                 | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Aulotortus                               | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Auritulinasporites                       | Plant     | Pteridophyta               | -208500000    | -201300000   | <>
Austaulius                               | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Austriadactylus                          | Animal    | Chordata                   | -212000000    | -205600000   | Austriadactylus
Austriadraco                             | Animal    | Chordata                   | -212000000    | -205600000   | Austriadraco
Austriellula                             | Animal    | Brachiopoda                | -228000000    | -201300000   | <>
Austrirhynchia                           | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Austrocolomia                            | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Austrotindaria                           | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Avicranium                               | Animal    | Chordata                   | -208500000    | -201300000   | Avicranium
Avicula                                  | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Aviculomyalina                           | Animal    | Mollusca                   | -237000000    | -201300000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -237000000    | -174100000   | Aviculopecten
Axiothea                                 | Animal    | Chordata                   | -208500000    | -201300000   | Axiothea
Ayrtonius                                | Micro     | Radiolaria                 | -212000000    | -205600000   | <>
Bactrynium                               | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Bacutriletes                             | Plant     | Lycophyta                  | -208500000    | -174100000   | <>
Badouxia                                 | Animal    | Mollusca                   | -208500000    | -189600000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -208500000    | -190800000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Bairdiolites                             | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Bakevellia                               | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -208500000    | -201300000   | <>
Balatonia                                | Animal    | Porifera                   | -212000000    | -205600000   | <>
Bapristodia                              | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Basutodon                                | Animal    | Chordata                   | -228000000    | -201300000   | Basutodon
Batracholimulus                          | Animal    | Arthropoda                 | -212000000    | -205600000   | <>
Batrachopus                              | Animal    | Chordata                   | -208500000    | -199300000   | Batrachopus
Battaglia                                | Animal    | Porifera                   | -212000000    | -205600000   | <>
Bauneia                                  | Animal    | Porifera                   | -208500000    | -201300000   | <>
Bavarosmilia                             | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Beneckastraea                            | Animal    | Cnidaria                   | -212000000    | -205600000   | <>
