Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -89800000     | -86300000    | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -145000000    | -66000000    | <>
Archaeoglobigerina                       | Micro     | Foraminifera               | -89300000     | -83500000    | <>
Archaeolamna                             | Animal    | Chordata                   | -89800000     | -86300000    | Archaeolamna
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -89300000     | -66000000    | Archaeolithophyllum
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Archaeoniscus
Archaeopus                               | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeornithomimus                       | Animal    | Chordata                   | -89800000     | -83600000    | Archaeornithomimus
Archaeospongoprunum                      | Micro     | Radiolaria                 | -89300000     | -83500000    | <>
Archaeozostera                           | Plant     | Angiospermae               | -100500000    | -66000000    | <>
Archaeromma                              | Animal    | Arthropoda                 | -89300000     | -83500000    | <>
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arctangia                                | Animal    | Cnidaria                   | -93500000     | -89300000    | <>
Arctica                                  | Animal    | Mollusca                   | -89800000     | -86300000    | Arctica_(bivalve)
Arecipites                               | Plant     | Angiospermae               | -100500000    | -56000000    | <>
Argonauticeras                           | Animal    | Mollusca                   | -93500000     | -89300000    | Argonauticeras
Argyrotheca                              | Animal    | Brachiopoda                | -100500000    | -66000000    | Argyrotheca
Ariadnaesporites                         | Plant     | Pteridophyta               | -100500000    | -66000000    | <>
Arkhangelskiella                         | Plant     | Haptophyta                 | -93500000     | -89300000    | <>
Armania                                  | Animal    | Arthropoda                 | -89300000     | -85800000    | <>
Arthraster                               | Animal    | Echinodermata              | -89300000     | -83500000    | <>
Artocarpus                               | Plant     | Spermatophyta              | -89800000     | -72100000    | Artocarpus
Artostrobium                             | Micro     | Radiolaria                 | -89800000     | -86300000    | <>
Arzamazorhinus                           | Animal    | Arthropoda                 | -93500000     | -85800000    | <>
Ascensovoluta                            | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Asflapristis                             | Animal    | Chordata                   | -93500000     | -89300000    | <>
Asiamericana                             | Animal    | Chordata                   | -93500000     | -89300000    | Asiamericana
Aspanlestes                              | Animal    | Chordata                   | -93500000     | -86300000    | <>
Aspidaster                               | Animal    | Echinodermata              | -89300000     | -83500000    | <>
Asplenium                                | Plant     | Pteridophyta               | -100500000    | -66000000    | Asplenium
Astacodes                                | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Astacolus                                | Micro     | Foraminifera               | -93500000     | -89300000    | <>
Astarte                                  | Animal    | Mollusca                   | -145000000    | -66000000    | Astarte
Astraeofungia                            | Animal    | Cnidaria                   | -89300000     | -85800000    | <>
Astrobolia                               | Animal    | Porifera                   | -89800000     | -83600000    | <>
Astrocladia                              | Animal    | Porifera                   | -89800000     | -83600000    | <>
Astrocoenia                              | Animal    | Cnidaria                   | -93900000     | -72100000    | <>
Astrogyra                                | Animal    | Cnidaria                   | -93900000     | -72100000    | <>
Astropecten                              | Animal    | Echinodermata              | -100500000    | -66000000    | Astropecten
Atacamatitan                             | Animal    | Chordata                   | -100500000    | -66000000    | Atacamatitan
Ataxophragmium                           | Micro     | Foraminifera               | -100500000    | -56000000    | <>
Atlantoceratodus                         | Animal    | Chordata                   | -89800000     | -86300000    | <>
Atractosteus                             | Animal    | Chordata                   | -89300000     | -70600000    | Atractosteus
Atreta                                   | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Aturoidea                                | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Aucellina                                | Animal    | Mollusca                   | -163500000    | -66000000    | <>
Aulacopodia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Aulaxinia                                | Animal    | Porifera                   | -93500000     | -89300000    | <>
Auletomacer                              | Animal    | Arthropoda                 | -89300000     | -85800000    | <>
Aulosmilia                               | Animal    | Cnidaria                   | -89300000     | -85800000    | <>
Auriculiidites                           | Plant     | Magnoliophyta              | -89800000     | -83600000    | <>
Austinocrinus                            | Animal    | Echinodermata              | -100500000    | -66000000    | <>
Australotitan                            | Animal    | Chordata                   | -99600000     | -89300000    | Australotitan
Australovenator                          | Animal    | Chordata                   | -100500000    | -89300000    | Australovenator
Avicula                                  | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Avitelmessus                             | Animal    | Arthropoda                 | -100500000    | -66000000    | Avitelmessus
Avitosmerus                              | Animal    | Chordata                   | -93500000     | -89300000    | <>
Axelrodichthys                           | Animal    | Chordata                   | -89800000     | -83600000    | Axelrodichthys
Axonoceras                               | Animal    | Mollusca                   | -93900000     | -83600000    | Axonoceras
Azhdarcho                                | Animal    | Chordata                   | -93500000     | -89300000    | Azhdarcho
Azolla                                   | Plant     | Pteridophyta               | -100500000    | -61700000    | Azolla
Baalsaurus                               | Animal    | Chordata                   | -93500000     | -85800000    | Baalsaurus
Bactrosaurus                             | Animal    | Chordata                   | -100500000    | -66000000    | Bactrosaurus
Baculatisporites                         | Plant     | Pteridophyta               | -100500000    | -33900000    | <>
Baculites                                | Animal    | Mollusca                   | -100500000    | -66000000    | Baculites
Bacutriletes                             | Plant     | Lycophyta                  | -89800000     | -83600000    | <>
Bageites                                 | Animal    | Mollusca                   | -93500000     | -89300000    | <>
Baidunoconcha                            | Animal    | Mollusca                   | -100500000    | -66000000    | <>
Baieropsis                               | Plant     | Pteridophyta               | -145000000    | -66000000    | <>
Bairdia                                  | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Balanocidaris                            | Animal    | Echinodermata              | -89300000     | -83600000    | <>
Bananogmius                              | Animal    | Chordata                   | -93500000     | -89300000    | Bananogmius
Baotianmansaurus                         | Animal    | Chordata                   | -93500000     | -70600000    | Baotianmansaurus
Baptornis                                | Animal    | Chordata                   | -89800000     | -83600000    | Baptornis
Barbatia                                 | Animal    | Mollusca                   | -93500000     | -89300000    | Barbatia
Barrettia                                | Animal    | Mollusca                   | -89800000     | -86300000    | <>
Barroisiceras                            | Animal    | Mollusca                   | -89300000     | -83600000    | Barroisiceras
Barrosasaurus                            | Animal    | Chordata                   | -93500000     | -85800000    | Barrosasaurus
Barysmilia                               | Animal    | Cnidaria                   | -93500000     | -89300000    | <>
Basilissa                                | Animal    | Mollusca                   | -89800000     | -86300000    | Basilissa_(gastropod)
Bassites                                 | Animal    | Mollusca                   | -93500000     | -89300000    | <>
