Archaeopteridium                         | Plant     | Aneurophytophyta           | -339400000    | -336000000   | <>
Archaesphaera                            | Micro     | Foraminifera               | -358900000    | -330900000   | <>
Archegonus                               | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Archimedes                               | Animal    | Bryozoa                    | -336000000    | -318100000   | Archimedes
Archocyrtium                             | Micro     | Radiolaria                 | -345300000    | -345000000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -346700000    | -330900000   | <>
Argentiproductus                         | Animal    | Brachiopoda                | -339400000    | -336000000   | <>
Armenocrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -358900000    | -298900000   | Arthropitys
Arthropleura                             | Animal    | Arthropoda                 | -346700000    | -330900000   | Arthropleura
Ascodictyon                              | Animal    | Bryozoa                    | -345300000    | -342800000   | <>
Ascopora                                 | Animal    | Bryozoa                    | -336000000    | -326400000   | <>
Astartella                               | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Asteroarchaediscus                       | Micro     | Foraminifera               | -339400000    | -314600000   | <>
Asterolepis                              | Animal    | Chordata                   | -358900000    | -323200000   | Asterolepis_(fish)
Asterophyllites                          | Plant     | Sphenophyta                | -358900000    | -252170000   | <>
Asteroptychius                           | Animal    | Chordata                   | -358900000    | -323200000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -358900000    | -298900000   | Asterotheca
Asymptoceras                             | Animal    | Mollusca                   | -345300000    | -342800000   | Asymptoceras
Asyrinxia                                | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Atelestocrinus                           | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Athyris                                  | Animal    | Brachiopoda                | -336000000    | -326400000   | Athyris
Athyrisina                               | Animal    | Brachiopoda                | -345000000    | -336000000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -339400000    | -336000000   | Atrypa
Atylephorus                              | Animal    | Brachiopoda                | -345300000    | -339400000   | <>
Aulacella                                | Animal    | Brachiopoda                | -345300000    | -342800000   | <>
Aulacophoria                             | Animal    | Brachiopoda                | -339400000    | -336000000   | <>
Aulacotheca                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Aulina                                   | Animal    | Cnidaria                   | -336000000    | -323200000   | <>
Auloclisia                               | Animal    | Cnidaria                   | -339400000    | -326400000   | <>
Aulocrinus                               | Animal    | Echinodermata              | -345300000    | -342800000   | <>
Aulodesocrinus                           | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Aulokoninckophyllum                      | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -336000000    | -323200000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -336000000    | -326400000   | Aulopora
Auloprotonia                             | Animal    | Brachiopoda                | -345000000    | -336000000   | <>
Australokaskia                           | Animal    | Arthropoda                 | -346700000    | -330900000   | <>
Australosutura                           | Animal    | Arthropoda                 | -345300000    | -345000000   | <>
Austroworthenia                          | Animal    | Mollusca                   | -353800000    | -345300000   | <>
Avicula                                  | Animal    | Mollusca                   | -339400000    | -336000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -336000000    | -318100000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Avonia                                   | Animal    | Brachiopoda                | -336000000    | -326400000   | Avonia
Axoclisia                                | Animal    | Cnidaria                   | -339400000    | -326400000   | <>
Axophyllum                               | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Azurduya                                 | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Bactrites                                | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Bactrognathus                            | Animal    | Chordata                   | -353800000    | -342800000   | Bactrognathus
Baculopora                               | Animal    | Bryozoa                    | -339400000    | -336000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -358900000    | -252170000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Bairdops                                 | Animal    | Arthropoda                 | -346700000    | -330900000   | <>
Balanerpeton                             | Animal    | Chordata                   | -336000000    | -326400000   | Balanerpeton
Balanoconcha                             | Animal    | Brachiopoda                | -346700000    | -330900000   | <>
Balantoides                              | Animal    | Arthropoda                 | -339400000    | -314600000   | <>
Barycrinus                               | Animal    | Echinodermata              | -345300000    | -342800000   | <>
