Anisograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Anisonotella                             | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Anisopleurella                           | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Annamitella                              | Animal    | Arthropoda                 | -466000000    | -449500000   | Annamitella
Annulospongia                            | Animal    | Porifera                   | -467300000    | -458400000   | <>
Anolotichia                              | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Anomalocrinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anomalocystites                          | Animal    | Echinodermata              | -466000000    | -460900000   | <>
Anomaloglossa                            | Animal    | Brachiopoda                | -467300000    | -458400000   | <>
Anomalograptus                           | Animal    | Hemichordata               | -468100000    | -460900000   | <>
Anomalorthis                             | Animal    | Brachiopoda                | -467300000    | -458400000   | <>
Anoptambonites                           | Animal    | Brachiopoda                | -460900000    | -443700000   | <>
Ansella                                  | Animal    | Chordata                   | -460900000    | -449500000   | <>
Anthaspidella                            | Animal    | Porifera                   | -460900000    | -449500000   | <>
Anthoceras                               | Animal    | Mollusca                   | -466000000    | -460900000   | Anthoceras
Anthracocrinus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -460900000    | -445600000   | <>
Anticostia                               | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Antigonambonites                         | Animal    | Brachiopoda                | -466000000    | -463500000   | <>
Antiplectoceras                          | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Antispira                                | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Antygopora                               | Micro     | Radiolaria                 | -466000000    | -460900000   | <>
Anulocrinus                              | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Anx                                      | Animal    | Brachiopoda                | -460900000    | -449500000   | Anx
Aostipora                                | Animal    | Bryozoa                    | -478600000    | -466000000   | <>
Aparchitella                             | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Aparchites                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Apatobolus                               | Animal    | Brachiopoda                | -460900000    | -457500000   | <>
Apatochilina                             | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Apatokephalus                            | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Apatolichas                              | Animal    | Arthropoda                 | -466000000    | -460900000   | Apatolichas
Apatomorpha                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Apatorthis                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Apedolepis                               | Animal    | Chordata                   | -467300000    | -458400000   | Apedolepis
Aphelognathus                            | Animal    | Chordata                   | -460900000    | -449500000   | <>
Apheoorthis                              | Animal    | Brachiopoda                | -466000000    | -460900000   | <>
Aphetoceras                              | Animal    | Mollusca                   | -467300000    | -458400000   | Aphetoceras
Apianurus                                | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Apiograptus                              | Animal    | Hemichordata               | -468900000    | -466000000   | <>
Apodasmocrinus                           | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Apollonorthis                            | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Apomatella                               | Animal    | Brachiopoda                | -466000000    | -460900000   | <>
Aporthophyla                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Aporthophylina                           | Animal    | Brachiopoda                | -467300000    | -458400000   | <>
Appalachignathus                         | Animal    | Chordata                   | -460900000    | -449500000   | Appalachignathus
Apsidoceras                              | Animal    | Mollusca                   | -460900000    | -443700000   | <>
Apsotreta                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Apteracontiodus                          | Animal    | Chordata                   | -467300000    | -458400000   | <>
Apycnodiscus                             | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Arabellites                              | Animal    | Annelida                   | -460900000    | -449500000   | <>
Arachnocystites                          | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Arachnostega                             | Animal    | Annelida                   | -460900000    | -449500000   | <>
Araiopleura                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Arandaspis                               | Animal    | Chordata                   | -466000000    | -460900000   | Arandaspis
