Aulacoparia                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -478600000    | -468100000   | Aulacopleura
Aulacopsis                               | Animal    | Arthropoda                 | -471800000    | -468100000   | <>
Aulocopella                              | Animal    | Porifera                   | -485400000    | -443400000   | <>
Aulocopium                               | Animal    | Porifera                   | -478600000    | -466000000   | <>
Aulograptus                              | Animal    | Hemichordata               | -471800000    | -468100000   | <>
Aulonotreta                              | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Australopyge                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Australopyge
Avaoceras                                | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Azygograptus                             | Animal    | Hemichordata               | -471800000    | -468100000   | <>
Babinka                                  | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Bactroceras                              | Animal    | Mollusca                   | -471800000    | -466000000   | Bactroceras
Baidiostraca                             | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Bairdiocypridella                        | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Balanocystites                           | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Balantiocystis                           | Animal    | Echinodermata              | -477700000    | -470000000   | <>
Ballardina                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Balnibarbi                               | Animal    | Arthropoda                 | -478600000    | -471800000   | Balnibarbi
Baltiscanella                            | Animal    | Mollusca                   | -485400000    | -443400000   | <>
Baltograptus                             | Animal    | Hemichordata               | -472000000    | -468900000   | <>
Baltoniodus                              | Animal    | Chordata                   | -471800000    | -463500000   | Baltoniodus
Barrandia                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Barrandicella                            | Animal    | Mollusca                   | -477700000    | -470000000   | <>
Basilicus                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Bassleroceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Bassleroceras
Batherocystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Bathmoceras                              | Animal    | Mollusca                   | -471800000    | -466000000   | Bathmoceras
Bathycheilus                             | Animal    | Arthropoda                 | -471800000    | -466000000   | Bathycheilus
Bathyurellus                             | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Bathyurina                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bathyurine                               | Animal    | Arthropoda                 | -485400000    | -471800000   | <>
Bathyurus                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Batostoma                                | Animal    | Bryozoa                    | -471800000    | -457500000   | <>
Batostomella                             | Animal    | Bryozoa                    | -478600000    | -468100000   | <>
Bavarilla                                | Animal    | Arthropoda                 | -478600000    | -466000000   | Bavarilla
Beatricea                                | Micro     | Radiolaria                 | -485400000    | -443400000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellefontia                              | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Belodella                                | Animal    | Chordata                   | -471800000    | -457500000   | <>
Belodina                                 | Animal    | Chordata                   | -471800000    | -457500000   | <>
Belonechitina                            | Micro     | Sarcodina                  | -477700000    | -470000000   | Belonechitina
Benedettia                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Benthamaspis                             | Animal    | Arthropoda                 | -471800000    | -468100000   | Benthamaspis
Bentoceras                               | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Bergamia                                 | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bergstroemognathus                       | Animal    | Chordata                   | -476800000    | -473900000   | <>
Bevanopsis                               | Animal    | Arthropoda                 | -471800000    | -457500000   | Bevanopsis
Bienvillia                               | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Biernatia                                | Animal    | Brachiopoda                | -471800000    | -468100000   | <>
Billingsaria                             | Animal    | Cnidaria                   | -471800000    | -457500000   | <>
Billingsella                             | Animal    | Brachiopoda                | -477700000    | -470000000   | <>
Birmanites                               | Animal    | Arthropoda                 | -478600000    | -466000000   | Birmanites
Bisonoceras                              | Animal    | Mollusca                   | -485400000    | -467300000   | <>
Bivia                                    | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Blastoidocrinus                          | Animal    | Echinodermata              | -471800000    | -457500000   | <>
Blosyropsis                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Boeckaspis                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bohemilla                                | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bohemopyge                               | Animal    | Arthropoda                 | -477700000    | -470000000   | <>
Bolbocephalus                            | Animal    | Arthropoda                 | -471800000    | -457500000   | Bolbocephalus
Bollia                                   | Animal    | Arthropoda                 | -485400000    | -443400000   | <>
Bornholmaspis                            | Animal    | Arthropoda                 | -471800000    | -468100000   | Bornholmaspis
Borua                                    | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Botellusoceras                           | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Boucotspira                              | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Brachyhipposiderus                       | Animal    | Arthropoda                 | -485400000    | -470000000   | <>
Branisaspis                              | Animal    | Arthropoda                 | -477700000    | -470000000   | <>
Brechmocrinus                            | Animal    | Echinodermata              | -471800000    | -457500000   | <>
Bridgeites                               | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Bridgeoceras                             | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Broeggeria                               | Animal    | Brachiopoda                | -477700000    | -470000000   | <>
Bryograptus                              | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Bucanella                                | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Bucania                                  | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Bumastoides                              | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -471800000    | -457500000   | Bumastus
Burenoceras                              | Animal    | Mollusca                   | -485400000    | -470000000   | Burenoceras
Burminresia                              | Animal    | Arthropoda                 | -476800000    | -473900000   | <>
Buttsia                                  | Animal    | Arthropoda                 | -488300000    | -471800000   | <>
Buttsoceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Bythopora                                | Animal    | Bryozoa                    | -485400000    | -443400000   | <>
Cahabagnathus                            | Animal    | Chordata                   | -471800000    | -457500000   | <>
Calamograptus                            | Animal    | Hemichordata               | -477700000    | -470000000   | <>
Calathium                                | Plant     | Chlorophyta                | -471800000    | -457500000   | <>
Calaurops                                | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Callograptus                             | Animal    | Hemichordata               | -476800000    | -473900000   | Callograptus
Calycocoelia                             | Animal    | Porifera                   | -471800000    | -457500000   | <>
Calymenesun                              | Animal    | Arthropoda                 | -478600000    | -449500000   | <>
Calyptaulax                              | Animal    | Arthropoda                 | -471800000    | -449500000   | Calyptaulax
Camerella                                | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Cameroceras                              | Animal    | Mollusca                   | -477700000    | -470000000   | Cameroceras
Campbelloceras                           | Animal    | Mollusca                   | -477700000    | -470000000   | Campbelloceras
Campendoceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Campendoceras
Canadocystis                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Canningella Pliomeridae                  | Animal    | Arthropoda                 | -476800000    | -473900000   | <>
Carabocrinus                             | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Carcassonnella                           | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Cardiograptus                            | Animal    | Hemichordata               | -471800000    | -457500000   | Cardiograptus
Carminodonta                             | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Carolinites                              | Animal    | Arthropoda                 | -471800000    | -457500000   | Carolinites
Carrickia                                | Animal    | Arthropoda                 | -471800000    | -457500000   | <>
Caryocaris                               | Animal    | Arthropoda                 | -477700000    | -470000000   | <>
Cassinoceras                             | Animal    | Mollusca                   | -477700000    | -470000000   | Cassinoceras
Castelloceras                            | Animal    | Mollusca                   | -478600000    | -471800000   | Castelloceras
Catamarcaia                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cataschisma                              | Animal    | Mollusca                   | -471800000    | -457500000   | <>
Catenipora                               | Animal    | Cnidaria                   | -485400000    | -443400000   | Catenipora
Catochia                                 | Animal    | Arthropoda                 | -477700000    | -470000000   | <>
Catoraphiceras                           | Animal    | Mollusca                   | -477700000    | -470000000   | <>
