Bohemiproetus                            | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Boiotremus                               | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Bojocoryphe                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Bojodouvillina                           | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Bojoscutellum                            | Animal    | Arthropoda                 | -410800000    | -382700000   | Bojoscutellum
Bojothyris                               | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Bojozyga                                 | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Bolbozoe                                 | Animal    | Arthropoda                 | -423000000    | -391900000   | <>
Bollia                                   | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Borchgrevinkium                          | Animal    | Arthropoda                 | -419200000    | -393300000   | Borchgrevinkium
Borealis                                 | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Botryocrinus                             | Animal    | Echinodermata              | -410800000    | -407600000   | <>
Boucia                                   | Animal    | Arthropoda                 | -423000000    | -391900000   | <>
Boucotia                                 | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Boucotonotus                             | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Boucotstrophia                           | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Bouskacrinus                             | Animal    | Echinodermata              | -410800000    | -407600000   | <>
Brachipteraspis                          | Animal    | Chordata                   | -410800000    | -407600000   | <>
Brachyprion                              | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Brachyspirifer                           | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Branikia                                 | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Branzovodiscus                           | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Brevicoceras                             | Animal    | Mollusca                   | -410800000    | -383700000   | Brevicoceras
Breviphrentis                            | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Breviphyllum                             | Animal    | Cnidaria                   | -410800000    | -407600000   | <>
Breviscutellum                           | Animal    | Arthropoda                 | -410800000    | -407600000   | <>
Brevispirifer                            | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Brianispongia                            | Animal    | Porifera                   | -410800000    | -407600000   | <>
Bucanella                                | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Bucanospira                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Buchanathyris                            | Animal    | Brachiopoda                | -410800000    | -393300000   | <>
Buchiproetus                             | Animal    | Arthropoda                 | -409100000    | -387700000   | <>
Bukkanodus                               | Animal    | Chordata                   | -419200000    | -358900000   | Bukkanodus
Burmeisterella                           | Animal    | Arthropoda                 | -409100000    | -402500000   | Burmeisterella
Burmeisteria                             | Animal    | Arthropoda                 | -419200000    | -393300000   | Burmeisteria
Buskopora                                | Animal    | Bryozoa                    | -410800000    | -407600000   | <>
Byssopteria                              | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Calamophyton                             | Plant     | Tracheophyta               | -419200000    | -393300000   | <>
Calamospora                              | Plant     | Sphenophyta                | -409100000    | -402500000   | <>
Calceola                                 | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
Caliapora                                | Animal    | Cnidaria                   | -409100000    | -402500000   | Caliapora
Caligella                                | Micro     | Foraminifera               | -409100000    | -402500000   | <>
Callipleura                              | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Calloconus                               | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Callograptus                             | Animal    | Hemichordata               | -409100000    | -391900000   | Callograptus
Calpichitina                             | Micro     | Rhizopodea                 | -419200000    | -407600000   | <>
Calycanthocrinus                         | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Calymene                                 | Animal    | Arthropoda                 | -410800000    | -402500000   | Calymene
Camarocrinus                             | Animal    | Echinodermata              | -419200000    | -391900000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -409100000    | -402500000   | Camarotoechia
Camerella                                | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Campophyllum                             | Animal    | Cnidaria                   | -409100000    | -383700000   | <>
Camurophyllum                            | Animal    | Cnidaria                   | -410800000    | -407600000   | <>
Cancellspyroceras                        | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Caneyella                                | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Caninia                                  | Animal    | Cnidaria                   | -419200000    | -298900000   | Caninia_(coral)
Caninophyllum                            | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Canonia                                  | Animal    | Chordata                   | -419200000    | -393300000   | Canonia
Caplinoplia                              | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Carcinosoma                              | Animal    | Arthropoda                 | -409100000    | -402500000   | Carcinosoma
Cardiola                                 | Animal    | Mollusca                   | -410800000    | -407600000   | Cardiola
Cardiolinka                              | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Cardipeltis                              | Animal    | Chordata                   | -419200000    | -393300000   | Cardipeltis
Carinagypa                               | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Carinatina                               | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Carinatrypa                              | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Carlinastraea                            | Animal    | Cnidaria                   | -410800000    | -407600000   | <>
Carpocrinus                              | Animal    | Echinodermata              | -410800000    | -407600000   | <>
Cartericardia                            | Animal    | Mollusca                   | -410800000    | -407600000   | <>
Carydium                                 | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Catena                                   | Plant     | Chlorophyta                | -410800000    | -407600000   | <>
Cathlorhynchus                           | Animal    | Chordata                   | -409100000    | -402500000   | <>
Caudicriodus                             | Animal    | Chordata                   | -410800000    | -407600000   | <>
Cavellina                                | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Celaeceras                               | Animal    | Mollusca                   | -409100000    | -391900000   | <>
Celtanoplia                              | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Centriproetus                            | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Centroceras                              | Animal    | Mollusca                   | -409100000    | -391900000   | <>
Centronella                              | Animal    | Brachiopoda                | -410800000    | -407600000   | <>
Ceratarges                               | Animal    | Arthropoda                 | -409100000    | -402500000   | Ceratarges
Ceratiocaris                             | Animal    | Arthropoda                 | -409100000    | -402500000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -409100000    | -387700000   | Ceratocephala_(trilobite)
Ceratonurus                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Ceratophyllum                            | Animal    | Cnidaria                   | -409100000    | -382700000   | Ceratophyllum
Ceriocysta                               | Animal    | Cnidaria                   | -410800000    | -402500000   | <>
Cerovoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Chaetetes                                | Animal    | Porifera                   | -410800000    | -393300000   | Chaetetes
Chaetetipora                             | Animal    | Porifera                   | -410800000    | -407600000   | <>
Chaetocladus                             | Plant     | Chlorophyta                | -409100000    | -402500000   | Chaetocladus
