Antigona                                 | Animal    | Mollusca                   | -2588000      | 2030         | Antigona_(bivalve)
Antigone                                 | Animal    | Chordata                   | -11700        | 2030         | Antigone
Antillophyllia                           | Animal    | Cnidaria                   | -2588000      | 2030         | Antillophyllia
Antilocapra                              | Animal    | Chordata                   | -11700        | 2030         | Antilocapra
Antilope                                 | Animal    | Chordata                   | -126000       | 2030         | Antilope
Antiplanes                               | Animal    | Mollusca                   | -2588000      | 2030         | Antiplanes
Antrozous                                | Animal    | Chordata                   | -11700        | 2030         | Antrozous
Aonyx                                    | Animal    | Chordata                   | -11700        | 2030         | Aonyx
Aotus                                    | Animal    | Chordata                   | -11700        | 2030         | Night_monkey
Apentacentrus                            | Animal    | Arthropoda                 | -11700        | 2030         | <>
Aphaenogaster                            | Animal    | Arthropoda                 | -11700        | 2030         | Aphaenogaster
Aphananthe                               | Plant     | Spermatophyta              | -126000       | 2030         | Aphananthe
Aphanapteryx                             | Animal    | Chordata                   | -11700        | 2030         | Aphanapteryx
Aphanocrex                               | Animal    | Chordata                   | -11700        | 2030         | Aphanocrex
Aphrodroma                               | Animal    | Chordata                   | -11700        | 2030         | Aphrodroma
Apis                                     | Animal    | Arthropoda                 | -11700        | 2030         | Apis
Aplodinotus                              | Animal    | Chordata                   | -11700        | 2030         | Aplodinotus
Aplonis                                  | Animal    | Chordata                   | -11700        | 2030         | Aplonis
Apodytes                                 | Plant     | Spermatophyta              | -11700        | 2030         | Apodytes
Apogon                                   | Animal    | Chordata                   | -126000       | 2030         | Apogon
Apolymetis                               | Animal    | Mollusca                   | -2588000      | 2030         | <>
Aporrhais                                | Animal    | Mollusca                   | -11700        | 2030         | Aporrhais
Aptenodytes                              | Animal    | Chordata                   | -11700        | 2030         | Aptenodytes
Apteribis                                | Animal    | Chordata                   | -11700        | 2030         | Apteribis
Apteryx                                  | Animal    | Chordata                   | -11700        | 2030         | Apteryx
Aptornis                                 | Animal    | Chordata                   | -11700        | 2030         | Aptornis
Apus                                     | Animal    | Chordata                   | -11700        | 2030         | Apus
Aquila                                   | Animal    | Chordata                   | -11700        | 2030         | Aquila_(bird)
Ara                                      | Animal    | Chordata                   | -11700        | 2030         | Ara
Aradus                                   | Animal    | Arthropoda                 | -11700        | 2030         | Aradus
Araucaria                                | Plant     | Pinophyta                  | -126000       | 2030         | Araucaria
Arca                                     | Animal    | Mollusca                   | -11700        | 2030         | Arca
Arcania                                  | Animal    | Arthropoda                 | -11700        | 2030         | Arcania
Archaeolacerta                           | Animal    | Chordata                   | -11700        | 2030         | Archaeolacerta
Archaeolemur                             | Animal    | Chordata                   | -11700        | 2030         | Archaeolemur
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -11700        | 2030         | <>
Architectonica                           | Animal    | Mollusca                   | -11700        | 2030         | Architectonica
Archontophoenix                          | Plant     | Angiospermae               | -781000       | 2030         | Archontophoenix
Archosargus                              | Animal    | Chordata                   | -11700        | 2030         | Archosargus
Arcinella                                | Animal    | Mollusca                   | -11700        | 2030         | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -11700        | 2030         | <>
Arcopaginula                             | Animal    | Mollusca                   | -11700        | 2030         | <>
Arcopsis                                 | Animal    | Mollusca                   | -11700        | 2030         | <>
Arctides                                 | Animal    | Arthropoda                 | -11700        | 2030         | Arctides
Arctocephalus                            | Animal    | Chordata                   | -11700        | 2030         | Arctocephalus
Arctodus                                 | Animal    | Chordata                   | -126000       | 2030         | Arctodus
Arctotherium                             | Animal    | Chordata                   | -126000       | 2030         | Arctotherium
Arcuatula                                | Animal    | Mollusca                   | -11700        | 2030         | Arcuatula
Ardea                                    | Animal    | Chordata                   | -11700        | 2030         | Ardea_(bird)
Ardenna                                  | Animal    | Chordata                   | -11700        | 2030         | Ardenna
Arenaria                                 | Animal    | Chordata                   | -11700        | 2030         | Turnstone
Arene                                    | Animal    | Mollusca                   | -11700        | 2030         | Arene
Arete                                    | Animal    | Arthropoda                 | -11700        | 2030         | Arete
Argopecten                               | Animal    | Mollusca                   | -11700        | 2030         | Argopecten
Argophyllum                              | Plant     | Spermatophyta              | -126000       | 2030         | Argophyllum
Argyrodendron                            | Plant     | Spermatophyta              | -11700        | 2030         | Argyrodendron
Ariadna                                  | Animal    | Arthropoda                 | -11700        | 2030         | Ariadna
Aristaeomorpha                           | Animal    | Arthropoda                 | -11700        | 2030         | Aristaeomorpha
Aristaeopsis                             | Animal    | Arthropoda                 | -11700        | 2030         | <>
Aristelliger                             | Animal    | Chordata                   | -11700        | 2030         | Aristelliger
Aristeus                                 | Animal    | Arthropoda                 | -11700        | 2030         | Aristeus
Arizona                                  | Animal    | Chordata                   | -126000       | 2030         | Arizona
Artamella                                | Animal    | Chordata                   | -11700        | 2030         | Artamella
Artamus                                  | Animal    | Chordata                   | -11700        | 2030         | Artamus
Artemisia                                | Plant     | Spermatophyta              | -11700        | 2030         | Artemisia_(plant)
Arthropoma                               | Animal    | Bryozoa                    | -11700        | 2030         | <>
Articerus                                | Animal    | Arthropoda                 | -11700        | 2030         | <>
Arundo                                   | Plant     | Angiospermae               | -2588000      | 2030         | Arundo
Arvicanthis                              | Animal    | Chordata                   | -11700        | 2030         | Arvicanthis
Arvicola                                 | Animal    | Chordata                   | -11700        | 2030         | Arvicola
Asaphis                                  | Animal    | Mollusca                   | -11700        | 2030         | <>
Aseraggodes                              | Animal    | Chordata                   | -340000       | 2030         | Aseraggodes
Ashtoret                                 | Animal    | Arthropoda                 | -11700        | 2030         | Ashtoret
Asio                                     | Animal    | Chordata                   | -11700        | 2030         | Asio
Aspatharia                               | Animal    | Mollusca                   | -11700        | 2030         | Aspatharia
Aspidium                                 | Plant     | Pteridophyta               | -126000       | 2030         | Aspidium
Asplenium                                | Plant     | Pteridophyta               | -781000       | 2030         | Asplenium
Assiminea                                | Animal    | Mollusca                   | -11700        | 2030         | Assiminea
Astarte                                  | Animal    | Mollusca                   | -11700        | 2030         | Astarte
Asteia                                   | Animal    | Arthropoda                 | -11700        | 2030         | <>
Astraea                                  | Animal    | Mollusca                   | -11700        | 2030         | Astraea
Astralium                                | Animal    | Mollusca                   | -11700        | 2030         | Astralium
Astrangia                                | Animal    | Cnidaria                   | -11700        | 2030         | Astrangia
Astrea                                   | Animal    | Cnidaria                   | -11700        | 2030         | <>
Astreopora                               | Animal    | Cnidaria                   | -11700        | 2030         | Astreopora
Astrononion                              | Micro     | Foraminifera               | -11700        | 2030         | Astrononion
Astyris                                  | Animal    | Mollusca                   | -11700        | 2030         | Astyris
Ataxocerithium                           | Animal    | Mollusca                   | -11700        | 2030         | Ataxocerithium
Atelerix                                 | Animal    | Chordata                   | -2588000      | 2030         | Atelerix
Ateles                                   | Animal    | Chordata                   | -11700        | 2030         | Ateles
Atergatis                                | Animal    | Arthropoda                 | -11700        | 2030         | Atergatis
Athanas                                  | Animal    | Arthropoda                 | -11700        | 2030         | Athanas
Athanopsis                               | Animal    | Arthropoda                 | -11700        | 2030         | <>
Athene                                   | Animal    | Chordata                   | -11700        | 2030         | Athene_(bird)
Atilax                                   | Animal    | Chordata                   | -11700        | 2030         | Atilax
Atlanta                                  | Animal    | Mollusca                   | -11700        | 2030         | Atlanta
Atrichornis                              | Animal    | Chordata                   | -11700        | 2030         | Atrichornis
Atrina                                   | Animal    | Mollusca                   | -11700        | 2030         | Atrina
Atta                                     | Animal    | Arthropoda                 | -11700        | 2030         | Atta
Attagis                                  | Animal    | Chordata                   | -11700        | 2030         | Attagis
Atys                                     | Animal    | Mollusca                   | -11700        | 2030         | Atys_(gastropod)
Auchenoglanis                            | Animal    | Chordata                   | -11700        | 2030         | Auchenoglanis
Aulacomya                                | Animal    | Mollusca                   | -11700        | 2030         | Aulacomya
Aulacorhynchus                           | Animal    | Chordata                   | -11700        | 2030         | Aulacorhynchus
Aurila                                   | Animal    | Arthropoda                 | -11700        | 2030         | <>
Austinogebia                             | Animal    | Arthropoda                 | -11700        | 2030         | <>
Austrodromidia                           | Animal    | Arthropoda                 | -11700        | 2030         | <>
Austrolepidopa                           | Animal    | Arthropoda                 | -11700        | 2030         | <>
Austropenaeus                            | Animal    | Arthropoda                 | -11700        | 2030         | <>
Avahi                                    | Animal    | Chordata                   | -11700        | 2030         | Woolly_lemur
Axinopsida                               | Animal    | Mollusca                   | -11700        | 2030         | <>
Axiopsis                                 | Animal    | Arthropoda                 | -11700        | 2030         | <>
Aythya                                   | Animal    | Chordata                   | -11700        | 2030         | Aythya
Azolla                                   | Plant     | Pteridophyta               | -11700        | 2030         | Azolla
Azteca                                   | Animal    | Arthropoda                 | -11700        | 2030         | Azteca_(ant)
Babakotia                                | Animal    | Chordata                   | -11700        | 2030         | Babakotia
Babylonia                                | Animal    | Mollusca                   | -11700        | 2030         | Babylonia_(gastropod)
Bagrus                                   | Animal    | Chordata                   | -11700        | 2030         | Bagrus
Balaena                                  | Animal    | Chordata                   | -11700        | 2030         | Balaena
Balaeniceps                              | Animal    | Chordata                   | -11700        | 2030         | Balaeniceps
Balaenoptera                             | Animal    | Chordata                   | -11700        | 2030         | Balaenoptera
Balanophyllia                            | Animal    | Cnidaria                   | -2588000      | 2030         | Balanophyllia
Balanops                                 | Plant     | Spermatophyta              | -11700        | 2030         | Balanops
Balanus                                  | Animal    | Arthropoda                 | -11700        | 2030         | Balanus
Balcis                                   | Animal    | Mollusca                   | -11700        | 2030         | <>
Banareia                                 | Animal    | Arthropoda                 | -11700        | 2030         | Banareia
Barbarofusus                             | Animal    | Mollusca                   | -2588000      | 2030         | Barbarofusus
Barbatia                                 | Animal    | Mollusca                   | -11700        | 2030         | Barbatia
Barbus                                   | Animal    | Chordata                   | -11700        | 2030         | Barbus
Barleeia                                 | Animal    | Mollusca                   | -2588000      | 2030         | Barleeia
Barnea                                   | Animal    | Mollusca                   | -11700        | 2030         | Barnea_(bivalve)
