Arachniograptus                          | Animal    | Hemichordata               | -449500000    | -443700000   | <>
Arachnocystites                          | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Arachnostega                             | Animal    | Annelida                   | -460900000    | -449500000   | <>
Arborohindia                             | Animal    | Porifera                   | -456100000    | -449500000   | <>
Archaegocystis                           | Animal    | Echinodermata              | -455800000    | -445600000   | <>
Archaeochonetes                          | Animal    | Brachiopoda                | -449500000    | -443700000   | <>
Archaeoconularia                         | Animal    | Cnidaria                   | -457500000    | -445600000   | <>
Archaeocrinus                            | Animal    | Echinodermata              | -449500000    | -443700000   | <>
Archaeocyathus                           | Animal    | Porifera                   | -449500000    | -443700000   | <>
Archaeophialia                           | Animal    | Mollusca                   | -445600000    | -443700000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -449500000    | -443700000   | <>
Archeognathus                            | Animal    | Chordata                   | -457500000    | -452500000   | Archeognathus
Archinacella                             | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Archinacellina                           | Animal    | Mollusca                   | -449500000    | -445600000   | <>
Arcticeraurinella                        | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Arctinurus                               | Animal    | Arthropoda                 | -449500000    | -443700000   | Arctinurus
Areia                                    | Animal    | Arthropoda                 | -455800000    | -445600000   | Areia_(trilobite)
Arisaigia                                | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Aristerella                              | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Aristocystites                           | Animal    | Echinodermata              | -445600000    | -443700000   | <>
Arjamannia                               | Animal    | Mollusca                   | -449500000    | -443700000   | <>
Armenoceras                              | Animal    | Mollusca                   | -449500000    | -443700000   | Armenoceras
Arthroclema                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Arthrophragma                            | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Arthropoma                               | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Arthrorhachis                            | Animal    | Arthropoda                 | -449500000    | -445600000   | Arthrorhachis
Arthrostylus                             | Animal    | Bryozoa                    | -452000000    | -449500000   | <>
Arthrotrypa                              | Animal    | Bryozoa                    | -449500000    | -443700000   | <>
Asaphellus                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Asaphus                                  | Animal    | Arthropoda                 | -449500000    | -443700000   | Asaphus
Ascetopeltis                             | Animal    | Arthropoda                 | -449500000    | -443400000   | <>
Asgardaspira                             | Animal    | Mollusca                   | -449500000    | -445600000   | <>
Ashinaorthis                             | Animal    | Brachiopoda                | -453000000    | -445200000   | <>
Aspelundia                               | Animal    | Chordata                   | -449500000    | -412300000   | <>
Asperopora                               | Animal    | Bryozoa                    | -445600000    | -443700000   | <>
Aspidograptus                            | Animal    | Hemichordata               | -460900000    | -449500000   | <>
