Brontoscorpio                            | Animal    | Arthropoda                 | -419200000    | -410800000   | Brontoscorpio
Brutopisocrinus                          | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Bucanella                                | Animal    | Mollusca                   | -419200000    | -393300000   | <>
Bucania                                  | Animal    | Mollusca                   | -416000000    | -412300000   | <>
Buchanathyris                            | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Buchiproetus                             | Animal    | Arthropoda                 | -419200000    | -393300000   | <>
Bukkanodus                               | Animal    | Chordata                   | -419200000    | -358900000   | Bukkanodus
Bullatella                               | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Burmeisteria                             | Animal    | Arthropoda                 | -419200000    | -393300000   | Burmeisteria
Bursachitina                             | Micro     | Sarcodina                  | -419200000    | -410800000   | Bursachitina
Buskopora                                | Animal    | Bryozoa                    | -419200000    | -410800000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Calamophyton                             | Plant     | Tracheophyta               | -419200000    | -393300000   | <>
Calceola                                 | Animal    | Cnidaria                   | -419200000    | -407600000   | <>
Caliapora                                | Animal    | Cnidaria                   | -412300000    | -409100000   | Caliapora
Callipleura                              | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Callocladia                              | Animal    | Bryozoa                    | -419200000    | -410800000   | Callocladia
Calloconus                               | Animal    | Mollusca                   | -416000000    | -393300000   | <>
Calpichitina                             | Micro     | Rhizopodea                 | -419200000    | -407600000   | <>
Calymene                                 | Animal    | Arthropoda                 | -416000000    | -393300000   | Calymene
Camarium                                 | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Camarocrinus                             | Animal    | Echinodermata              | -419200000    | -391900000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -412300000    | -409100000   | Camarotoechia
Camerella                                | Animal    | Brachiopoda                | -412300000    | -409100000   | <>
Camptocrinus                             | Animal    | Echinodermata              | -419200000    | -410800000   | <>
Cancellator                              | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Caninia                                  | Animal    | Cnidaria                   | -419200000    | -298900000   | Caninia
Caninophyllum                            | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Canonia                                  | Animal    | Chordata                   | -419200000    | -393300000   | Canonia
Cardiola                                 | Animal    | Mollusca                   | -423000000    | -391900000   | Cardiola
Cardiolinka                              | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Cardipeltis                              | Animal    | Chordata                   | -419200000    | -393300000   | Cardipeltis
Carinagypa                               | Animal    | Brachiopoda                | -419200000    | -410800000   | <>
Carinaropsis                             | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Carinatina                               | Animal    | Brachiopoda                | -416000000    | -393300000   | <>
Carinokloedenia                          | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Carlinastraea                            | Animal    | Cnidaria                   | -419200000    | -407600000   | <>
Carpocrinus                              | Animal    | Echinodermata              | -419200000    | -407600000   | <>
Cartericardia                            | Animal    | Mollusca                   | -412300000    | -409100000   | <>
Carydium                                 | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Cassowarioides                           | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Catazone                                 | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Caudicriodus                             | Animal    | Chordata                   | -419200000    | -410800000   | <>
Cavellina                                | Animal    | Arthropoda                 | -419200000    | -410800000   | <>
Cayugaea                                 | Animal    | Cnidaria                   | -423000000    | -410800000   | <>
Centroceras                              | Animal    | Mollusca                   | -419200000    | -358900000   | Centroceras
Centronella                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Ceratiocaris                             | Animal    | Arthropoda                 | -419200000    | -410800000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -419200000    | -382700000   | Ceratocephala
Ceratonurus                              | Animal    | Arthropoda                 | -419200000    | -387700000   | <>
Chaetetes                                | Animal    | Porifera                   | -419200000    | -407600000   | Chaetetes
Chaetetipora                             | Animal    | Porifera                   | -419200000    | -407600000   | <>
Chalcidophyllum                          | Animal    | Cnidaria                   | -419200000    | -407600000   | <>
Charactophyllum                          | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Charionella                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Chavsakia                                | Animal    | Cnidaria                   | -419200000    | -410800000   | <>
Cheiopteria                              | Animal    | Mollusca                   | -419200000    | -410800000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -416000000    | -393300000   | Cheirurus
Chelodes                                 | Animal    | Mollusca                   | -419200000    | -410800000   | Chelodes
Chirodipterus                            | Animal    | Chordata                   | -419200000    | -358900000   | Chirodipterus
Chlamydophyllum                          | Animal    | Cnidaria                   | -419200000    | -391900000   | <>
