Auloporella                              | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Auriptygma                               | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Australina                               | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Australoacaste                           | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Australonema                             | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Australoscutellum                        | Animal    | Arthropoda                 | -433400000    | -427400000   | <>
Australostrophia                         | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Avalanchia                               | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Avalanchurus                             | Animal    | Arthropoda                 | -433400000    | -430500000   | Avalanchurus
Aviacypris                               | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Bactrocrinites                           | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Baculograptus                            | Animal    | Hemichordata               | -433400000    | -427400000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Balizoma                                 | Animal    | Arthropoda                 | -433400000    | -427400000   | Balizoma
Barrandeocrinus                          | Animal    | Echinodermata              | -433400000    | -430500000   | <>
Barrandeograptus                         | Animal    | Hemichordata               | -433400000    | -430500000   | <>
Barrandeolites                           | Animal    | Porifera                   | -433400000    | -427400000   | <>
Barrandina                               | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Batocara                                 | Animal    | Arthropoda                 | -433400000    | -423000000   | Batocara
Batostomella                             | Animal    | Bryozoa                    | -433400000    | -427400000   | <>
Baturria                                 | Animal    | Brachiopoda                | -433400000    | -423000000   | <>
Bdellacoma                               | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Beecheroscapha                           | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnospongia                           | Animal    | Porifera                   | -433400000    | -430500000   | <>
Belenopyge                               | Animal    | Arthropoda                 | -433400000    | -427400000   | <>
Belodella                                | Animal    | Chordata                   | -433400000    | -423000000   | <>
Belodina                                 | Animal    | Chordata                   | -449500000    | -427400000   | <>
Besselodus                               | Animal    | Chordata                   | -449500000    | -427400000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -433400000    | -419200000   | <>
Birkenia                                 | Animal    | Chordata                   | -433400000    | -423000000   | Birkenia
Blakeoceras                              | Animal    | Mollusca                   | -438500000    | -427400000   | Blakeoceras
Bleshidium                               | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Bohemograptus                            | Animal    | Hemichordata               | -433400000    | -423000000   | <>
Bohemoharpes                             | Animal    | Arthropoda                 | -433400000    | -427400000   | <>
Boiotremus                               | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Bolbozoe                                 | Animal    | Arthropoda                 | -433400000    | -419200000   | <>
Bollia                                   | Animal    | Arthropoda                 | -443400000    | -427400000   | <>
Bonnemaia                                | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Borealarges                              | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Botryocrinus                             | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Boucotides                               | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Boucotinskia                             | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Boucotspira                              | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Bouskacrinus                             | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Brachymimulus                            | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Brachyprion                              | Animal    | Brachiopoda                | -433400000    | -423000000   | <>
Bracteoleptaena                          | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Brahmacrinus                             | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Brongniartella                           | Animal    | Arthropoda                 | -443400000    | -419200000   | Brongniartella
Brooksina                                | Animal    | Brachiopoda                | -433400000    | -423000000   | <>
Bryantodus                               | Animal    | Chordata                   | -443400000    | -419200000   | <>
Bucanella                                | Animal    | Mollusca                   | -433400000    | -419200000   | <>
Bucania                                  | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Bulbosohnia                              | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -433400000    | -423000000   | Bumastus
Burmeisteria                             | Animal    | Arthropoda                 | -433400000    | -427400000   | Burmeisteria
Bursachitina                             | Micro     | Sarcodina                  | -443400000    | -427400000   | Bursachitina
Bythocypris                              | Animal    | Arthropoda                 | -443400000    | -423000000   | <>
Bythopora                                | Animal    | Bryozoa                    | -433400000    | -427400000   | <>
Calamospora                              | Plant     | Sphenophyta                | -443400000    | -419200000   | <>
Calapoecia                               | Animal    | Cnidaria                   | -458400000    | -419200000   | <>
Calceocrinus                             | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Calliocrinus                             | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Callocystites                            | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Calostylis                               | Animal    | Cnidaria                   | -433400000    | -427400000   | <>
Calpichitina                             | Micro     | Rhizopodea                 | -433400000    | -427400000   | <>
Calymene                                 | Animal    | Arthropoda                 | -433400000    | -419200000   | Calymene
Camarotoechia                            | Animal    | Brachiopoda                | -433400000    | -391900000   | Camarotoechia
Camerella                                | Animal    | Brachiopoda                | -433400000    | -423000000   | <>
Camptolithus                             | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Capelliniella                            | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Capnophyllum                             | Animal    | Cnidaria                   | -443400000    | -419200000   | Capnophyllum
Carcinosoma                              | Animal    | Arthropoda                 | -433400000    | -427400000   | Carcinosoma
Cardiola                                 | Animal    | Mollusca                   | -433400000    | -419200000   | Cardiola
Cardiolopsis                             | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Carinophyllum                            | Animal    | Cnidaria                   | -433400000    | -427400000   | <>
Carnalpia                                | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Carniodus                                | Animal    | Chordata                   | -433400000    | -427400000   | Carniodus
Carpocrinus                              | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Carpospongia                             | Animal    | Porifera                   | -433400000    | -427400000   | <>
Caryocaris                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Caryocrinites                            | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Caryogyps                                | Animal    | Brachiopoda                | -433400000    | -430500000   | <>
Casiogrammus                             | Animal    | Arthropoda                 | -433400000    | -427400000   | Casiogrammus
Cassowarioides                           | Animal    | Mollusca                   | -433400000    | -427400000   | <>
Castellaroina                            | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Catatonocrinus                           | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Catazone                                 | Animal    | Mollusca                   | -433400000    | -427400000   | <>
Catazyga                                 | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Catenipora                               | Animal    | Cnidaria                   | -433400000    | -423000000   | Catenipora
Caudicriodus                             | Animal    | Chordata                   | -443400000    | -410800000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -433400000    | -427400000   | Ceramopora
Ceramoporella                            | Animal    | Bryozoa                    | -433400000    | -427400000   | <>
Ceratiocaris                             | Animal    | Arthropoda                 | -433400000    | -430500000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -433400000    | -423000000   | Ceratocephala_(trilobite)
Cerauromeros                             | Animal    | Arthropoda                 | -443400000    | -427400000   | Cerauromeros
Chaetetes                                | Animal    | Porifera                   | -433400000    | -423000000   | Chaetetes
Chaetocladus                             | Plant     | Chlorophyta                | -433400000    | -427400000   | Chaetocladus
Changxingaspis                           | Animal    | Chordata                   | -433400000    | -430500000   | <>
Charactocrinus                           | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Chasmatopora                             | Animal    | Bryozoa                    | -433400000    | -427400000   | Chasmatopora
Cheilotrypa                              | Animal    | Bryozoa                    | -433400000    | -427400000   | <>
Cheirocrinus                             | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -433400000    | -419200000   | Cheirurus
Chilobolbina                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Chilotrypa                               | Animal    | Bryozoa                    | -433400000    | -427400000   | <>
Chiozoon                                 | Animal    | Arthropoda                 | -443400000    | -427400000   | Chiozoon
Choanoceras                              | Animal    | Mollusca                   | -433400000    | -430500000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -433400000    | -427400000   | Chonetes
Chonetoidea                              | Animal    | Brachiopoda                | -433400000    | -430500000   | <>
Chonophyllum                             | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Chuanqianoproetus                        | Animal    | Arthropoda                 | -438500000    | -430500000   | <>
Cimitaria                                | Animal    | Mollusca                   | -439000000    | -426200000   | <>
Cinerocaris                              | Animal    | Arthropoda                 | -433400000    | -427400000   | Cinerocaris
Cladopora                                | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Cladospongia                             | Animal    | Porifera                   | -433400000    | -423000000   | Cladospongia_(sponge)
Clarkeia                                 | Animal    | Brachiopoda                | -433400000    | -419200000   | Clarkeia
Clathrochitina                           | Micro     | Sarcodina                  | -433400000    | -427400000   | Clathrochitina
Clathrodictyon                           | Animal    | Porifera                   | -433400000    | -423000000   | <>
Clathropora                              | Animal    | Bryozoa                    | -433400000    | -427400000   | <>
Clavidictyon                             | Animal    | Porifera                   | -433400000    | -427400000   | <>
Cleionychia                              | Animal    | Mollusca                   | -433400000    | -427400000   | <>
Clidophorus                              | Animal    | Mollusca                   | -443400000    | -423000000   | <>
Cliftonia                                | Animal    | Brachiopoda                | -433400000    | -430500000   | Cliftonia
Climacograptus                           | Animal    | Hemichordata               | -433400000    | -427400000   | Climacograptus
Clinoclimacograptus                      | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Clintonella                              | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -433400000    | -430500000   | <>
Clisospira                               | Animal    | Mollusca                   | -433400000    | -427400000   | <>
Clonocrinus                              | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Clorinda                                 | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Coelocaulus                              | Animal    | Mollusca                   | -433400000    | -423000000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -443400000    | -419200000   | <>
Coeloclema                               | Animal    | Bryozoa                    | -433400000    | -427400000   | <>
Coelocystis                              | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Coelospira                               | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Coenites                                 | Animal    | Cnidaria                   | -433400000    | -423000000   | Coenites
Colonograptus                            | Animal    | Hemichordata               | -433400000    | -427400000   | <>
Columenoceras                            | Animal    | Mollusca                   | -433400000    | -419200000   | <>
Columnaria                               | Animal    | Cnidaria                   | -433400000    | -423000000   | Columnaria
Columnostroma                            | Animal    | Porifera                   | -433400000    | -427400000   | <>
Colymbosathon                            | Animal    | Arthropoda                 | -433400000    | -427400000   | <>
Conbathella                              | Animal    | Arthropoda                 | -443400000    | -422900000   | <>
Conchicolites                            | Animal    | Lophotrochozoa             | -433400000    | -430500000   | Conchicolites
Conchidium                               | Animal    | Brachiopoda                | -433400000    | -423000000   | Conchidium
Condracypris                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Conicocyathocrinites                     | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Coniproetus                              | Animal    | Arthropoda                 | -433400000    | -427400000   | <>
Conocardium                              | Animal    | Mollusca                   | -433400000    | -430500000   | Conocardium
Conotoma                                 | Animal    | Mollusca                   | -433400000    | -423000000   | <>
Contortophyllum                          | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Contracheirurus                          | Animal    | Arthropoda                 | -433400000    | -423000000   | Contracheirurus
Conularia                                | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Cooksonia                                | Plant     | Psilophytophyta            | -443400000    | -419200000   | Cooksonia
Cordylodus                               | Animal    | Chordata                   | -443400000    | -419200000   | Cordylodus
