Anaspis                                  | Animal    | Arthropoda                 | -11608000     | -5333000     | Anaspis
Anatina                                  | Animal    | Mollusca                   | -11620000     | -7246000     | Anatina
Anatochoerus                             | Animal    | Chordata                   | -9000000      | -6800000     | <>
Anatoma                                  | Animal    | Mollusca                   | -11620000     | -5333000     | Anatoma
Anazola                                  | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Anchiblarinella                          | Animal    | Chordata                   | -13600000     | -10300000    | <>
Anchigyps                                | Animal    | Chordata                   | -13600000     | -10300000    | <>
Anchitheriomys                           | Animal    | Chordata                   | -11608000     | -8700000     | Anchitheriomys
Anchitherium                             | Animal    | Chordata                   | -11608000     | -5333000     | Anchitherium
Anchoa                                   | Animal    | Chordata                   | -11620000     | -7246000     | Anchoa
Anchomenus                               | Animal    | Arthropoda                 | -12700000     | -11608000    | Anchomenus
Ancilla                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Ancilla
Ancistrolepis                            | Animal    | Mollusca                   | -23030000     | -11608000    | Ancistrolepis
Ancylotherium                            | Animal    | Chordata                   | -11608000     | -5333000     | Ancylotherium
Ancylus                                  | Animal    | Mollusca                   | -8700000      | -5333000     | Ancylus
Andalgalornis                            | Animal    | Chordata                   | -9000000      | -6800000     | Andalgalornis
Andegameryx                              | Animal    | Chordata                   | -15970000     | -7246000     | Andegameryx
Andonia                                  | Animal    | Mollusca                   | -11620000     | -7246000     | <>
Andrena                                  | Animal    | Arthropoda                 | -12700000     | -11608000    | Andrena
Andrias                                  | Animal    | Chordata                   | -11620000     | -7246000     | Andrias
Andromeda                                | Plant     | Spermatophyta              | -11608000     | -5333000     | Andromeda
Anenchelum                               | Animal    | Chordata                   | -11620000     | -7246000     | <>
Aneurystoma                              | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Angaria                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Angaria
Anguis                                   | Animal    | Chordata                   | -11100000     | -9700000     | Anguis
Angulus                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Angulus
Angustidens                              | Animal    | Chordata                   | -11620000     | -7246000     | Angustidens
Anhinga                                  | Animal    | Chordata                   | -10300000     | -4900000     | Anhinga
Anisocoenia                              | Animal    | Cnidaria                   | -11608000     | -5333000     | <>
Anisodon                                 | Animal    | Chordata                   | -11608000     | -5333000     | Anisodon
Anisodontherium                          | Animal    | Chordata                   | -10000000     | -9000000     | <>
Anisospinos                              | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Anisus                                   | Animal    | Mollusca                   | -11100000     | -9700000     | Anisus
Ankotarinja                              | Animal    | Chordata                   | -15970000     | -11608000    | Ankotarinja
Annachlamys                              | Animal    | Mollusca                   | -11608000     | -5333000     | Annachlamys
Annectocyma                              | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Anniella                                 | Animal    | Chordata                   | -13600000     | -10300000    | Anniella
Annulispora                              | Plant     | Bryophyta                  | -11608000     | -5333000     | <>
Anodonta                                 | Animal    | Mollusca                   | -10300000     | -4900000     | Anodonta
Anodontia                                | Animal    | Mollusca                   | -11608000     | -5333000     | Anodontia
Anodontites                              | Animal    | Mollusca                   | -11608000     | -5333000     | Anodontites
Anomala                                  | Animal    | Arthropoda                 | -12700000     | -11608000    | Anomala
Anomalina                                | Micro     | Foraminifera               | -11620000     | -3600000     | <>
Anomalinoides                            | Micro     | Foraminifera               | -15970000     | -5333000     | <>
Anomalocardia                            | Animal    | Mollusca                   | -11608000     | -5333000     | Anomalocardia
Anomalomys                               | Animal    | Chordata                   | -11100000     | -9700000     | <>
Anomalon                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | Anomalon
Anomia                                   | Animal    | Mollusca                   | -10300000     | -4900000     | Anomia
Anomocytheridea                          | Animal    | Arthropoda                 | -11608000     | -5333000     | <>
Anoteropora                              | Animal    | Bryozoa                    | -11620000     | -7246000     | <>
Anotodus                                 | Animal    | Chordata                   | -11608000     | -5333000     | <>
Anouroneomys                             | Animal    | Chordata                   | -10300000     | -4900000     | <>
Anourosorex                              | Animal    | Chordata                   | -11620000     | -7246000     | Anourosorex
Anser                                    | Animal    | Chordata                   | -11608000     | -2588000     | Anser
Ansomys                                  | Animal    | Chordata                   | -23030000     | -11608000    | <>
Antalis                                  | Animal    | Mollusca                   | -11608000     | -5333000     | Antalis
Antarctidromia                           | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Antarctotrechus                          | Animal    | Arthropoda                 | -15970000     | -11608000    | Antarctotrechus
Antecalomys                              | Animal    | Chordata                   | -10300000     | -4900000     | <>
Antemus                                  | Animal    | Chordata                   | -11620000     | -7246000     | <>
Anthaxia                                 | Animal    | Arthropoda                 | -11608000     | -5333000     | Anthaxia
Anthoceros                               | Plant     | Anthocerophyta             | -28400000     | -11608000    | Anthoceros
Antholithes                              | Plant     | Pteridospermophyta         | -23030000     | -5333000     | <>
Anthophorites                            | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Anthracoglis                             | Animal    | Chordata                   | -11620000     | -7246000     | <>
Anthracohelops                           | Animal    | Arthropoda                 | -15970000     | -11608000    | <>
Anthracomys                              | Animal    | Chordata                   | -8700000      | -5333000     | <>
Anthracotherium                          | Animal    | Chordata                   | -13650000     | -11100000    | Anthracotherium
Anthribites                              | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Anticlimax                               | Animal    | Mollusca                   | -11620000     | -7246000     | Anticlimax
Anticorbula                              | Animal    | Mollusca                   | -15970000     | -5333000     | <>
Antidorcas                               | Animal    | Chordata                   | -11608000     | -2588000     | Antidorcas
Antigona                                 | Animal    | Mollusca                   | -11608000     | -5333000     | Antigona
Antigone                                 | Animal    | Chordata                   | -13600000     | -10300000    | Antigone
Antigonia                                | Animal    | Chordata                   | -11608000     | -5333000     | Antigonia
Antiguastrea                             | Animal    | Cnidaria                   | -15970000     | -5333000     | <>
Antillaster                              | Animal    | Echinodermata              | -23030000     | -11608000    | <>
Antillipecten                            | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Antillocyathus                           | Animal    | Cnidaria                   | -11608000     | -3600000     | <>
Antillophos                              | Animal    | Mollusca                   | -11608000     | -5333000     | Antillophos
Antillophyllia                           | Animal    | Cnidaria                   | -11608000     | -5333000     | Antillophyllia
Antilope                                 | Animal    | Chordata                   | -11100000     | -8700000     | Antilope
Antilospira                              | Animal    | Chordata                   | -11620000     | -7246000     | <>
Antimyctophum                            | Animal    | Chordata                   | -11608000     | -6500000     | <>
Antliarhinites                           | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Antropora                                | Animal    | Bryozoa                    | -11620000     | -7246000     | Antropora
Antrozous                                | Animal    | Chordata                   | -10300000     | -1800000     | Antrozous
Apalone                                  | Animal    | Chordata                   | -10300000     | -4900000     | Apalone
Apatosagittarius                         | Animal    | Chordata                   | -13600000     | -10300000    | Apatosagittarius
Aphananthe                               | Plant     | Spermatophyta              | -11608000     | -3600000     | Aphananthe
Aphanitoma                               | Animal    | Mollusca                   | -15970000     | -11608000    | Aphanitoma
Aphanius                                 | Animal    | Chordata                   | -11608000     | -5333000     | Aphanius
Aphanopus                                | Animal    | Chordata                   | -11620000     | -7246000     | Aphanopus
Aphanus                                  | Animal    | Arthropoda                 | -12700000     | -11608000    | Aphanus
Aphelesia                                | Animal    | Brachiopoda                | -11620000     | -7246000     | <>
Aphelops                                 | Animal    | Chordata                   | -10300000     | -4900000     | Aphelops
Aphera                                   | Animal    | Mollusca                   | -11608000     | -5333000     | Aphera
Aphodius                                 | Animal    | Arthropoda                 | -12700000     | -11608000    | Aphodius
Aphrocallistes                           | Animal    | Porifera                   | -11620000     | -7246000     | Aphrocallistes
Aphrophora                               | Animal    | Arthropoda                 | -12700000     | -11608000    | Aphrophora
Apis                                     | Animal    | Arthropoda                 | -11608000     | -5333000     | Apis
Apixystus                                | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Aplodinotus                              | Animal    | Chordata                   | -13600000     | -10300000    | Aplodinotus
Apocricetus                              | Animal    | Chordata                   | -11608000     | -5333000     | <>
Apocynophyllum                           | Plant     | Spermatophyta              | -23030000     | -11608000    | <>
Apodemus                                 | Animal    | Chordata                   | -11608000     | -3600000     | Apodemus
Apogon                                   | Animal    | Chordata                   | -11620000     | -7246000     | Apogon
Apolymetis                               | Animal    | Mollusca                   | -11608000     | -5333000     | <>
Aporotus                                 | Animal    | Chordata                   | -11608000     | -2588000     | <>
Aporrhais                                | Animal    | Mollusca                   | -11620000     | -7246000     | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aprionodon                               | Animal    | Chordata                   | -11608000     | -5333000     | <>
Aprotodon                                | Animal    | Chordata                   | -11608000     | -5333000     | <>
Aquarius                                 | Animal    | Arthropoda                 | -15970000     | -11608000    | Aquarius
Aquila                                   | Animal    | Chordata                   | -10300000     | -4900000     | Aquila
Aquilofusus                              | Animal    | Mollusca                   | -11620000     | -7246000     | <>
Aquitanastraea                           | Animal    | Cnidaria                   | -11620000     | -7246000     | <>
