Blattoidea                               | Animal    | Arthropoda                 | -307000000    | -303700000   | Blattoidea
Bobbodus                                 | Animal    | Chordata                   | -307000000    | -303700000   | Bobbodus
Boesites                                 | Animal    | Mollusca                   | -307000000    | -303700000   | <>
Bolicharewia                             | Animal    | Mollusca                   | -306950000    | -305900000   | <>
Boltonites                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Boltonoblatta                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Booralia                                 | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Boreoscorpio                             | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Borestus                                 | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Bornatarbus                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Bothroclisia                             | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -307000000    | -298900000   | <>
Botryococcus                             | Plant     | Chlorophyta                | -313800000    | -305900000   | Botryococcus
Botryopteris                             | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bourbonnella                             | Animal    | Chordata                   | -307000000    | -303700000   | Bourbonnella
Boweria                                  | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -323200000    | -298900000   | <>
Brabeocrinus                             | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Brachydectes                             | Animal    | Chordata                   | -305900000    | -303400000   | Brachydectes
Brachygerarus                            | Animal    | Arthropoda                 | -304800000    | -303400000   | <>
Brachymylacris                           | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -358900000    | -252170000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -307000000    | -298900000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -307000000    | -303700000   | <>
Bradyina                                 | Micro     | Foraminifera               | -306950000    | -298900000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -307000000    | -303700000   | <>
Branchierpeton                           | Animal    | Chordata                   | -305900000    | -303400000   | Branchierpeton
Branchiosaurus                           | Animal    | Chordata                   | -304800000    | -301200000   | Branchiosaurus
Brasilioproductus                        | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Breyeria                                 | Animal    | Arthropoda                 | -307000000    | -298900000   | <>
Brittsia                                 | Plant     | Pteridophyta               | -313800000    | -306950000   | <>
Brongniartites                           | Plant     | Pteridospermophyta         | -358900000    | -252170000   | <>
Brouffia                                 | Animal    | Chordata                   | -311450000    | -306950000   | Brouffia
Bruayaphis                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Bruaylogus                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Bryantodus                               | Animal    | Chordata                   | -306950000    | -298900000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Buckhornia                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Buthiscorpius                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Buxtonioides                             | Animal    | Brachiopoda                | -307000000    | -303700000   | <>
Bythiacanthus                            | Animal    | Chordata                   | -307000000    | -303700000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -306950000    | -298900000   | <>
Cactocrinus                              | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Cacurgus                                 | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Calamites                                | Plant     | Sphenophyta                | -304800000    | -298900000   | Calamites
Calamocarpon                             | Plant     | Sphenophyta                | -323200000    | -298900000   | <>
Calamodendron                            | Plant     | Sphenophyta                | -313800000    | -305900000   | <>
Calamospora                              | Plant     | Sphenophyta                | -305900000    | -303400000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -311450000    | -300200000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -358900000    | -252170000   | Calceolispongia
Calcivertella                            | Micro     | Foraminifera               | -306950000    | -298900000   | <>
Calliasterella                           | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -305900000    | -304800000   | Callipteris
Callispira                               | Animal    | Mollusca                   | -304800000    | -303400000   | <>
Callispirina                             | Animal    | Brachiopoda                | -307000000    | -303700000   | <>
Callistophyton                           | Plant     | Ginkgophyta                | -313800000    | -305900000   | <>
Callospiriferina                         | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Caloneurella                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -358900000    | -298900000   | Camarotoechia
Camerisma                                | Animal    | Brachiopoda                | -307000000    | -303700000   | <>
Camptochiton                             | Animal    | Mollusca                   | -313800000    | -306950000   | <>
Camptodiapha                             | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Campyloprion                             | Animal    | Chordata                   | -307000000    | -303700000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Candona                                  | Animal    | Arthropoda                 | -306950000    | -298900000   | Candona
Caneyella                                | Animal    | Mollusca                   | -318100000    | -305900000   | <>
Caninia                                  | Animal    | Cnidaria                   | -306950000    | -298900000   | Caninia
Caninophyllum                            | Animal    | Cnidaria                   | -307000000    | -298900000   | <>
Cantabrala                               | Animal    | Arthropoda                 | -311450000    | -305900000   | <>
Capetus                                  | Animal    | Chordata                   | -311450000    | -306950000   | Capetus
Carbonita                                | Animal    | Arthropoda                 | -307000000    | -303700000   | Carbonita
Carbonodraco                             | Animal    | Chordata                   | -311450000    | -306950000   | Carbonodraco
Carbonoherpeton                          | Animal    | Chordata                   | -314600000    | -306950000   | Carbonoherpeton
Carbonokata                              | Animal    | Arthropoda                 | -307000000    | -298900000   | <>
Carbonympha                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Carbotubulus                             | Animal    | Onychophora                | -318100000    | -306950000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -305900000    | -303400000   | <>
Cardiopteridium                          | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Carinostrobus                            | Plant     | Lycophyta                  | -358900000    | -298900000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -306950000    | -298900000   | Carinthiaphyllum
Carnauba                                 | Animal    | Mollusca                   | -318100000    | -305900000   | Carnauba
Carpenteroptera                          | Animal    | Arthropoda                 | -307000000    | -298900000   | <>
Caseodus                                 | Animal    | Chordata                   | -307000000    | -303700000   | Caseodus
Catadyesthus                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -323200000    | -298900000   | <>
Cavellina                                | Animal    | Arthropoda                 | -305900000    | -303400000   | <>
Cavusgnathus                             | Animal    | Chordata                   | -305900000    | -303400000   | Cavusgnathus
Celox                                    | Animal    | Mollusca                   | -323200000    | -272300000   | Celox
Centrodus                                | Animal    | Chordata                   | -323200000    | -298900000   | <>
Cephalerpeton                            | Animal    | Chordata                   | -311450000    | -306950000   | Cephalerpeton
Ceraunocochlis                           | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Ceriocrinus                              | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Cerithioides                             | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Cervifurca                               | Animal    | Chordata                   | -311450000    | -306950000   | <>
Chaenocardia                             | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Chaenomya                                | Animal    | Mollusca                   | -307000000    | -298900000   | <>
Chaetetes                                | Animal    | Porifera                   | -311450000    | -306950000   | Chaetetes
Chaloneria                               | Plant     | Pteridophyta               | -313800000    | -305900000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -323200000    | -295500000   | <>
Cheilotrypa                              | Animal    | Bryozoa                    | -358900000    | -298900000   | <>
Cheliphlebia                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Chelyophorus                             | Animal    | Chordata                   | -323200000    | -298900000   | Chelyophorus
Chirodus                                 | Animal    | Chordata                   | -311450000    | -306950000   | <>
Chirotherium                             | Animal    | Chordata                   | -323200000    | -298900000   | Chirotherium
Chlidonocrinus                           | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Choctawites                              | Animal    | Mollusca                   | -358900000    | -298900000   | <>
Chonetella                               | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -307000000    | -298900000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -305900000    | -303400000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -305900000    | -303400000   | <>
Choristitella                            | Animal    | Brachiopoda                | -306950000    | -272300000   | <>
Choristites                              | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Chrestotella                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Chrestotes                               | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Cibecuia                                 | Animal    | Mollusca                   | -309000000    | -306950000   | <>
