Amusium                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -23030000     | -5333000     | <>
Amyclina                                 | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Amygdalum                                | Animal    | Mollusca                   | -15970000     | -11608000    | Amygdalum
Anabernicula                             | Animal    | Chordata                   | -23030000     | -2588000     | Anabernicula
Anacaena                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Anacaena
Anacardites                              | Plant     | Spermatophyta              | -15970000     | -5333000     | <>
Anacardium                               | Plant     | Spermatophyta              | -33900000     | -5333000     | Anacardium
Anachis                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Anachis
Anacithara                               | Animal    | Mollusca                   | -19000000     | -15900000    | Anacithara
Anadara                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Anadara
Anaides                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | Anaides
Anancus                                  | Animal    | Chordata                   | -15970000     | -781000      | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -23030000     | -2588000     | <>
Anapepta                                 | Animal    | Mollusca                   | -19000000     | -15900000    | <>
Anaplecta                                | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anarthropora                             | Animal    | Bryozoa                    | -19000000     | -15900000    | <>
Anaulus                                  | Plant     | Ochrophyta                 | -23030000     | -13820000    | <>
Anaxipha                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Anaxipha
Anazola                                  | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Ancenycteris                             | Animal    | Chordata                   | -15970000     | -13600000    | <>
Anchitheriomys                           | Animal    | Chordata                   | -15970000     | -13600000    | Anchitheriomys
Anchitherium                             | Animal    | Chordata                   | -15970000     | -11608000    | Anchitherium
Anchoa                                   | Animal    | Chordata                   | -19000000     | -15900000    | Anchoa
Anchonus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Anchonus
Ancilla                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Ancilla_(gastropod)
Ancillina                                | Animal    | Mollusca                   | -15900000     | -13650000    | Ancillina
Ancistrolepis                            | Animal    | Mollusca                   | -15970000     | -13820000    | Ancistrolepis
Andegameryx                              | Animal    | Chordata                   | -15970000     | -7246000     | Andegameryx
Andrias                                  | Animal    | Chordata                   | -15970000     | -13600000    | Andrias
Andromeda                                | Plant     | Spermatophyta              | -15970000     | -11620000    | Andromeda_polifolia
Anelaphus                                | Animal    | Arthropoda                 | -20440000     | -13820000    | Anelaphus
Anelosimus                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Anelosimus
Anenchelum                               | Animal    | Chordata                   | -23030000     | -5333000     | <>
Aneurystoma                              | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Angaria                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Angaria_(gastropod)
Angulus                                  | Animal    | Mollusca                   | -15970000     | -11608000    | <>
Angustidens                              | Animal    | Chordata                   | -15970000     | -13600000    | Angustidens
Anisepyris                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anisocoenia                              | Animal    | Cnidaria                   | -15970000     | -11608000    | <>
Anisodon                                 | Animal    | Chordata                   | -20440000     | -7246000     | Anisodon
Anisodonta                               | Animal    | Mollusca                   | -15970000     | -11620000    | <>
Anisospinos                              | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Anisus                                   | Animal    | Mollusca                   | -15970000     | -13650000    | Anisus
Ankotarinja                              | Animal    | Chordata                   | -15970000     | -11608000    | Ankotarinja
Ankylorhiza                              | Animal    | Chordata                   | -23030000     | -13820000    | Ankylorhiza
Anlemmus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Annachlamys                              | Animal    | Mollusca                   | -15970000     | -11608000    | Annachlamys
Annectocyma                              | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Annellus                                 | Plant     | Ochrophyta                 | -23030000     | -13820000    | <>
Anoblepsis                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anochetus                                | Animal    | Arthropoda                 | -15970000     | -13820000    | Anochetus
Anodontia                                | Animal    | Mollusca                   | -15970000     | -11608000    | Anodontia
Anodontites                              | Animal    | Mollusca                   | -15970000     | -5333000     | Anodontites
Anolis                                   | Animal    | Chordata                   | -20440000     | -13820000    | Anolis
Anomalina                                | Micro     | Foraminifera               | -19000000     | -15900000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -15970000     | -5333000     | <>
Anomalocardia                            | Animal    | Mollusca                   | -15970000     | -11620000    | Anomalocardia
Anomalomys                               | Animal    | Chordata                   | -15970000     | -11620000    | <>
Anomalurus                               | Animal    | Chordata                   | -15970000     | -13820000    | Anomalurus
Anomia                                   | Animal    | Mollusca                   | -15970000     | -11608000    | Anomia_(bivalve)
Anomocytheridea                          | Animal    | Arthropoda                 | -15970000     | -11608000    | <>
Anomodon Anomodontaceae                  | Plant     | Bryophyta                  | -15970000     | -13820000    | <>
Anopheles                                | Animal    | Arthropoda                 | -20440000     | -13820000    | Anopheles
Anoplius                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Anoplius
Anoplonassa                              | Animal    | Chordata                   | -23030000     | -13820000    | <>
Anoplotermes                             | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anotodus                                 | Animal    | Chordata                   | -15970000     | -13820000    | <>
Ansomys                                  | Animal    | Chordata                   | -15970000     | -13600000    | <>
Antalis                                  | Animal    | Mollusca                   | -15970000     | -11608000    | Antalis
Antarctidromia                           | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Antarctotrechus                          | Animal    | Arthropoda                 | -15970000     | -11608000    | Antarctotrechus
Antemus                                  | Animal    | Chordata                   | -15970000     | -11608000    | <>
Anthaxia                                 | Animal    | Arthropoda                 | -15970000     | -11608000    | Anthaxia
Anthoceros                               | Plant     | Anthocerophyta             | -28400000     | -11608000    | Anthoceros
