Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellaspidella                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Bellaspis                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bellistrophia                            | Animal    | Brachiopoda                | -513000000    | -485400000   | <>
Belovia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bemella                                  | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Bergeronites                             | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Berkeia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Berkutaspis                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Bestjubella                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Biciragnostus                            | Animal    | Arthropoda                 | -498500000    | -485400000   | Biciragnostus
Bienvillia                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Bigranulella                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bilimbataia                              | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Billingsella                             | Animal    | Brachiopoda                | -498500000    | -494000000   | <>
Biloboconus                              | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Biscoia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | Biscoia
Blackwelderia                            | Animal    | Arthropoda                 | -500500000    | -497000000   | Blackwelderia
Blainia                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Blainiopsis                              | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Blandicephalus                           | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Blountia                                 | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Blountiella                              | Animal    | Arthropoda                 | -501000000    | -485400000   | Blountiella
Blountina                                | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bolaspidella                             | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Bolaspidina                              | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Bolaspis                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bonneterrina                             | Animal    | Arthropoda                 | -500500000    | -497000000   | Bonneterrina
Bonnia                                   | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Bonniopsis                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Borthaspidella                           | Animal    | Arthropoda                 | -501000000    | -477700000   | <>
Bowmania                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | Bowmania
Brachyaspidion                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Branchiocaris                            | Animal    | Arthropoda                 | -513000000    | -498500000   | Branchiocaris
Bredocaris                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Briscoia                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Bromella                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Brooksella                               | Animal    | Porifera                   | -541000000    | -485400000   | <>
Brunswickia                              | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Brutonia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Burnetiella                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Buttsia                                  | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Buttsina                                 | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Bynumia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bynumiella                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bynumina                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Callograptus                             | Animal    | Hemichordata               | -498500000    | -485400000   | Callograptus
Calocephalites                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Calvinella                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Calvipelta                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Calymenidius                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Calymenidius
Cambrioconus                             | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Cambroblastus                            | Animal    | Echinodermata              | -498500000    | -485400000   | <>
Cambrocrinus                             | Animal    | Echinodermata              | -501000000    | -498500000   | <>
Cambrooistodus                           | Animal    | Chordata                   | -498500000    | -485400000   | <>
Canadaspis                               | Animal    | Arthropoda                 | -500500000    | -497000000   | Canadaspis
Canalilatus                              | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Canopoconus                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Canthylotreta                            | Animal    | Brachiopoda                | -513000000    | -498500000   | <>
Cardiocystella                           | Animal    | Echinodermata              | -498500000    | -485400000   | <>
Carinamala                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Carinamala
Carinopelta                              | Animal    | Mollusca                   | -541000000    | -485400000   | Carinopelta
Castericystis                            | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Cathayanella                             | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Catillicephala                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Catuniella                               | Animal    | Arthropoda                 | -498500000    | -485400000   | Catuniella
Caulaspina                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Caznaia                                  | Animal    | Arthropoda                 | -498500000    | -494000000   | <>
Cedaria                                  | Animal    | Arthropoda                 | -500500000    | -497000000   | Cedaria
Cedarina                                 | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Centropleura                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ceratocystis                             | Animal    | Echinodermata              | -513000000    | -498500000   | Ceratocystis
Ceratreta                                | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Cermataspis                              | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Cernuolimbus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ceronocare                               | Animal    | Arthropoda                 | -498500000    | -494000000   | <>
Chabactoceras                            | Animal    | Mollusca                   | -498500000    | -485400000   | <>
Chaetetes                                | Animal    | Porifera                   | -541000000    | -252170000   | Chaetetes
Chalfontia                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chancia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | Chancia
Changia                                  | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Changshania                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Charchaqia                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chariocephalus                           | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chatiania                                | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Chatsworthia                             | Animal    | Echinodermata              | -498500000    | -494000000   | <>
Cheilocephalus                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chekiangaspis                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chelidonocephalus                        | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Chelodes                                 | Animal    | Mollusca                   | -501000000    | -485400000   | Chelodes
Chencunia                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chiawangella                             | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Chippewaella                             | Animal    | Mollusca                   | -501000000    | -485400000   | Chippewaella
Choia                                    | Animal    | Porifera                   | -513000000    | -498500000   | Choia
Chondranomocare                          | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Chuangia                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chuangiella                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chuangioides                             | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Chuiliella                               | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Ciceragnostus                            | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Cigara                                   | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Cilia                                    | Animal    | Arthropoda                 | -498500000    | -485400000   | Cilia
Clavagnostus                             | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Clavaspidella                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Clavohamulus                             | Animal    | Chordata                   | -498500000    | -485400000   | <>
Clelandia                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Cliffia                                  | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Cloudia                                  | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -501000000    | -485400000   | <>
Coleicarpus                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Comanchia                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Conaspis                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Connagnostus                             | Animal    | Arthropoda                 | -498500000    | -485400000   | Connagnostus
Conococheaguea                           | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Conocoryphe                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Conocoryphe
Conopolus                                | Animal    | Arthropoda                 | -513000000    | -498500000   | Conopolus
Conotheca                                | Animal    | Hyolitha                   | -541000000    | -485400000   | Conotheca
Coosella                                 | Animal    | Arthropoda                 | -500500000    | -497000000   | Coosella
Coosia                                   | Animal    | Arthropoda                 | -500500000    | -497000000   | Coosia
Coosina                                  | Animal    | Arthropoda                 | -500500000    | -497000000   | Coosina
Coosinoides                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Corbina                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | Corbina
Corbinia                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Cordylodus                               | Animal    | Chordata                   | -498500000    | -477700000   | Cordylodus
Cornuella                                | Animal    | Mollusca                   | -501000000    | -485400000   | Cornuella
Corrugatagnostus                         | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Corynexochides                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Corynexochus                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Costipelagiella                          | Animal    | Mollusca                   | -513000000    | -498500000   | <>
Cotalagnostus                            | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Crassifimbra                             | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Crepicephalus                            | Animal    | Arthropoda                 | -500500000    | -497000000   | Crepicephalus
Croixana                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Crucicephalus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Cryptoderaspis                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Ctenocystis                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Ctenopyge                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Curvechidnina                            | Micro     | Radiolaria                 | -501000000    | -485400000   | <>
Cyclognathina                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Cycloholcus                              | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Cyclolorenzella                          | Animal    | Arthropoda                 | -500500000    | -497000000   | <>
Cyclopites                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Cyclopites
Cymbithyris                              | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Dactylotreta                             | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
