Aglyptinus                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Aglyptinus
Agnotherium                              | Animal    | Chordata                   | -16900000     | -15970000    | Agnotherium
Agnotocastor                             | Animal    | Chordata                   | -30800000     | -20430000    | Agnotocastor
Agononida                                | Animal    | Arthropoda                 | -23030000     | -15970000    | Agononida
Agramma                                  | Animal    | Arthropoda                 | -20440000     | -15970000    | Agramma
Agrilus                                  | Animal    | Arthropoda                 | -20440000     | -15970000    | Agrilus
Agriocharis                              | Animal    | Chordata                   | -23030000     | -2588000     | Agriocharis
Agriochoerus                             | Animal    | Chordata                   | -30800000     | -20430000    | Agriochoerus
Agriocnemis                              | Animal    | Arthropoda                 | -20440000     | -15970000    | Agriocnemis
Agriopoma                                | Animal    | Mollusca                   | -20440000     | -15970000    | Agriopoma
Agriotes                                 | Animal    | Arthropoda                 | -23030000     | -15970000    | Agriotes
Agriotherium                             | Animal    | Chordata                   | -23030000     | -5333000     | Agriotherium
Agrothereutes                            | Animal    | Arthropoda                 | -20440000     | -15970000    | Agrothereutes
Aguascalientia                           | Animal    | Chordata                   | -23030000     | -5333000     | Aguascalientia
Ailanthipites                            | Plant     | Spermatophyta              | -33900000     | -15970000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -23030000     | -15970000    | Ailanthus
Ainicardita                              | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Aivalykus                                | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Akatopora                                | Animal    | Bryozoa                    | -23030000     | -15970000    | <>
Aktaumys                                 | Animal    | Chordata                   | -16900000     | -15970000    | <>
Alaba                                    | Animal    | Mollusca                   | -20440000     | -15970000    | Alaba
Alabina                                  | Animal    | Mollusca                   | -23030000     | -15970000    | Alabina
Alangium                                 | Plant     | Spermatophyta              | -20440000     | -15970000    | Alangium
Alaptus                                  | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Albanerpeton                             | Animal    | Chordata                   | -16900000     | -15970000    | Albanerpeton
Albanohyus                               | Animal    | Chordata                   | -16900000     | -15970000    | Albanohyus
Albertona                                | Animal    | Chordata                   | -20440000     | -15970000    | <>
Albertwoodemys                           | Animal    | Chordata                   | -20440000     | -15970000    | Albertwoodemys
Albula                                   | Animal    | Chordata                   | -20440000     | -15970000    | Albula
Alcithoe                                 | Animal    | Mollusca                   | -19000000     | -15900000    | Alcithoe
Aldrovanda                               | Plant     | Spermatophyta              | -23030000     | -15970000    | Aldrovanda
Alectryon                                | Plant     | Spermatophyta              | -28400000     | -15970000    | Alectryon
Alepia                                   | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Alethaxius                               | Animal    | Arthropoda                 | -20440000     | -13820000    | Alethaxius
Aletomeryx                               | Animal    | Chordata                   | -20430000     | -15970000    | Aletomeryx
Alforjas                                 | Animal    | Chordata                   | -23030000     | -5333000     | Alforjas
Algon                                    | Animal    | Arthropoda                 | -20440000     | -15970000    | Algon
Aliculastrum                             | Animal    | Mollusca                   | -20440000     | -15970000    | Aliculastrum
Alienates                                | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Alifasciola                              | Animal    | Arthropoda                 | -20440000     | -15970000    | <>
Aligena                                  | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Aliscarabaeus                            | Animal    | Arthropoda                 | -20440000     | -15970000    | <>
Alisea                                   | Animal    | Chordata                   | -23030000     | -5333000     | Alisea
Alisma                                   | Plant     | Angiospermae               | -23030000     | -15970000    | Alisma
Alisotrichia                             | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Aliveria                                 | Animal    | Chordata                   | -16900000     | -15970000    | <>
Allaeochelys                             | Animal    | Chordata                   | -20440000     | -15970000    | Allaeochelys
Allecula                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Allecula
Alliatinella                             | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Alligator                                | Animal    | Chordata                   | -20430000     | -15970000    | Alligator
Allocasuarina                            | Plant     | Spermatophyta              | -33900000     | -15970000    | Allocasuarina
Allocyon                                 | Animal    | Chordata                   | -30800000     | -20430000    | <>
Allodahlia                               | Animal    | Arthropoda                 | -20440000     | -15970000    | Allodahlia
Allodesmus                               | Animal    | Chordata                   | -23030000     | -5333000     | Allodesmus
Alloiomma                                | Animal    | Arthropoda                 | -20440000     | -15970000    | Alloiomma
Alloiomys                                | Animal    | Chordata                   | -16300000     | -15500000    | <>
Allomys                                  | Animal    | Chordata                   | -30800000     | -20430000    | <>
Alloptox                                 | Animal    | Chordata                   | -16900000     | -13650000    | <>
Allostemma                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Alnus                                    | Plant     | Spermatophyta              | -20000000     | -15970000    | Alnus
Alopecocyon                              | Animal    | Chordata                   | -16900000     | -15970000    | Alopecocyon
Alophia                                  | Animal    | Chordata                   | -23030000     | -15970000    | Alophia
Alopias                                  | Animal    | Chordata                   | -20440000     | -15970000    | Alopias
Alosa                                    | Animal    | Chordata                   | -20440000     | -15970000    | Alosa
Alphagaulus                              | Animal    | Chordata                   | -20430000     | -13600000    | <>
Altica                                   | Animal    | Arthropoda                 | -20440000     | -15970000    | Altica
Altitypotherium                          | Animal    | Chordata                   | -17500000     | -16300000    | <>
Aluis                                    | Animal    | Bryozoa                    | -20440000     | -15970000    | <>
Alumeda                                  | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Aluterus                                 | Animal    | Chordata                   | -23030000     | -13820000    | Aluterus
Alvania                                  | Animal    | Mollusca                   | -20440000     | -15970000    | Alvania
Alveinus                                 | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Alveolinella                             | Micro     | Foraminifera               | -20440000     | -15970000    | Alveolinella
Alveopora                                | Animal    | Cnidaria                   | -19000000     | -15900000    | Alveopora
Alwoodia                                 | Animal    | Chordata                   | -24800000     | -20430000    | <>
Alyxia                                   | Plant     | Spermatophyta              | -33900000     | -15970000    | Alyxia
Amagupsyche                              | Animal    | Arthropoda                 | -20440000     | -15970000    | <>
Amalda                                   | Animal    | Mollusca                   | -19000000     | -15900000    | Amalda
Amanocina                                | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Amarophos                                | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Amathina                                 | Animal    | Mollusca                   | -23030000     | -5333000     | Amathina
Amaurellina                              | Animal    | Mollusca                   | -20440000     | -15970000    | <>
