Aptychus                                 | Animal    | Mollusca                   | -130000000    | -125450000   | Aptychus
Aptyxiella                               | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Aquatilavipes                            | Animal    | Chordata                   | -145000000    | -100500000   | <>
Arabicodium                              | Plant     | Chlorophyta                | -125450000    | -122460000   | Arabicodium
Araliaephyllum                           | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -145000000    | -100500000   | Aralia
Araneus                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | Araneus
Araucariacites                           | Plant     | Pinophyta                  | -129400000    | -100500000   | <>
Araucaria                                | Plant     | Pinophyta                  | -145000000    | -100500000   | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -129400000    | -125000000   | <>
Arca                                     | Animal    | Mollusca                   | -125450000    | -122460000   | Arca
Arcanosaurus                             | Animal    | Chordata                   | -130000000    | -122460000   | Arcanosaurus
Arcellites                               | Plant     | Pteridophyta               | -129400000    | -113000000   | <>
Archaealveolina                          | Micro     | Foraminifera               | -125450000    | -122460000   | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaeatropos                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archaefructus                            | Plant     | Angiospermae               | -129400000    | -125000000   | Archaefructus
Archaeobuthus                            | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -139800000    | -125000000   | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -125450000    | -122460000   | <>
Archaeodrepanicus                        | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Archaeodryinus                           | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -129400000    | -113000000   | <>
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -100500000   | Archaeoniscus
Archaeopteryx                            | Animal    | Chordata                   | -130000000    | -125450000   | Archaeopteryx
Archaeopus                               | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Archaeorhynchus                          | Animal    | Chordata                   | -125450000    | -122460000   | Archaeorhynchus
Archaeornithipus                         | Animal    | Chordata                   | -163500000    | -100500000   | Archaeornithipus
Archaeoscolia                            | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archaeoserphites                         | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -130000000    | -122460000   | <>
Archaeotritrabs                          | Micro     | Radiolaria                 | -130000000    | -125450000   | <>
Archelatrius                             | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archeraphidia                            | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Archiacia                                | Animal    | Echinodermata              | -125450000    | -122460000   | <>
Archiaustroconops                        | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Archiculicoides                          | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Archimedea                               | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Archimesoblatta                          | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Archisciada                              | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Archisphex                               | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Architectonica                           | Animal    | Mollusca                   | -129400000    | -125000000   | Architectonica
Archoxyelyda                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arcopagia                                | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Arctica                                  | Animal    | Mollusca                   | -125450000    | -122460000   | Arctica_(bivalve)
Arctostrea                               | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Arenobulimina                            | Micro     | Foraminifera               | -125450000    | -122460000   | <>
Aretsaya                                 | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Argenticyprina                           | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Argonauticeras                           | Animal    | Mollusca                   | -129400000    | -125000000   | Argonauticeras
Ariadnaesporites                         | Plant     | Pteridophyta               | -145000000    | -93900000    | <>
Aristosuchus                             | Animal    | Chordata                   | -129400000    | -122460000   | Aristosuchus
Artematopodites                          | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Artitocoblatta                           | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Arundelconodon                           | Animal    | Chordata                   | -125450000    | -122460000   | <>
Ascalochrysa                             | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Ascarites                                | Animal    | Nematoda                   | -129400000    | -122460000   | <>
Asciocythere                             | Animal    | Arthropoda                 | -129400000    | -113000000   | <>
Ashanga                                  | Animal    | Arthropoda                 | -125450000    | -122460000   | Ashanga
Asianopodus                              | Animal    | Chordata                   | -130000000    | -125450000   | <>
Asioculicus                              | Animal    | Arthropoda                 | -129400000    | -100500000   | <>
Asphaeropsocites                         | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Aspidaster                               | Animal    | Echinodermata              | -130000000    | -125450000   | <>
Aspideretes                              | Animal    | Chordata                   | -145000000    | -100500000   | Aspideretes
Asplenium                                | Plant     | Pteridophyta               | -145000000    | -100500000   | Asplenium
Astacodes                                | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Astarte                                  | Animal    | Mollusca                   | -125450000    | -103300000   | Astarte
Asteriaceros                             | Animal    | Echinodermata              | -130000000    | -125450000   | <>
Asteropollis                             | Plant     | Magnoliophyta              | -129400000    | -122460000   | <>
Astieridiscus                            | Animal    | Mollusca                   | -129400000    | -125000000   | Astieridiscus
Astraeofungia                            | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Astreopora                               | Animal    | Cnidaria                   | -132900000    | -125000000   | Astreopora
Atalosciophila                           | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Atelestites                              | Animal    | Arthropoda                 | -129400000    | -125000000   | <>
Atetrameropsis                           | Animal    | Arthropoda                 | -130000000    | -125450000   | <>
Athrotaxites                             | Plant     | Coniferophyta              | -145000000    | -100500000   | <>
Athrotaxopsis                            | Plant     | Pinophyta                  | -145000000    | -100500000   | <>
Atolchelys                               | Animal    | Chordata                   | -129400000    | -125000000   | <>
Atopochara                               | Plant     | Charophyta                 | -129400000    | -125000000   | <>
Atractostoma                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Atreta                                   | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Aucellina                                | Animal    | Mollusca                   | -129400000    | -125000000   | <>
Audouliceras                             | Animal    | Mollusca                   | -125450000    | -122460000   | <>
Aulacopodia                              | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Aulacoteuthis                            | Animal    | Mollusca                   | -129400000    | -125000000   | Aulacoteuthis
Aulastraea                               | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Aulastraeopora                           | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Auliepterix                              | Animal    | Arthropoda                 | -125450000    | -122460000   | Auliepterix
Auliserphus                              | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Aulotortus                               | Micro     | Foraminifera               | -130000000    | -125450000   | <>
Aurisaturnalis                           | Micro     | Radiolaria                 | -125450000    | -122460000   | <>
Auroraceratops                           | Animal    | Chordata                   | -129400000    | -100500000   | Auroraceratops
Australiceras                            | Animal    | Mollusca                   | -125450000    | -122460000   | Australiceras
Austroconops                             | Animal    | Arthropoda                 | -129400000    | -125000000   | Austroconops
Austropotamobius                         | Animal    | Arthropoda                 | -130000000    | -125450000   | Austropotamobius
Avellana                                 | Animal    | Mollusca                   | -125450000    | -122460000   | Avellana
Avenaphora                               | Animal    | Arthropoda                 | -129400000    | -125000000   | Avenaphora
Avramidiscus                             | Animal    | Mollusca                   | -130000000    | -125450000   | <>
Axiopsis                                 | Animal    | Arthropoda                 | -145000000    | -100500000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -125450000    | -122460000   | <>
Azygopelecinus                           | Animal    | Arthropoda                 | -125450000    | -122460000   | <>
Baabdasaurus                             | Animal    | Chordata                   | -130000000    | -125450000   | <>
