Aglyptorhynchus                          | Animal    | Chordata                   | -55800000     | -50300000    | Aglyptorhynchus
Agomphus                                 | Animal    | Chordata                   | -56800000     | -55800000    | <>
Agonis                                   | Plant     | Spermatophyta              | -48600000     | -23030000    | Agonis
Agrenocythere                            | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Agrypnus                                 | Animal    | Arthropoda                 | -48600000     | -40400000    | Agrypnus
Agulla                                   | Animal    | Arthropoda                 | -50300000     | -46200000    | Agulla_(snakefly)
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Ailanthus                                | Plant     | Spermatophyta              | -48600000     | -37200000    | Ailanthus
Ailuravus                                | Animal    | Chordata                   | -48600000     | -40400000    | Ailuravus
Aimulosia                                | Animal    | Bryozoa                    | -55800000     | -48600000    | <>
Ainigmapsychops                          | Animal    | Arthropoda                 | -56000000     | -47800000    | Ainigmapsychops
Akania                                   | Plant     | Spermatophyta              | -56000000     | -47800000    | Akania_bidwillii
Akatopora                                | Animal    | Bryozoa                    | -59200000     | -47800000    | <>
Akera                                    | Animal    | Mollusca                   | -48600000     | -37200000    | Akera
Aksyiromys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aktashmys                                | Animal    | Chordata                   | -56000000     | -47800000    | <>
Aktaua                                   | Animal    | Chordata                   | -48600000     | -37200000    | Aktaua
Aktautitan                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Alabamina                                | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Alagomys                                 | Animal    | Chordata                   | -55800000     | -48600000    | <>
Alamitophis                              | Animal    | Chordata                   | -56000000     | -47800000    | Alamitophis
Alangium                                 | Plant     | Spermatophyta              | -48600000     | -37200000    | Alangium
Alastor                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | <>
Alatonucula                              | Plant     | Spermatophyta              | -56000000     | -47800000    | <>
Alatospermum                             | Plant     | Spermatophyta              | -56000000     | -47800000    | <>
Alaymys                                  | Animal    | Chordata                   | -56000000     | -47800000    | <>
Albertanella                             | Animal    | Mollusca                   | -56800000     | -55800000    | <>
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertogaudrya                           | Animal    | Chordata                   | -48000000     | -42000000    | Albertogaudrya
