Aspidoceras                              | Animal    | Mollusca                   | -155700000    | -150800000   | Aspidoceras
Aspidorhynchus                           | Animal    | Chordata                   | -155700000    | -150800000   | Aspidorhynchus
Asplenium                                | Plant     | Pteridophyta               | -157300000    | -152100000   | Asplenium
Astacolus                                | Micro     | Foraminifera               | -155700000    | -150800000   | <>
Astandes                                 | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Astarte                                  | Animal    | Mollusca                   | -155700000    | -150800000   | Astarte
Asteracanthus                            | Animal    | Chordata                   | -155700000    | -150800000   | Asteracanthus
Astraeofungia                            | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Astraraea                                | Animal    | Cnidaria                   | -161200000    | -152100000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -163500000    | -152100000   | <>
Astroporina                              | Animal    | Porifera                   | -161200000    | -150800000   | <>
Astrospongia                             | Animal    | Porifera                   | -155700000    | -150800000   | <>
Astrostylopsis                           | Animal    | Porifera                   | -155700000    | -145000000   | <>
Atalopegaster                            | Animal    | Echinodermata              | -163500000    | -145000000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Ataxioceras                              | Animal    | Mollusca                   | -155700000    | -150800000   | Ataxioceras
Atelostroma                              | Animal    | Porifera                   | -163500000    | -150800000   | <>
Athrodon                                 | Animal    | Chordata                   | -155700000    | -150800000   | Athrodon
Athrotaxites                             | Plant     | Coniferophyta              | -163500000    | -100500000   | <>
Atoposaurus                              | Animal    | Chordata                   | -157300000    | -152100000   | Atoposaurus
Atreta                                   | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Aucellina                                | Animal    | Mollusca                   | -163500000    | -66000000    | <>
Audienusina                              | Micro     | Foraminifera               | -155700000    | -150800000   | <>
Aulacomyella                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Aulacosphinctes                          | Animal    | Mollusca                   | -157300000    | -152100000   | Aulacosphinctes
Aulacostephanus                          | Animal    | Mollusca                   | -155700000    | -150800000   | Aulacostephanus
Aulacothyris                             | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Aulastraea                               | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Aulophyllia                              | Animal    | Cnidaria                   | -157300000    | -152100000   | <>
Aulotortus                               | Micro     | Foraminifera               | -155700000    | -150800000   | <>
Aurornis                                 | Animal    | Chordata                   | -167700000    | -150800000   | Aurornis
Austrocardilanx                          | Animal    | Mollusca                   | -161200000    | -153500000   | <>
Aviatyrannis                             | Animal    | Chordata                   | -157300000    | -152100000   | Aviatyrannis
Avicula                                  | Animal    | Mollusca                   | -157300000    | -152100000   | <>
Axiotubullina                            | Animal    | Porifera                   | -163500000    | -150800000   | <>
Axopodorhabdus                           | Plant     | Haptophyta                 | -155700000    | -150800000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Baccispongia                             | Animal    | Porifera                   | -161200000    | -155700000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -155700000    | -150800000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -161200000    | -155700000   | <>
Baissoferus                              | Animal    | Arthropoda                 | -163500000    | -152100000   | <>
Bakevellia                               | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Bakharia                                 | Animal    | Arthropoda                 | -166100000    | -152100000   | <>
Balanocidaris                            | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -157300000    | -152100000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Balticeras                               | Animal    | Mollusca                   | -157300000    | -152100000   | Balticeras
Barbatia                                 | Animal    | Mollusca                   | -155700000    | -150800000   | Barbatia
Barosaurus                               | Animal    | Chordata                   | -155700000    | -145000000   | Barosaurus
Barroisia                                | Animal    | Porifera                   | -161200000    | -150800000   | <>
Barthelticeras                           | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Baryphyllia                              | Animal    | Cnidaria                   | -155700000    | -150800000   | <>
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bathmochoffatia                          | Animal    | Chordata                   | -157300000    | -152100000   | Bathmochoffatia
Bathotheca                               | Animal    | Porifera                   | -161200000    | -155700000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Bathysiphon                              | Micro     | Foraminifera               | -157300000    | -152100000   | <>
Bathyspondylus                           | Animal    | Chordata                   | -155700000    | -150800000   | Bathyspondylus
Bathysuchus                              | Animal    | Chordata                   | -155700000    | -150800000   | Bathysuchus
Batrachognathus                          | Animal    | Chordata                   | -163500000    | -152100000   | Batrachognathus
Batrachomimus                            | Animal    | Chordata                   | -163500000    | -152100000   | Batrachomimus
Batrachopus                              | Animal    | Chordata                   | -201300000    | -145000000   | <>
Bauneia                                  | Animal    | Porifera                   | -155700000    | -150800000   | <>
Beauvoisina                              | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Becklesius                               | Animal    | Chordata                   | -157300000    | -152100000   | Becklesius
Behuninia                                | Plant     | Cycadophyta                | -157300000    | -145000000   | <>
Beiyanerpeton                            | Animal    | Chordata                   | -161200000    | -155700000   | Beiyanerpeton
Belemnites                               | Animal    | Mollusca                   | -157300000    | -152100000   | Belemnites_(genus)
Belemnobatis                             | Animal    | Chordata                   | -155700000    | -150800000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -155700000    | -150800000   | Belemnopsis
Bellubrunnus                             | Animal    | Chordata                   | -155700000    | -150800000   | Bellubrunnus
Belorussiella                            | Micro     | Foraminifera               | -155700000    | -150800000   | <>
