Batostomella                             | Animal    | Bryozoa                    | -427400000    | -423000000   | <>
Baturria                                 | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Beecheroscapha                           | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Belenopyge                               | Animal    | Arthropoda                 | -426200000    | -425400000   | <>
Bellerophon                              | Animal    | Mollusca                   | -427400000    | -425600000   | Bellerophon
Belodella                                | Animal    | Chordata                   | -427400000    | -393300000   | <>
Bembexia                                 | Animal    | Mollusca                   | -427400000    | -425600000   | Bembexia
Beraunia                                 | Animal    | Mollusca                   | -427400000    | -419200000   | <>
Berouniconcha                            | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -427400000    | -421300000   | <>
Bicarina                                 | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Bigalea                                  | Animal    | Mollusca                   | -427400000    | -419200000   | <>
Bingeria                                 | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Birkenia                                 | Animal    | Chordata                   | -427400000    | -423000000   | Birkenia
Bisulcata                                | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Bleshidium                               | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Bohemograptus                            | Animal    | Hemichordata               | -427400000    | -419200000   | <>
Bohemoharpes                             | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Boiotremus                               | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Bolbozoe                                 | Animal    | Arthropoda                 | -427400000    | -419200000   | <>
Bollia                                   | Animal    | Arthropoda                 | -427400000    | -419200000   | <>
Bonnemaia                                | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Borealarges                              | Animal    | Arthropoda                 | -426200000    | -425400000   | <>
Botryocrinus                             | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Boucotinskia                             | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Bouskacrinus                             | Animal    | Echinodermata              | -427400000    | -423000000   | <>
Brachyopterella                          | Animal    | Arthropoda                 | -426200000    | -422900000   | Brachyopterella
Brachyprion                              | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Bracteoleptaena                          | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Breviseptum                              | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Briantelasma                             | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Brongniartella                           | Animal    | Arthropoda                 | -443400000    | -419200000   | Brongniartella
Brooksina                                | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Bryantodus                               | Animal    | Chordata                   | -443400000    | -419200000   | <>
Bucanella                                | Animal    | Mollusca                   | -433400000    | -419200000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Bucanospira                              | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Buchiola                                 | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Bulbosohnia                              | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -427400000    | -423000000   | Bumastus
Bunodes                                  | Animal    | Arthropoda                 | -426200000    | -422900000   | Bunodes
Buskopora                                | Animal    | Bryozoa                    | -427400000    | -425600000   | <>
Butovicella                              | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Byronoceras                              | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -427400000    | -419200000   | <>
Cadudium                                 | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Caesariella                              | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Calamospora                              | Plant     | Sphenophyta                | -443400000    | -419200000   | <>
Calapoecia                               | Animal    | Cnidaria                   | -458400000    | -419200000   | <>
Calcaribeyrichia                         | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Calceocrinus                             | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Calliocrinus                             | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Calostylis                               | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Calycocoelia                             | Animal    | Porifera                   | -427400000    | -423000000   | <>
Calymene                                 | Animal    | Arthropoda                 | -426200000    | -425400000   | Calymene
Camarocrinus                             | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -427400000    | -419200000   | Camarotoechia
Camerella                                | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Camptolithus                             | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Cantrillia                               | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Capelliniella                            | Animal    | Brachiopoda                | -427400000    | -423000000   | <>
Capnophyllum                             | Animal    | Cnidaria                   | -443400000    | -419200000   | Capnophyllum
