Ameiurus                                 | Animal    | Chordata                   | -23030000     | -5333000     | Ameiurus
Amelanchier                              | Plant     | Spermatophyta              | -23030000     | -5333000     | Amelanchier
Ameranella                               | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Ameranna                                 | Animal    | Mollusca                   | -23030000     | -15970000    | Ameranna
Americardia                              | Animal    | Mollusca                   | -23030000     | -5333000     | Americardia
Amiantis                                 | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Ammobaculites                            | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Ammodiscus                               | Micro     | Foraminifera               | -21700000     | -19000000    | Ammodiscus
Ammonia                                  | Micro     | Foraminifera               | -23030000     | -15970000    | Ammonia
Ammonicera                               | Animal    | Mollusca                   | -23030000     | -20440000    | Ammonicera
Ammophila                                | Animal    | Arthropoda                 | -23030000     | -15970000    | Ammophila
Ammospermophilus                         | Animal    | Chordata                   | -23030000     | -5333000     | Ammospermophilus
Amnestus                                 | Animal    | Arthropoda                 | -23030000     | -15970000    | Amnestus
Amnicola                                 | Animal    | Mollusca                   | -28100000     | -20440000    | Amnicola
Ampelopsis                               | Plant     | Spermatophyta              | -23030000     | -15970000    | Ampelopsis
Amphechinus                              | Animal    | Chordata                   | -23030000     | -11608000    | Amphechinus
Amphiblestrum                            | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Amphicaenopus                            | Animal    | Chordata                   | -30800000     | -20430000    | <>
Amphicoryna                              | Micro     | Foraminifera               | -23030000     | -20440000    | <>
Amphictis                                | Animal    | Chordata                   | -22400000     | -20000000    | <>
Amphicyon                                | Animal    | Chordata                   | -23030000     | -11608000    | Amphicyon
Amphilagus                               | Animal    | Chordata                   | -22400000     | -20000000    | <>
Amphimorphina                            | Micro     | Foraminifera               | -23030000     | -20440000    | <>
Amphiope                                 | Animal    | Echinodermata              | -23030000     | -15970000    | <>
Amphioplus                               | Animal    | Echinodermata              | -23030000     | -5333000     | <>
Amphiperatherium                         | Animal    | Chordata                   | -22400000     | -20000000    | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -23030000     | -11608000    | Amphiroa
Amphisorus                               | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Amphistegina                             | Micro     | Foraminifera               | -21700000     | -15900000    | Amphistegina
Amphorometra                             | Animal    | Echinodermata              | -25200000     | -21700000    | <>
Ampullina                                | Animal    | Mollusca                   | -23030000     | -15970000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -23030000     | -15970000    | Ampullinopsis
Ampullonatica                            | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Amusium                                  | Animal    | Mollusca                   | -23030000     | -13820000    | Amusium
