Atelostroma                              | Animal    | Porifera                   | -163500000    | -150800000   | <>
Athrodon                                 | Animal    | Chordata                   | -155700000    | -150800000   | Athrodon
Athrotaxites                             | Plant     | Coniferophyta              | -152100000    | -145000000   | <>
Atoposaurus                              | Animal    | Chordata                   | -150800000    | -145000000   | Atoposaurus
Atreta                                   | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Aucellina                                | Animal    | Mollusca                   | -152100000    | -145000000   | <>
Audienusina                              | Micro     | Foraminifera               | -155700000    | -150800000   | <>
Aulacomyella                             | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Aulaconautilus                           | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Aulacosphinctes                          | Animal    | Mollusca                   | -150800000    | -129400000   | Aulacosphinctes
Aulacostephanus                          | Animal    | Mollusca                   | -152100000    | -145000000   | Aulacostephanus
Aulastraea                               | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Aulotortus                               | Micro     | Foraminifera               | -155700000    | -150800000   | <>
Aurorazhdarcho                           | Animal    | Chordata                   | -150800000    | -145000000   | Aurorazhdarcho
Aurornis                                 | Animal    | Chordata                   | -167700000    | -150800000   | Aurornis
Australobuchia                           | Animal    | Mollusca                   | -148500000    | -145000000   | <>
Australodocus                            | Animal    | Chordata                   | -152100000    | -145000000   | Australodocus
Austrocyprina                            | Animal    | Mollusca                   | -148500000    | -145000000   | <>
Austroprotolindenia                      | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Avicula                                  | Animal    | Mollusca                   | -161200000    | -150800000   | <>
Axiotubullina                            | Animal    | Porifera                   | -163500000    | -150800000   | <>
Axopodorhabdus                           | Plant     | Haptophyta                 | -155700000    | -150800000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Baga                                     | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -152100000    | -125000000   | Baiera
Baissoleuctra                            | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Bajanzhargalana                          | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Bakevellia                               | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Balanocidaris                            | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -152100000    | -145000000   | <>
Baleiomyia                               | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Baleyopteryx                             | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Balticoceras                             | Animal    | Mollusca                   | -152100000    | -145000000   | Balticoceras
Barbatia                                 | Animal    | Mollusca                   | -155700000    | -150800000   | Barbatia
Barosaurus                               | Animal    | Chordata                   | -150800000    | -145000000   | Barosaurus
Barroisia                                | Animal    | Porifera                   | -150800000    | -145000000   | <>
Baryphyllia                              | Animal    | Cnidaria                   | -152100000    | -139800000   | <>
Basilochelys                             | Animal    | Chordata                   | -152100000    | -139800000   | Basilochelys
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Bathyspondylus                           | Animal    | Chordata                   | -155700000    | -150800000   | Bathyspondylus
Bathysuchus                              | Animal    | Chordata                   | -155700000    | -150800000   | Bathysuchus
Batrachopus                              | Animal    | Chordata                   | -201300000    | -145000000   | <>
Bauneia                                  | Animal    | Porifera                   | -155700000    | -150800000   | <>
Bavarichthys                             | Animal    | Chordata                   | -150800000    | -145000000   | <>
Bavarisaurus                             | Animal    | Chordata                   | -152100000    | -145000000   | Bavarisaurus
Beania Beaniaceae                        | Plant     | Cycadophyta                | -152100000    | -139800000   | Beania
Beattieellus                             | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Becus                                    | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Behuninia                                | Plant     | Cycadophyta                | -157300000    | -145000000   | <>
Belemnites                               | Animal    | Mollusca                   | -152100000    | -145000000   | Belemnites_(genus)
Belemnobatis                             | Animal    | Chordata                   | -155700000    | -150800000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -148500000    | -145000000   | Belemnopsis
Bellubrunnus                             | Animal    | Chordata                   | -155700000    | -150800000   | Bellubrunnus
Belonostomus                             | Animal    | Chordata                   | -150800000    | -145000000   | Belonostomus
Belorussiella                            | Micro     | Foraminifera               | -155700000    | -150800000   | <>
Belzungia                                | Plant     | Chlorophyta                | -161200000    | -150800000   | <>
Benetticeras                             | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Berenicea                                | Animal    | Bryozoa                    | -152100000    | -145000000   | <>
Bergeriaeschnidia                        | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Bernardodon                              | Animal    | Chordata                   | -161200000    | -150800000   | Bernardodon
Bernissartia                             | Animal    | Chordata                   | -150800000    | -140200000   | Bernissartia
Bernoullius                              | Micro     | Radiolaria                 | -157300000    | -145000000   | <>
Berriasella                              | Animal    | Mollusca                   | -150800000    | -129400000   | Berriasella
Bestioperlisca                           | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Bienotheroides                           | Animal    | Chordata                   | -152100000    | -145000000   | Bienotheroides
Bigenerina                               | Micro     | Foraminifera               | -150800000    | -145000000   | <>
Bihendulirhynchia                        | Animal    | Brachiopoda                | -155700000    | -150800000   | <>
Bilaterocoenia                           | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Bipartopsis                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Biretisporites                           | Plant     | Pteridophyta               | -161200000    | -145000000   | <>
Biscutum                                 | Plant     | Haptophyta                 | -150800000    | -145000000   | <>
Bistarkum                                | Micro     | Radiolaria                 | -150800000    | -140200000   | <>
Bisulcocypris                            | Animal    | Arthropoda                 | -155700000    | -150800000   | <>
Bittium                                  | Animal    | Mollusca                   | -161200000    | -150800000   | Bittium
Bivallupus                               | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Blanfordiceras                           | Animal    | Mollusca                   | -150800000    | -139800000   | Blanfordiceras
Blanforidceras                           | Animal    | Mollusca                   | -152100000    | -145000000   | <>
Blastochaetetes                          | Animal    | Porifera                   | -150800000    | -145000000   | <>
Blattogryllulus                          | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Blattula                                 | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Blechnum                                 | Plant     | Pteridophyta               | -152100000    | -139800000   | Blechnum
Bleytonella                              | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Bochianites                              | Animal    | Mollusca                   | -150800000    | -145000000   | Bochianites
Bodeurina                                | Animal    | Cnidaria                   | -157300000    | -145000000   | <>
Bolboia                                  | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Bolbonectes                              | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Bolbonyx                                 | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Bolboxyela                               | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Bolena                                   | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Boreioteuthis                            | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Boreiothyris                             | Animal    | Brachiopoda                | -155700000    | -150800000   | <>
Bositra                                  | Animal    | Mollusca                   | -155700000    | -150800000   | <>
Boueina                                  | Plant     | Chlorophyta                | -163500000    | -145000000   | <>
Boughdiriella                            | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Bourguetia                               | Animal    | Mollusca                   | -161200000    | -150800000   | <>
Brachiosaurus                            | Animal    | Chordata                   | -150800000    | -145000000   | Brachiosaurus
Brachthelia                              | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Brachyoxylon                             | Plant     | Coniferophyta              | -150800000    | -145000000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -150800000    | -139800000   | Brachyphyllum
Brachypterygius                          | Animal    | Chordata                   | -150800000    | -145000000   | Brachypterygius
Brachyseris                              | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Brachytrachelopan                        | Animal    | Chordata                   | -157300000    | -145000000   | Brachytrachelopan
