Australispongia                          | Animal    | Porifera                   | -485400000    | -477700000   | <>
Australopyge                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Australopyge
Avaoceras                                | Animal    | Mollusca                   | -485400000    | -468100000   | <>
Azygograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Babinka                                  | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Bactroceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | Bactroceras
Balanocystites                           | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Balantiocystis                           | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Balnibarbi                               | Animal    | Arthropoda                 | -478600000    | -471800000   | Balnibarbi
Baltiscanella                            | Animal    | Mollusca                   | -485400000    | -443400000   | <>
Baltograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Baltoniodus                              | Animal    | Chordata                   | -478600000    | -466000000   | Baltoniodus
Barnesoceras                             | Animal    | Mollusca                   | -485400000    | -477700000   | Barnesoceras
Barrandia                                | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Basilicus                                | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bassleroceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | Bassleroceras
Batherocystis                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Bathmoceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | Bathmoceras
Bathycheilus                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Bathycheilus
Bathyurellus                             | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bathyurina                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bathyurine                               | Animal    | Arthropoda                 | -485400000    | -471800000   | <>
Bathyurus                                | Animal    | Arthropoda                 | -478600000    | -460900000   | <>
Batostoma                                | Animal    | Bryozoa                    | -485400000    | -477700000   | <>
Batostomella                             | Animal    | Bryozoa                    | -478600000    | -468100000   | <>
Bavarilla                                | Animal    | Arthropoda                 | -478600000    | -466000000   | Bavarilla
Bayfieldia                               | Animal    | Arthropoda                 | -485400000    | -478600000   | <>
Bearriverops                             | Animal    | Arthropoda                 | -485400000    | -478600000   | <>
Beatricea                                | Micro     | Radiolaria                 | -485400000    | -443400000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellaspidella                            | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Bellefontia                              | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Bellerophon                              | Animal    | Mollusca                   | -485400000    | -477700000   | Bellerophon
Belodina                                 | Animal    | Chordata                   | -478600000    | -466000000   | <>
Beltella                                 | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Benedettia                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Benthamaspis                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Benthamaspis
Bergamia                                 | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bergstroemognathus                       | Animal    | Chordata                   | -478600000    | -466000000   | <>
Bienvillia                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Biernatia                                | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Bifodina                                 | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Bipulvina                                | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Birmanites                               | Animal    | Arthropoda                 | -478600000    | -466000000   | Birmanites
Bisonoceras                              | Animal    | Mollusca                   | -485400000    | -467300000   | <>
Blastoidocrinus                          | Animal    | Echinodermata              | -478600000    | -471800000   | <>
Bodenbenderia                            | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Boeckaspis                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bohemilla                                | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bohemopyge                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bolbocephalus                            | Animal    | Arthropoda                 | -478600000    | -466000000   | Bolbocephalus
Bollia                                   | Animal    | Arthropoda                 | -485400000    | -443400000   | <>
Boreoceras                               | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Borogothus                               | Animal    | Arthropoda                 | -485400000    | -477700000   | Borogothus
Borthaspidella                           | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Brachyhipposiderus                       | Animal    | Arthropoda                 | -485400000    | -470000000   | <>
Brackebuschia                            | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Branisaspis                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Bridgeites                               | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Bridgeoceras                             | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Broeggeria                               | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Bronteopsis                              | Animal    | Arthropoda                 | -485400000    | -484500000   | <>
Brooksella                               | Animal    | Porifera                   | -485400000    | -477700000   | <>
Bryograptus                              | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Bucanella                                | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Bucania                                  | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Buehleroceras                            | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -485400000    | -443400000   | Bumastus
Burenoceras                              | Animal    | Mollusca                   | -485400000    | -470000000   | Burenoceras
Buttsia                                  | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Buttsoceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Bythopora                                | Animal    | Bryozoa                    | -485400000    | -443400000   | <>
Calamograptus                            | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Calathium                                | Plant     | Chlorophyta                | -478600000    | -466000000   | <>
Calaurops                                | Animal    | Mollusca                   | -478600000    | -468100000   | <>
