Ankistrorhynchus                         | Animal    | Chordata                   | -83500000     | -70600000    | Ankistrorhynchus
Ankylosaurus                             | Animal    | Chordata                   | -83500000     | -70600000    | Ankylosaurus
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anodonta                                 | Animal    | Mollusca                   | -85800000     | -83500000    | Anodonta
Anodontosaurus                           | Animal    | Chordata                   | -83500000     | -66000000    | Anodontosaurus
Anofia                                   | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Anogmius                                 | Animal    | Chordata                   | -85800000     | -70600000    | <>
Anomalina                                | Micro     | Foraminifera               | -100500000    | -66000000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -83500000     | -70600000    | <>
Anomalipes                               | Animal    | Chordata                   | -83600000     | -72100000    | Anomalipes
Anomalofusus                             | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Anomia                                   | Animal    | Mollusca                   | -100500000    | -66000000    | Anomia
Anomoeodus                               | Animal    | Chordata                   | -145000000    | -66000000    | Anomoeodus
Anomotodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Anomotodon
Antarctosaurus                           | Animal    | Chordata                   | -83500000     | -66000000    | Antarctosaurus
Anteglosia                               | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Anteonopsis                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Anteucoila                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Anthonya                                 | Animal    | Mollusca                   | -85800000     | -66000000    | <>
Antibythocypris                          | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Antillocaprina                           | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Antillosarcolites                        | Animal    | Mollusca                   | -83600000     | -72100000    | <>
Antiquecynips                            | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Antonaphis                               | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Aocnodromeus                             | Animal    | Chordata                   | -85800000     | -83500000    | <>
Apalocnemis                              | Animal    | Arthropoda                 | -83500000     | -70600000    | Apalocnemis
Apateodus                                | Animal    | Chordata                   | -83500000     | -70600000    | Apateodus
Apeibopsis                               | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Aphaea                                   | Animal    | Mollusca                   | -83500000     | -70600000    | Aphaea
Aphaurosuchus                            | Animal    | Chordata                   | -83500000     | -66000000    | <>
Aphidinius                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Aphidocallis                             | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Aphrocallistes                           | Animal    | Porifera                   | -83500000     | -70600000    | Aphrocallistes
Aphrodina                                | Animal    | Mollusca                   | -83500000     | -70600000    | <>
Aphytocerus                              | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -83500000     | -66000000    | <>
Apistodon                                | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aplestosuchus                            | Animal    | Chordata                   | -83500000     | -66000000    | Aplestosuchus
Apocopodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Apocopodon
Apolephthisa                             | Animal    | Arthropoda                 | -85800000     | -83500000    | Apolephthisa
Aporrhais                                | Animal    | Mollusca                   | -145000000    | -66000000    | Aporrhais
Aposerphites                             | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Appalachiosaurus                         | Animal    | Chordata                   | -83500000     | -70600000    | Appalachiosaurus
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Applinocrinus                            | Animal    | Echinodermata              | -83500000     | -70600000    | <>
Apricardia                               | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Aprisaurus                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Apsaravis                                | Animal    | Chordata                   | -83600000     | -72100000    | Apsaravis
Apsgnathus                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Apsopelix                                | Animal    | Chordata                   | -100500000    | -66000000    | Apsopelix
Aptychus                                 | Animal    | Mollusca                   | -83500000     | -70600000    | Aptychus
Apulites                                 | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Apulosauripus                            | Animal    | Chordata                   | -85800000     | -83500000    | <>
Aquaephyllum                             | Plant     | Angiospermae               | -100500000    | -61700000    | <>
Aquatilavipes                            | Animal    | Chordata                   | -83500000     | -66000000    | <>
Aquiladelphis                            | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aquilapollenites                         | Plant     | Magnoliophyta              | -83500000     | -66000000    | <>
Aquilarhinus                             | Animal    | Chordata                   | -83500000     | -70600000    | Aquilarhinus
Arackar                                  | Animal    | Chordata                   | -83600000     | -66000000    | Arackar
Aradus                                   | Animal    | Arthropoda                 | -83500000     | -70600000    | Aradus
Araeosaurus                              | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aralazhdarcho                            | Animal    | Chordata                   | -86300000     | -70600000    | Aralazhdarcho
Araliaephyllum                           | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -100500000    | -66000000    | Aralia
Aralosaurus                              | Animal    | Chordata                   | -86300000     | -70600000    | Aralosaurus
Araloselachus                            | Animal    | Chordata                   | -100500000    | -66000000    | <>
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -100500000    | -66000000    | <>
Arca                                     | Animal    | Mollusca                   | -83500000     | -70600000    | Arca
Arcellites                               | Plant     | Pteridophyta               | -145000000    | -66000000    | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaelachesis                           | Animal    | Arthropoda                 | -85800000     | -83500000    | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -145000000    | -66000000    | <>
Archaeoglobigerina                       | Micro     | Foraminifera               | -83500000     | -70600000    | <>
Archaeolamna                             | Animal    | Chordata                   | -83500000     | -66000000    | Archaeolamna
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -89300000     | -66000000    | Archaeolithophyllum
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Archaeoniscus
