Archboldiella                            | Animal    | Brachiopoda                | -272300000    | -254170000   | <>
Archifergania                            | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Archosaurus                              | Animal    | Chordata                   | -259000000    | -252300000   | Archosaurus
Arctacanthus                             | Animal    | Chordata                   | -259900000    | -254170000   | Arctacanthus
Arcticopora                              | Animal    | Bryozoa                    | -259900000    | -254170000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Arctognathus                             | Animal    | Chordata                   | -259900000    | -252170000   | Arctognathus
Arctops                                  | Animal    | Chordata                   | -259900000    | -252170000   | Arctops
Arcullina                                | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Arduorhiza                               | Animal    | Porifera                   | -259900000    | -254170000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -259900000    | -252170000   | <>
Arganaceras                              | Animal    | Chordata                   | -259900000    | -254170000   | Arganaceras
Aridophyllum                             | Animal    | Cnidaria                   | -259900000    | -254170000   | <>
Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Arqoviella                               | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Arroyocrinus                             | Animal    | Echinodermata              | -259900000    | -254170000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Asperlinus                               | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Asserculinia                             | Animal    | Cnidaria                   | -259900000    | -254170000   | <>
Astacolus                                | Micro     | Foraminifera               | -259900000    | -254170000   | <>
Astartella                               | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Astartila                                | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Asteracanthus                            | Animal    | Chordata                   | -259900000    | -254170000   | Asteracanthus
Asterophyllites                          | Plant     | Sphenophyta                | -279300000    | -252170000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -259900000    | -252170000   | Asterotheca
Astrorhiza                               | Micro     | Foraminifera               | -259900000    | -254170000   | <>
Atherstonia                              | Animal    | Chordata                   | -259900000    | -254170000   | <>
Athyris                                  | Animal    | Brachiopoda                | -259900000    | -252170000   | Athyris
