Anconodon                                | Animal    | Chordata                   | -61700000     | -56800000    | Anconodon
Anemia                                   | Plant     | Pteridophyta               | -59200000     | -56000000    | Anemia
Anevrina                                 | Animal    | Arthropoda                 | -66000000     | -37200000    | Anevrina
Angaria                                  | Animal    | Mollusca                   | -59200000     | -56000000    | Angaria
Angulus                                  | Animal    | Mollusca                   | -61600000     | -56000000    | Angulus
Anhuichelys                              | Animal    | Chordata                   | -61700000     | -58700000    | <>
Anhuisaurus                              | Animal    | Chordata                   | -61700000     | -58700000    | Anhuisaurus
Anisolambda                              | Animal    | Chordata                   | -57000000     | -55800000    | <>
Anisonchus                               | Animal    | Chordata                   | -61700000     | -56800000    | <>
Anomalina                                | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Anomalosaepia                            | Animal    | Mollusca                   | -58700000     | -55800000    | <>
Anomia                                   | Animal    | Mollusca                   | -58700000     | -55800000    | Anomia
Anomotodon                               | Animal    | Chordata                   | -58700000     | -55800000    | Anomotodon
Anthicus                                 | Animal    | Arthropoda                 | -66000000     | -56000000    | Anthicus
Anthonomus                               | Animal    | Arthropoda                 | -66000000     | -56000000    | Anthonomus
Anthracosuchus                           | Animal    | Chordata                   | -61700000     | -55800000    | Anthracosuchus
Aphanocyon                               | Animal    | Chordata                   | -58700000     | -55800000    | <>
Apheliscus                               | Animal    | Chordata                   | -56800000     | -55800000    | <>
Aphronorus                               | Animal    | Chordata                   | -56800000     | -55800000    | <>
Apiculatasporites                        | Plant     | Pteridophyta               | -58700000     | -55800000    | <>
Apiotoma                                 | Animal    | Mollusca                   | -59200000     | -56000000    | Apiotoma
Apocynophyllum                           | Plant     | Spermatophyta              | -66000000     | -56000000    | <>
Apocynospermum                           | Plant     | Spermatophyta              | -59200000     | -56000000    | <>
Apodops                                  | Animal    | Chordata                   | -58700000     | -48600000    | Apodops
Aporrhais                                | Animal    | Mollusca                   | -59200000     | -56000000    | Aporrhais
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Aquilapollenites                         | Plant     | Magnoliophyta              | -66000000     | -56000000    | <>
Arabemys                                 | Animal    | Chordata                   | -58700000     | -48600000    | Arabemys
Arachnoidiscus                           | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Arachnopusia                             | Animal    | Bryozoa                    | -59200000     | -47800000    | <>
Araeodactylus                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Aragonia                                 | Micro     | Foraminifera               | -59200000     | -56000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -66000000     | -56000000    | Aralia
Araloselachus                            | Animal    | Chordata                   | -58700000     | -55800000    | <>
Arambourgisuchus                         | Animal    | Chordata                   | -59200000     | -56000000    | Arambourgisuchus
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Arca                                     | Animal    | Mollusca                   | -59200000     | -47800000    | Arca
Archaeolambda                            | Animal    | Chordata                   | -58700000     | -55800000    | <>
Archaeolithothamnium                     | Plant     | Rhodophyta                 | -58700000     | -48600000    | <>
Archaeomanta                             | Animal    | Chordata                   | -61600000     | -56000000    | Archaeomanta
Archaeopithecus                          | Animal    | Chordata                   | -57000000     | -55800000    | <>
Archaeoryctes                            | Animal    | Chordata                   | -58700000     | -55800000    | <>
Archaerhineura                           | Animal    | Chordata                   | -61700000     | -56800000    | Archaerhineura
Archicypraea                             | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Architectonica                           | Animal    | Mollusca                   | -58700000     | -55800000    | Architectonica
Arcopagia                                | Animal    | Mollusca                   | -61700000     | -55800000    | <>
Arcoperna                                | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Arcopsis                                 | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Arctica                                  | Animal    | Mollusca                   | -59200000     | -56000000    | Arctica_(bivalve)
Arctocyon                                | Animal    | Chordata                   | -56800000     | -55800000    | Arctocyon
Arctocyonides                            | Animal    | Chordata                   | -59200000     | -56000000    | <>
Arctodontomys                            | Animal    | Chordata                   | -56800000     | -55800000    | <>
Arctostylops                             | Animal    | Chordata                   | -56800000     | -55800000    | <>
Arecipites                               | Plant     | Angiospermae               | -100500000    | -56000000    | <>
Arfia                                    | Animal    | Chordata                   | -59200000     | -48600000    | <>
Argilloecia                              | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Argochampsa                              | Animal    | Chordata                   | -66000000     | -56000000    | Argochampsa
Argyrotheca                              | Animal    | Brachiopoda                | -59200000     | -56000000    | Argyrotheca
Arius                                    | Animal    | Chordata                   | -61600000     | -56000000    | Arius
Arminiheringia                           | Animal    | Chordata                   | -58700000     | -48600000    | <>
Arrhoges                                 | Animal    | Mollusca                   | -59200000     | -56000000    | Arrhoges
Arthrocardia                             | Plant     | Rhodophyta                 | -66000000     | -56000000    | <>
Arundo                                   | Plant     | Angiospermae               | -66000000     | -33900000    | Arundo
Asiabradypus                             | Animal    | Chordata                   | -58700000     | -55800000    | <>
