Amblysomus                               | Animal    | Chordata                   | -11700        | -0           | Amblysomus
Ameghinomya                              | Animal    | Mollusca                   | -11700        | -0           | <>
Ameiva                                   | Animal    | Chordata                   | -11700        | -0           | Ameiva
Americardia                              | Animal    | Mollusca                   | -11700        | -0           | Americardia
Amia                                     | Animal    | Chordata                   | -11700        | -0           | Amia
Amiantis                                 | Animal    | Mollusca                   | -11700        | -0           | <>
Ammonia                                  | Micro     | Foraminifera               | -11700        | -0           | Ammonia
Ammospermophilus                         | Animal    | Chordata                   | -11700        | -0           | Ammospermophilus
Ammotragus                               | Animal    | Chordata                   | -2588000      | -0           | Ammotragus
Amoora                                   | Plant     | Spermatophyta              | -781000       | -0           | Amoora
Amorphoscelis                            | Animal    | Arthropoda                 | -11700        | -0           | Amorphoscelis
Amphicoryna                              | Micro     | Foraminifera               | -11700        | -0           | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -11700        | -0           | Amphiroa
Amphisbaena                              | Animal    | Chordata                   | -11700        | -0           | Amphisbaena
Amphisorus                               | Micro     | Foraminifera               | -11700        | -0           | <>
Amphissa                                 | Animal    | Mollusca                   | -2588000      | -0           | Amphissa
Amphistegina                             | Micro     | Foraminifera               | -11700        | -0           | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -2588000      | -0           | Amphithalamus
Amphitrite                               | Animal    | Arthropoda                 | -11700        | -0           | Amphitrite
Amphiuma                                 | Animal    | Chordata                   | -11700        | -0           | Amphiuma
Amphora                                  | Plant     | Ochrophyta                 | -11700        | -0           | Amphora
Amusurgus                                | Animal    | Arthropoda                 | -11700        | -0           | <>
Amyda                                    | Animal    | Chordata                   | -11700        | -0           | Amyda
Amytornis                                | Animal    | Chordata                   | -11700        | -0           | Amytornis
Anachis                                  | Animal    | Mollusca                   | -11700        | -0           | Anachis
Anacinetops                              | Animal    | Arthropoda                 | -11700        | -0           | <>
Anadara                                  | Animal    | Mollusca                   | -11700        | -0           | Anadara
Anagotus                                 | Animal    | Arthropoda                 | -11700        | -0           | Anagotus
Anancus                                  | Animal    | Chordata                   | -2588000      | -0           | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -5333000      | -0           | <>
Anaplecta                                | Animal    | Arthropoda                 | -11700        | -0           | <>
Anarhynchus                              | Animal    | Chordata                   | -11700        | -0           | Anarhynchus
Anas                                     | Animal    | Chordata                   | -11700        | -0           | Anas
Anastomus                                | Animal    | Chordata                   | -11700        | -0           | Anastomus
Anatoma                                  | Animal    | Mollusca                   | -11700        | -0           | Anatoma
Anchistus                                | Animal    | Arthropoda                 | -11700        | -0           | <>
Anchoa                                   | Animal    | Chordata                   | -126000       | -0           | Anchoa
Ancylocheles                             | Animal    | Arthropoda                 | -11700        | -0           | <>
Ancylus                                  | Animal    | Mollusca                   | -11700        | -0           | Ancylus
Andinomys                                | Animal    | Chordata                   | -126000       | -0           | Andinomys
Angerona                                 | Animal    | Arthropoda                 | -11700        | -0           | Angerona
Anguis                                   | Animal    | Chordata                   | -11700        | -0           | Anguis
Angulogerina                             | Micro     | Foraminifera               | -11700        | -0           | <>
Angulus                                  | Animal    | Mollusca                   | -11700        | -0           | Angulus
Anheteromeyenia                          | Animal    | Porifera                   | -11700        | -0           | Anheteromeyenia
Anhinga                                  | Animal    | Chordata                   | -11700        | -0           | Anhinga
Aniculus                                 | Animal    | Arthropoda                 | -11700        | -0           | <>
Anisotremus                              | Animal    | Chordata                   | -11700        | -0           | Anisotremus
Anisus                                   | Animal    | Mollusca                   | -11700        | -0           | Anisus
Annulocibicides                          | Micro     | Foraminifera               | -11700        | -0           | <>
Anodontia                                | Animal    | Mollusca                   | -11700        | -0           | Anodontia
Anolis                                   | Animal    | Chordata                   | -11700        | -0           | Anolis
Anomalinella                             | Micro     | Foraminifera               | -11700        | -0           | <>
Anomalocardia                            | Animal    | Mollusca                   | -11700        | -0           | Anomalocardia
Anomalopteryx                            | Animal    | Chordata                   | -11700        | -0           | Anomalopteryx
Anomia                                   | Animal    | Mollusca                   | -11700        | -0           | Anomia
Anonychomyrma                            | Animal    | Arthropoda                 | -11700        | -0           | Anonychomyrma
Anous                                    | Animal    | Chordata                   | -11700        | -0           | Anous
