Basseiarges                              | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Batteniella                              | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Battersbyia                              | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Beckmannia                               | Animal    | Brachiopoda                | -388100000    | -383700000   | Beckmannia
Beecheroscapha                           | Animal    | Arthropoda                 | -407600000    | -387700000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Belenopyge                               | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Bellacartwrightia                        | Animal    | Arthropoda                 | -393300000    | -382700000   | Bellacartwrightia
Bellerophon                              | Animal    | Mollusca                   | -388100000    | -383700000   | Bellerophon
Belodella                                | Animal    | Chordata                   | -393300000    | -382700000   | <>
Bembexia                                 | Animal    | Mollusca                   | -388100000    | -383700000   | Bembexia
Benesovella                              | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Bensbergia                               | Animal    | Mollusca                   | -388100000    | -382400000   | <>
Berounella                               | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Bethanyphyllum                           | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -388100000    | -383700000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -393300000    | -382700000   | <>
Bicarina                                 | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Bicarinatina                             | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Biconostrophia                           | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Bifida                                   | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Bigeyella                                | Animal    | Bryozoa                    | -393300000    | -387700000   | <>
Billingsastraea                          | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Bisinocoelia                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Bisphaera                                | Micro     | Foraminifera               | -388100000    | -383700000   | <>
Blieckaspis                              | Animal    | Chordata                   | -393300000    | -387700000   | Blieckaspis
Blodgettinotus                           | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Blothrophyllum                           | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Blysmatophyllum                          | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Boardmanella                             | Animal    | Bryozoa                    | -407600000    | -387700000   | <>
Bogoslovskya                             | Animal    | Mollusca                   | -409100000    | -391900000   | Bogoslovskya
Bohemicardia                             | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Bohemiproetus                            | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Bohemozyga                               | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Bojocoryphe                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Bojodouvillina                           | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Bojoscutellum                            | Animal    | Arthropoda                 | -410800000    | -382700000   | Bojoscutellum
Bojothyris                               | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Bojozyga                                 | Animal    | Mollusca                   | -402500000    | -387700000   | <>
Bolbozoe                                 | Animal    | Arthropoda                 | -423000000    | -391900000   | <>
Bollia                                   | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Bornhardtina                             | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Bothriolepis                             | Animal    | Chordata                   | -388100000    | -383700000   | Bothriolepis
Botryllopora                             | Animal    | Bryozoa                    | -393300000    | -382700000   | <>
Boucia                                   | Animal    | Arthropoda                 | -423000000    | -391900000   | <>
Boucotia                                 | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Boursella                                | Animal    | Arthropoda                 | -393300000    | -382700000   | <>
Bowenelasma                              | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Bracchiothuria                           | Animal    | Echinodermata              | -393300000    | -387700000   | <>
Brachyschisma                            | Animal    | Echinodermata              | -407600000    | -387700000   | <>
Brachyspirifer                           | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Breizhops                                | Animal    | Arthropoda                 | -402500000    | -391900000   | Breizhops
Breizospira                              | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Brevicoceras                             | Animal    | Mollusca                   | -393300000    | -387700000   | Brevicoceras
Breviphrentis                            | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Breviphyllum                             | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Breviseptophyllum                        | Animal    | Cnidaria                   | -393300000    | -387700000   | <>
Breviseptosia                            | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Brevispirifer                            | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Briantelasma                             | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Brilonella                               | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Brokenriveria                            | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Bucanella                                | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Bucania                                  | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Bucanophyllum                            | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Buchiola                                 | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Buchiproetus                             | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Buechelia                                | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Bufina                                   | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Bukkanodus                               | Animal    | Chordata                   | -419200000    | -358900000   | Bukkanodus
Burmeisteria                             | Animal    | Arthropoda                 | -393300000    | -387700000   | Burmeisteria
Buskopora                                | Animal    | Bryozoa                    | -407600000    | -387700000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -388100000    | -383700000   | <>
Cabrieroceras                            | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Cairoa                                   | Plant     | Tracheophyta               | -388100000    | -383700000   | <>
Calamophyton                             | Plant     | Tracheophyta               | -388100000    | -382400000   | <>
Calamospora                              | Plant     | Sphenophyta                | -388100000    | -382400000   | <>
Calceola                                 | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Caliapora                                | Animal    | Cnidaria                   | -388100000    | -383700000   | Caliapora
Caligella                                | Micro     | Foraminifera               | -402500000    | -391900000   | <>
Callipleura                              | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Callistadia                              | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Callograptus                             | Animal    | Hemichordata               | -409100000    | -391900000   | Callograptus
Calmonia                                 | Animal    | Arthropoda                 | -393300000    | -387700000   | Calmonia
Calostylis                               | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Calvibembexia                            | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Calymene                                 | Animal    | Arthropoda                 | -423000000    | -391900000   | Calymene
Camarium                                 | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Camarocrinus                             | Animal    | Echinodermata              | -419200000    | -391900000   | <>
Camarospira                              | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -388100000    | -383700000   | Camarotoechia
Campophyllum                             | Animal    | Cnidaria                   | -409100000    | -383700000   | <>
Camptosalpinx                            | Animal    | Annelida                   | -393300000    | -387700000   | <>
Camsellia                                | Animal    | Arthropoda                 | -393300000    | -387700000   | <>
Cancellator                              | Animal    | Mollusca                   | -393300000    | -387700000   | <>
Cancellspyroceras                        | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Caninia                                  | Animal    | Cnidaria                   | -393300000    | -382700000   | Caninia
Caninophyllum                            | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Cantabriastraea                          | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Canutrypa                                | Animal    | Bryozoa                    | -393300000    | -387700000   | <>
Caplinoplia                              | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Cardiola                                 | Animal    | Mollusca                   | -393300000    | -387700000   | Cardiola
Cardiolinka                              | Animal    | Mollusca                   | -423000000    | -391900000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -393300000    | -372200000   | <>
Cardioserra                              | Animal    | Echinodermata              | -393300000    | -387700000   | <>
Careophyllum                             | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Carinagypa                               | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Carinatina                               | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Carinatrypa                              | Animal    | Brachiopoda                | -393300000    | -387700000   | <>
