Astromyelon                              | Plant     | Equisetophyta              | -298900000    | -290100000   | <>
Atahococeras                             | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Athyris                                  | Animal    | Brachiopoda                | -295500000    | -290100000   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Atsabites                                | Animal    | Mollusca                   | -295500000    | -279300000   | Atsabites
Attenuatella                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Aulosteges                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Auriculispina                            | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Aurikirkbya                              | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Australomya                              | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -298900000    | -290100000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -295500000    | -290100000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Avonia                                   | Animal    | Brachiopoda                | -295500000    | -290100000   | Avonia
Bactrites                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -295500000    | -279300000   | Baiera
Bailliena                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Bajkuria                                 | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Bakevellia                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Baldwinonus                              | Animal    | Chordata                   | -298900000    | -290100000   | Baldwinonus
Bandoproductus                           | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Barakaria                                | Plant     | Sphenophyta                | -295500000    | -290100000   | <>
Barbclabornia                            | Animal    | Chordata                   | -295500000    | -290100000   | Barbclabornia
Bardella                                 | Plant     | Coniferophyta              | -298900000    | -252170000   | Bardella
Bardocarpus                              | Plant     | Peltaspermophyta           | -298900000    | -272300000   | <>
Baryschyr                                | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Bashkirella                              | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Basslerella                              | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Bathymyonia                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Batostomella                             | Animal    | Bryozoa                    | -298900000    | -252170000   | <>
Batropetes                               | Animal    | Chordata                   | -295500000    | -290100000   | Batropetes
Bayhaium                                 | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Baylea                                   | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Beecheria                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Bellerophon                              | Animal    | Mollusca                   | -295500000    | -290100000   | Bellerophon
Benshiella                               | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Betaneospirifer                          | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -298900000    | -272300000   | <>
Biarmeaspira                             | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Biconvexiella                            | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
