Basidechenella                           | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Basiplanus                               | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Batostomella                             | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Batteniella                              | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Battersbyia                              | Animal    | Cnidaria                   | -387700000    | -372200000   | <>
Baylea                                   | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Beckmannia                               | Animal    | Brachiopoda                | -387700000    | -382700000   | Beckmannia
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Belenopyge                               | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Bellacartwrightia                        | Animal    | Arthropoda                 | -387700000    | -382700000   | Bellacartwrightia
Bellerophon                              | Animal    | Mollusca                   | -387700000    | -372200000   | Bellerophon
Beloceras                                | Animal    | Mollusca                   | -383700000    | -382400000   | Beloceras
Belodella                                | Animal    | Chordata                   | -383700000    | -382400000   | <>
Belodina                                 | Animal    | Chordata                   | -387700000    | -382700000   | <>
Bembexia                                 | Animal    | Mollusca                   | -387700000    | -382700000   | Bembexia
Bensbergia                               | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Bergalaria                               | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Berounella                               | Animal    | Arthropoda                 | -419200000    | -358900000   | <>
Bethanyphyllum                           | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -387700000    | -382700000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -393300000    | -382700000   | <>
Bicarina                                 | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Biconostrophia                           | Animal    | Brachiopoda                | -393300000    | -382700000   | <>
Bideirella                               | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Bieberiana                               | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Biernatella                              | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Bifariostroma                            | Animal    | Porifera                   | -387700000    | -382700000   | <>
Bifida                                   | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Bigalea                                  | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Billingsastraea                          | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Birdsallella                             | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Bisphaera                                | Micro     | Foraminifera               | -383700000    | -382400000   | <>
Blodgettina                              | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Blothrophyllum                           | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Blysmatophyllum                          | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Bohemicardia                             | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Bohemiproetus                            | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Bohemozyga                               | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Bojocoryphe                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Bojodouvillina                           | Animal    | Brachiopoda                | -388100000    | -383700000   | <>
Bojoscutellum                            | Animal    | Arthropoda                 | -410800000    | -382700000   | Bojoscutellum
Bollia                                   | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Boomeraspis                              | Animal    | Chordata                   | -387700000    | -382700000   | <>
Bornhardtina                             | Animal    | Brachiopoda                | -387700000    | -382700000   | <>
Bothriolepis                             | Animal    | Chordata                   | -388100000    | -383700000   | Bothriolepis
Botryllopora                             | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Botryocrinus                             | Animal    | Echinodermata              | -387700000    | -382700000   | <>
Boursella                                | Animal    | Arthropoda                 | -393300000    | -382700000   | <>
Bowenelasma                              | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Breizospira                              | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Brevicoceras                             | Animal    | Mollusca                   | -410800000    | -383700000   | Brevicoceras
Breviphrentis                            | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Breviphyllum                             | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Breviseptosia                            | Animal    | Cnidaria                   | -388100000    | -383700000   | <>
Briantelasma                             | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Brilonella                               | Animal    | Mollusca                   | -388100000    | -383700000   | <>
Brokenriveria                            | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Bruehnopteron                            | Animal    | Chordata                   | -387700000    | -382700000   | <>
Bryantodus                               | Animal    | Chordata                   | -383700000    | -382400000   | <>
Bucanophyllum                            | Animal    | Cnidaria                   | -393300000    | -382700000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Buchiola                                 | Animal    | Mollusca                   | -387700000    | -372200000   | <>
Buechelia                                | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Bufina                                   | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Bukkanodus                               | Animal    | Chordata                   | -419200000    | -358900000   | Bukkanodus
Burdekinostoma                           | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Burdikinia                               | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Buregia                                  | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Buschophyllum                            | Animal    | Cnidaria                   | -387700000    | -382700000   | <>
Byssopteria                              | Animal    | Mollusca                   | -387700000    | -382700000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Bythocyproidea                           | Animal    | Arthropoda                 | -387700000    | -382700000   | <>
Cabricardium                             | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Cabrieroceras                            | Animal    | Mollusca                   | -393300000    | -382700000   | <>
Cairoa                                   | Plant     | Tracheophyta               | -387700000    | -382700000   | <>
Calacanthopora                           | Animal    | Bryozoa                    | -387700000    | -382700000   | <>
Calamophyton                             | Plant     | Tracheophyta               | -387700000    | -358900000   | <>
