Baumgartneria                            | Micro     | Radiolaria                 | -247200000    | -221500000   | <>
Bauria                                   | Animal    | Chordata                   | -247200000    | -242000000   | Bauria
Beaconiella                              | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Bektasia                                 | Animal    | Arthropoda                 | -247200000    | -237000000   | <>
Belonorhynchus                           | Animal    | Chordata                   | -247200000    | -242000000   | <>
Beneckeia                                | Animal    | Mollusca                   | -247200000    | -242000000   | Beneckeia
Bentonyx                                 | Animal    | Chordata                   | -247200000    | -242000000   | Bentonyx
Bernoullia                               | Plant     | Pteridophyta               | -247200000    | -237000000   | Bernoullia
Besania                                  | Animal    | Chordata                   | -247200000    | -242000000   | Besania
Besanosaurus                             | Animal    | Chordata                   | -247200000    | -237000000   | Besanosaurus
Betraccium                               | Micro     | Radiolaria                 | -247200000    | -237000000   | <>
Beturiella                               | Micro     | Radiolaria                 | -247200000    | -235000000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -247200000    | -242000000   | <>
Beyrichites                              | Animal    | Mollusca                   | -247200000    | -221500000   | Beyrichites
Billingsites                             | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Binoculites                              | Animal    | Echinodermata              | -247200000    | -242000000   | <>
Birgeria                                 | Animal    | Chordata                   | -247200000    | -235000000   | Birgeria
Bjuvia                                   | Plant     | Cycadophyta                | -247200000    | -242000000   | <>
Blezingeria                              | Animal    | Chordata                   | -247200000    | -237000000   | Blezingeria
Bobasatrania                             | Animal    | Chordata                   | -247200000    | -242000000   | Bobasatrania
Bolotridon                               | Animal    | Chordata                   | -247200000    | -242000000   | Bolotridon
Boreosomus                               | Animal    | Chordata                   | -247200000    | -242000000   | Boreosomus
Bositra                                  | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Bosnites                                 | Animal    | Mollusca                   | -251200000    | -242000000   | <>
Botulopsis                               | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Bourguetia                               | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Brachychirotherium                       | Animal    | Chordata                   | -247200000    | -237000000   | <>
Brackites                                | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Bradyia                                  | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Brandneria                               | Plant     | Chlorophyta                | -247200000    | -242000000   | <>
