Chippewaella                             | Animal    | Mollusca                   | -501000000    | -485400000   | Chippewaella
Chuangia                                 | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Chuangiella                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Chuiliella                               | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Cilia                                    | Animal    | Arthropoda                 | -498500000    | -485400000   | Cilia
Clarkella                                | Animal    | Brachiopoda                | -497000000    | -485400000   | Clarkella
Clavaspidella                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Clavohamulus                             | Animal    | Chordata                   | -498500000    | -485400000   | <>
Clelandia                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Cliffia                                  | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Cloudia                                  | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -497000000    | -485400000   | <>
Comanchia                                | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Conaspis                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Connagnostus                             | Animal    | Arthropoda                 | -498500000    | -485400000   | Connagnostus
Conococheaguea                           | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Conocoryphe                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Conocoryphe
Conophrys                                | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Conotheca                                | Animal    | Hyolitha                   | -541000000    | -485400000   | Conotheca
Coosella                                 | Animal    | Arthropoda                 | -497000000    | -485400000   | Coosella
Coosia                                   | Animal    | Arthropoda                 | -501000000    | -485400000   | Coosia
Coosina                                  | Animal    | Arthropoda                 | -497000000    | -485400000   | Coosina
Coosinoides                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Corbina                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | Corbina
Corbinia                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Cordylodus                               | Animal    | Chordata                   | -497000000    | -477700000   | Cordylodus
Coreanocephalus                          | Animal    | Arthropoda                 | -494000000    | -485400000   | <>
Cornuella                                | Animal    | Mollusca                   | -501000000    | -485400000   | Cornuella
Corrugatagnostus                         | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Corynexochus                             | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Crassifimbra                             | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Crepicephalus                            | Animal    | Arthropoda                 | -497000000    | -485400000   | Crepicephalus
Croixana                                 | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Crucicephalus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Ctenopyge                                | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Curvechidnina                            | Micro     | Radiolaria                 | -501000000    | -485400000   | <>
Cyclognathina                            | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Cycloholcus                              | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Cyclopites                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Cyclopites
Cymatopegma                              | Animal    | Mollusca                   | -494000000    | -485400000   | <>
Cymbithyris                              | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Dactylotreta                             | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Dala                                     | Animal    | Arthropoda                 | -501000000    | -485400000   | Dala
Damesella                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Dartonaspis                              | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Dasytodus                                | Animal    | Chordata                   | -497000000    | -485400000   | <>
Deadwoodia                               | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Deckera                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | Deckera
Decoritheca                              | Animal    | Hyolitha                   | -501000000    | -485400000   | <>
Deiracephalus                            | Animal    | Arthropoda                 | -497000000    | -485400000   | Deiracephalus
