Actaeodes                                 | Animal    | Arthropoda                 | -11700        | 2030         | Actaeodes
Actaeonema                                | Animal    | Mollusca                   | -48600000     | 2030         | <>
Actaeopyramis                             | Animal    | Mollusca                   | -126000       | 2030         | Actaeopyramis
Actenobius                                | Animal    | Arthropoda                 | -105300000    | 2030         | Actenobius
Acteocina                                 | Animal    | Mollusca                   | -126000       | 2030         | Acteocina
Acteon                                    | Animal    | Mollusca                   | -126000       | 2030         | Acteon
Actinocyclus                              | Plant     | Ochrophyta                 | -5333000      | 2030         | Actinocyclus
Actinocythereis                           | Animal    | Arthropoda                 | -55800000     | 2030         | <>
Actinomma                                 | Micro     | Radiolaria                 | -247200000    | 2030         | <>
Actinopora                                | Animal    | Bryozoa                    | -70600000     | 2030         | Actinopora
Actinopsis                                | Animal    | Cnidaria                   | -11700        | 2030         | Actinopsis_(cnidarian)
Actinoptychus                             | Plant     | Ochrophyta                 | -72100000     | 2030         | Actinoptychus
Actinotocarcinus                          | Animal    | Arthropoda                 | -15970000     | 2030         | Actinotocarcinus
Actisecos                                 | Animal    | Bryozoa                    | -20440000     | 2030         | <>
Actitis                                   | Animal    | Chordata                   | -126000       | 2030         | Actitis
Actium                                    | Animal    | Arthropoda                 | -126000       | 2030         | <>
Actonia                                   | Animal    | Mollusca                   | -126000       | 2030         | <>
Actophilornis                             | Animal    | Chordata                   | -11700        | 2030         | Actophilornis
Actumnus                                  | Animal    | Arthropoda                 | -11700        | 2030         | Actumnus
Aculops                                   | Animal    | Arthropoda                 | -48600000     | 2030         | Aculops
Acuticosta                                | Animal    | Mollusca                   | -58700000     | 2030         | <>
Acutigebia                                | Animal    | Arthropoda                 | -11700        | 2030         | <>
Adacna                                    | Animal    | Mollusca                   | -126000       | 2030         | <>
Adalia                                    | Animal    | Arthropoda                 | -37200000     | 2030         | Adalia_(beetle)
Adamussium                                | Animal    | Mollusca                   | -2588000      | 2030         | Adamussium
Addax                                     | Animal    | Chordata                   | -11700        | 2030         | Addax
Addisonia                                 | Animal    | Mollusca                   | -3600000      | 2030         | Addisonia
Adela                                     | Animal    | Arthropoda                 | -38000000     | 2030         | Adela
Adelges                                   | Animal    | Arthropoda                 | -3600000      | 2030         | Adelges
Adelocera                                 | Animal    | Arthropoda                 | -781000       | 2030         | Adelocera
Adelomelon                                | Animal    | Mollusca                   | -126000       | 2030         | Adelomelon
Adeona                                    | Animal    | Bryozoa                    | -33900000     | 2030         | Adeona
Adeonella                                 | Animal    | Bryozoa                    | -5333000      | 2030         | <>
Adeonellopsis                             | Animal    | Bryozoa                    | -66000000     | 2030         | <>
Adeorbisina                               | Animal    | Mollusca                   | -171600000    | 2030         | <>
Adinopsis                                 | Animal    | Arthropoda                 | -38000000     | 2030         | Adinopsis
Adioryx                                   | Animal    | Chordata                   | -20440000     | 2030         | <>
Adipicola                                 | Animal    | Mollusca                   | -11620000     | 2030         | Adipicola
Admete                                    | Animal    | Mollusca                   | -126000       | 2030         | <>
Admetula                                  | Animal    | Mollusca                   | -56000000     | 2030         | Admetula
Adontorhina                               | Animal    | Mollusca                   | -781000       | 2030         | <>
Adoretus                                  | Animal    | Arthropoda                 | -20440000     | 2030         | Adoretus
Adrana                                    | Animal    | Mollusca                   | -126000       | 2030         | Adrana
Adula                                     | Animal    | Mollusca                   | -126000       | 2030         | <>
Adusta                                    | Animal    | Mollusca                   | -781000       | 2030         | <>
Aechmophorus                              | Animal    | Chordata                   | -126000       | 2030         | Aechmophorus
Aedes                                     | Animal    | Arthropoda                 | -4900000      | 2030         | Aedes
Aegaeon                                   | Animal    | Arthropoda                 | -11700        | 2030         | Aegaeon_(shrimp)
Aegialia                                  | Animal    | Arthropoda                 | -126000       | 2030         | Aegialia
Aegolius                                  | Animal    | Chordata                   | -126000       | 2030         | Aegolius
Aegotheles                                | Animal    | Chordata                   | -126000       | 2030         | Aegotheles
Aegypius                                  | Animal    | Chordata                   | -126000       | 2030         | Aegypius
Aelia                                     | Animal    | Arthropoda                 | -12700000     | 2030         | Aelia_(bug)
Aeneator                                  | Animal    | Mollusca                   | -781000       | 2030         | <>
Aenictus                                  | Animal    | Arthropoda                 | -15970000     | 2030         | Aenictus
Aenigmatias                               | Animal    | Arthropoda                 | -47800000     | 2030         | Aenigmatias
Aenigmatistes                             | Animal    | Arthropoda                 | -66000000     | 2030         | <>
Aeoliscus                                 | Animal    | Chordata                   | -5333000      | 2030         | Aeoliscus
Aeolodon                                  | Animal    | Chordata                   | -150800000    | 2030         | Aeolodon
Aeolothrips                               | Animal    | Arthropoda                 | -33900000     | 2030         | Aeolothrips
Aepyceros                                 | Animal    | Chordata                   | -126000       | 2030         | Aepyceros
Aepypodius                                | Animal    | Chordata                   | -126000       | 2030         | Aepypodius
Aepyprymnus                               | Animal    | Chordata                   | -126000       | 2030         | Aepyprymnus
Aequipecten                               | Animal    | Mollusca                   | -126000       | 2030         | Aequipecten
Aerodramus                                | Animal    | Chordata                   | -126000       | 2030         | Aerodramus
Aeschnophlebia                            | Animal    | Arthropoda                 | -8700000      | 2030         | <>
Aeshna                                    | Animal    | Arthropoda                 | -2588000      | 2030         | Aeshna
Aesopus                                   | Animal    | Mollusca                   | -126000       | 2030         | <>
Aetalion                                  | Animal    | Arthropoda                 | -28100000     | 2030         | <>
Aetea                                     | Animal    | Bryozoa                    | -2588000      | 2030         | <>
Aethia                                    | Animal    | Chordata                   | -126000       | 2030         | Aethia
Aethiopomyia                              | Animal    | Arthropoda                 | -11700        | 2030         | <>
Aethomys                                  | Animal    | Chordata                   | -781000       | 2030         | Aethomys
Aethoprora                                | Animal    | Chordata                   | -7246000      | 2030         | <>
Aetomylaeus                               | Animal    | Chordata                   | -55800000     | 2030         | Aetomylaeus
Affinetrina                               | Micro     | Foraminifera               | -12700000     | 2030         | <>
Aforia                                    | Animal    | Mollusca                   | -5333000      | 2030         | Aforia
Afrocardium                               | Animal    | Mollusca                   | -126000       | 2030         | <>
Afrolimnophila                            | Animal    | Arthropoda                 | -38000000     | 2030         | Afrolimnophila
Afropavo                                  | Animal    | Chordata                   | -126000       | 2030         | Afropavo
Afrozoila                                 | Animal    | Mollusca                   | -11608000     | 2030         | <>
