Anthracoporella                          | Plant     | Chlorophyta                | -279300000    | -272300000   | <>
Anthracosycon                            | Animal    | Porifera                   | -279300000    | -272300000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Antronaria                               | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Apachella                                | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Apateon                                  | Animal    | Chordata                   | -298900000    | -252170000   | Apateon
Aperispirifer                            | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Aphanaia                                 | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Apheloneura                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Apsisaurus                               | Animal    | Chordata                   | -296400000    | -268000000   | Apsisaurus
Apterrinella                             | Micro     | Foraminifera               | -296400000    | -268000000   | <>
Arachnophasma                            | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Araeoscelis                              | Animal    | Chordata                   | -279300000    | -272300000   | Araeoscelis
Araucarioxylon                           | Plant     | Pinophyta                  | -295500000    | -272300000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -290100000    | -272300000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Araxonautilus                            | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Araxopora                                | Animal    | Bryozoa                    | -279300000    | -272300000   | <>
Arceodomus                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -279300000    | -272300000   | Archaeocidaris
Archaeocycas                             | Plant     | Cycadophyta                | -295500000    | -272300000   | <>
Archaeoisocrinus                         | Animal    | Echinodermata              | -279300000    | -272300000   | <>
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -296400000    | -268000000   | Archaeolithophyllum
Archaeophiomusium                        | Animal    | Echinodermata              | -279300000    | -272300000   | <>
Archboldevia                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Archeria                                 | Animal    | Chordata                   | -290100000    | -268000000   | Archeria_(animal)
Archescytina                             | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Archimedes                               | Animal    | Bryozoa                    | -279300000    | -272300000   | Archimedes
Arcochiton                               | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Arcticalosia                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Arctochonetes                            | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Arctotypus                               | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Arcullina                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Arduorhiza                               | Animal    | Porifera                   | -279300000    | -265100000   | <>
Aricoceras                               | Animal    | Mollusca                   | -279300000    | -272300000   | Aricoceras
