Anthracophausia                          | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Anthracophrynus                          | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -315200000    | -303700000   | <>
Anthracopupa                             | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Anthracosaurus                           | Animal    | Chordata                   | -311450000    | -306950000   | Anthracosaurus
Anthracoscorpio                          | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracosiro                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Anthracosta                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Anthracotarbus                           | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthracothremma                          | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthrakoris                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Antronaria                               | Animal    | Brachiopoda                | -315200000    | -307000000   | <>
Anulofusulinella                         | Micro     | Foraminifera               | -315200000    | -307000000   | <>
Anzinia                                  | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Apachella                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Apatognathus                             | Animal    | Chordata                   | -323200000    | -298900000   | <>
Aphantites                               | Animal    | Mollusca                   | -318100000    | -314600000   | Aphantites
Aphantomartus                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aphelomylacris                           | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Aphractus                                | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Aphthoroblattina                         | Animal    | Arthropoda                 | -311450000    | -306950000   | Aphthoroblattina
Apiculatasporites                        | Plant     | Pteridophyta               | -313800000    | -305900000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -313800000    | -305900000   | <>
Apithanus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Apophthegma                              | Animal    | Arthropoda                 | -311450000    | -306950000   | Apophthegma
Apotocardium                             | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Arachnastraea                            | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Arachnometa                              | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Araeonema                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Arakespongia                             | Animal    | Porifera                   | -318100000    | -314600000   | <>
Arceodomus                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Archaediscus                             | Micro     | Foraminifera               | -318100000    | -311450000   | <>
Archaemegaptilus                         | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -313800000    | -305900000   | Archaeocidaris
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -313800000    | -305900000   | Archaeolithophyllum
Archaeologus                             | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Archaeometa                              | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Archaeophasma                            | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archaeopteridium                         | Plant     | Aneurophytophyta           | -318100000    | -314600000   | <>
Archaeoptilus                            | Animal    | Arthropoda                 | -318100000    | -306950000   | <>
Archaeothyris                            | Animal    | Chordata                   | -311450000    | -306950000   | Archaeothyris
Archangelskyblatta                       | Animal    | Arthropoda                 | -323200000    | -307000000   | <>
Archegogryllus                           | Animal    | Arthropoda                 | -313800000    | -305900000   | <>
Archerpeton                              | Animal    | Chordata                   | -318100000    | -314600000   | <>
Archicambala                             | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archicarabides                           | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Archimastax                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Archimedes                               | Animal    | Bryozoa                    | -323200000    | -298900000   | Archimedes
Archimulacris                            | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Archimylacris                            | Animal    | Arthropoda                 | -311450000    | -306950000   | Archimylacris
Archiscudderia                           | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Archisymplectes                          | Animal    | Nemertea                   | -311450000    | -306950000   | <>
Architarbus                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Archiulus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Archoblattina                            | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Arcochiton                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Arctotypus                               | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Ardmosteges                              | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
Areomartus                               | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Arizonerpeton                            | Animal    | Chordata                   | -318100000    | -314600000   | Arizonerpeton
Arkacrinus                               | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Arkanites                                | Animal    | Mollusca                   | -318100000    | -314600000   | Arkanites
Arltia                                   | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Arribazona                               | Animal    | Mollusca                   | -309000000    | -306950000   | <>
Arthrolycosa                             | Animal    | Arthropoda                 | -311450000    | -306950000   | Arthrolycosa
Arthropitys                              | Plant     | Sphenophyta                | -313800000    | -305900000   | Arthropitys
Arthropleura                             | Animal    | Arthropoda                 | -311450000    | -306950000   | Arthropleura
Arthroxylon                              | Plant     | Equisetophyta              | -318100000    | -314600000   | <>
Asapheneura                              | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Asaphestera                              | Animal    | Chordata                   | -318100000    | -314600000   | Asaphestera
Ascopora                                 | Animal    | Bryozoa                    | -315200000    | -307000000   | <>
Asemoblatta                              | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Aseptella                                | Animal    | Brachiopoda                | -326400000    | -314600000   | <>
Aseripterella                            | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Aspiscorpio                              | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Astartella                               | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Asteroarchaediscus                       | Micro     | Foraminifera               | -318100000    | -311450000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -311450000    | -304800000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -311450000    | -300200000   | Asterotheca
Asthenomyelon                            | Plant     | Sphenophyta                | -318100000    | -314600000   | <>
Astromyelon                              | Plant     | Equisetophyta              | -314600000    | -311450000   | <>
Asturiella                               | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Asyncritus                               | Animal    | Arthropoda                 | -311450000    | -306950000   | Asyncritus
Athlocrinus                              | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Athyris                                  | Animal    | Brachiopoda                | -326400000    | -306950000   | Athyris
Atokacrinus                              | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -358900000    | -298900000   | Atrypa
Attenosaurus                             | Animal    | Chordata                   | -318100000    | -306950000   | <>
Aulacotheca                              | Plant     | Pteridospermophyta         | -315200000    | -306950000   | <>
Aulertupus                               | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -315200000    | -307000000   | Aulopora
Aurikirkbya                              | Animal    | Arthropoda                 | -323200000    | -298900000   | <>
Australosutura                           | Animal    | Arthropoda                 | -326400000    | -306950000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -313800000    | -305900000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -318100000    | -305900000   | <>
Aviobreyeria                             | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviocladus                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviogramma                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviohapaloptera                          | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviologus                                | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Avionptera                               | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Aviorrhyncha                             | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Avioxyela                                | Animal    | Arthropoda                 | -314600000    | -306950000   | <>
Avonia                                   | Animal    | Brachiopoda                | -315200000    | -307000000   | Avonia
Axinolobus                               | Animal    | Mollusca                   | -318100000    | -314600000   | Axinolobus
Axiologus                                | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Axolithophyllum                          | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Axophyllum                               | Animal    | Cnidaria                   | -315200000    | -307000000   | <>
Bactrites                                | Animal    | Mollusca                   | -315200000    | -307000000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -358900000    | -252170000   | Baiera
Bailliena                                | Animal    | Brachiopoda                | -314600000    | -298900000   | <>
Baiosoma                                 | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bairdia                                  | Animal    | Arthropoda                 | -313800000    | -305900000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Bairdianella                             | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Balantoides                              | Animal    | Arthropoda                 | -339400000    | -314600000   | <>
Balduria                                 | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Balduriella                              | Animal    | Arthropoda                 | -314600000    | -314600000   | <>
Bandringa                                | Animal    | Chordata                   | -311450000    | -306950000   | Bandringa
Baphetes                                 | Animal    | Chordata                   | -311450000    | -306950000   | Baphetes
Barrealispira                            | Animal    | Mollusca                   | -315200000    | -307000000   | <>
Barroisiblatta                           | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Bartramella                              | Micro     | Foraminifera               | -315200000    | -307000000   | <>
Baryshnyala                              | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Barytichisma                             | Animal    | Cnidaria                   | -339400000    | -314600000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -315200000    | -307000000   | <>
Baschkirites                             | Animal    | Mollusca                   | -318100000    | -314600000   | Baschkirites
Bashkirella                              | Animal    | Bryozoa                    | -315200000    | -307000000   | <>
Bashkortoceras                           | Animal    | Mollusca                   | -318100000    | -314600000   | Bashkortoceras
Basslerella                              | Animal    | Arthropoda                 | -323200000    | -298900000   | <>
Bathronocrinus                           | Animal    | Echinodermata              | -315200000    | -307000000   | <>
Bathysiphon                              | Micro     | Foraminifera               | -313800000    | -305900000   | <>
Bathytaptus                              | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Batostomella                             | Animal    | Bryozoa                    | -358900000    | -298900000   | <>
Baylea                                   | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bechala                                  | Animal    | Arthropoda                 | -318100000    | -314600000   | Bechala
Bechlya                                  | Animal    | Arthropoda                 | -311450000    | -306950000   | <>
Beecheria                                | Animal    | Brachiopoda                | -313800000    | -305900000   | <>
Beedeina                                 | Micro     | Foraminifera               | -311450000    | -309000000   | <>
Beinertia                                | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnospongia                           | Animal    | Porifera                   | -313800000    | -305900000   | <>
Belinurus                                | Animal    | Arthropoda                 | -314600000    | -311450000   | Belinurus
Bellazona                                | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bellerophon                              | Animal    | Mollusca                   | -313800000    | -298900000   | Bellerophon
Benniescorpio                            | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Beresella                                | Plant     | Chlorophyta                | -315200000    | -307000000   | <>
Berestovia                               | Plant     | Chlorophyta                | -318100000    | -314600000   | <>
Betaneospirifer                          | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Bethacanthus                             | Animal    | Chordata                   | -315200000    | -307000000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -314600000    | -311450000   | <>
Bicuerda                                 | Animal    | Mollusca                   | -313800000    | -305900000   | <>
Bigenerina                               | Micro     | Foraminifera               | -315200000    | -307000000   | <>
Bilinguites                              | Animal    | Mollusca                   | -318100000    | -314600000   | Bilinguites
