Angaria                                  | Animal    | Mollusca                   | -161200000    | -155700000   | Angaria_(gastropod)
Angarogramma                             | Animal    | Arthropoda                 | -163500000    | -152100000   | <>
Anguanax                                 | Animal    | Chordata                   | -164700000    | -155700000   | Anguanax
Angulaticeras                            | Animal    | Mollusca                   | -164700000    | -161200000   | Angulaticeras
Angulobracchia                           | Micro     | Radiolaria                 | -161200000    | -150800000   | <>
Angustaboilus                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Angustinaripterus                        | Animal    | Chordata                   | -163500000    | -157300000   | Angustinaripterus
Angustiphlebia                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anicula                                  | Animal    | Arthropoda                 | -163500000    | -157300000   | <>
Animonithyris                            | Animal    | Brachiopoda                | -163500000    | -157300000   | <>
Anisocardia                              | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Ankobites                                | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Ankylokypha                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Annemys                                  | Animal    | Chordata                   | -163500000    | -157300000   | <>
Anomoepus                                | Animal    | Chordata                   | -163500000    | -157300000   | Anomoepus
Anomopterella                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anomoxyela                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anomozamites                             | Plant     | Cycadeoideophyta           | -163500000    | -145000000   | <>
Anopaea                                  | Animal    | Mollusca                   | -163500000    | -145000000   | <>
Ansorgius                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antarctica                               | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Antefungivora                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antemnacrassa                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anthocoleus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Anthoscytina                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Antiquamedia                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Antiquicyprina                           | Animal    | Mollusca                   | -166100000    | -152100000   | <>
Antiquilima                              | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -163500000    | -157300000   | Antrimpos
Apatecosia                               | Animal    | Brachiopoda                | -163500000    | -157300000   | <>
Apatodonosaurus                          | Animal    | Chordata                   | -163500000    | -157300000   | <>
Apatosaurus                              | Animal    | Chordata                   | -161200000    | -150800000   | Apatosaurus
Aphidulum                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aphnelepis                               | Animal    | Chordata                   | -163500000    | -145000000   | Aphnelepis
Apiciserphus                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Apiocrinites                             | Animal    | Echinodermata              | -161200000    | -155700000   | Apiocrinites
Apiocrinus                               | Animal    | Echinodermata              | -161200000    | -155700000   | <>
Aplophyllia                              | Animal    | Cnidaria                   | -161200000    | -155700000   | <>
Aplosmilia                               | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Apochrysogramma                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Apocladophyllia                          | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Aporothallus                             | Plant     | Bryophyta                  | -166100000    | -157300000   | <>
Aporrhais                                | Animal    | Mollusca                   | -163500000    | -157300000   | Aporrhais
Apsendesia                               | Animal    | Bryozoa                    | -161200000    | -155700000   | <>
Aptychus                                 | Animal    | Mollusca                   | -161200000    | -155700000   | Aptychus
Aptyxiella                               | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Apystomimus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arabatia                                 | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Arachnostega                             | Animal    | Annelida                   | -161200000    | -155700000   | <>
Arapsothyris                             | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Araucanites                              | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -161200000    | -145000000   | <>
Araucaria                                | Plant     | Pinophyta                  | -161200000    | -155700000   | Araucaria
Araucarites                              | Plant     | Pinophyta                  | -161200000    | -155700000   | <>
Arboroharamiya                           | Animal    | Chordata                   | -163500000    | -157300000   | Arboroharamiya
Arbusella                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Arca                                     | Animal    | Mollusca                   | -161200000    | -150800000   | Arca
Archaboilus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | Archaboilus
Archaecorixa                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
