Drepanoistodus                           | Animal    | Chordata                   | -541000000    | -485400000   | <>
Dresbachia                               | Animal    | Arthropoda                 | -541000000    | -485400000   | Dresbachia
Ebianella                                | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Ebianotheca                              | Animal    | Hyolitha                   | -541000000    | -516000000   | <>
Eccentrotheca                            | Animal    | Brachiopoda                | -530000000    | -516000000   | Eccentrotheca
Ehmaniella                               | Animal    | Arthropoda                 | -541000000    | -485400000   | Ehmaniella
Eiffelia                                 | Animal    | Porifera                   | -530000000    | -516000000   | Eiffelia
Eldoradia                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Ellipsocephalus                          | Animal    | Arthropoda                 | -530000000    | -513000000   | Ellipsocephalus
Elliptocephala                           | Animal    | Arthropoda                 | -530000000    | -513000000   | Elliptocephala
Elrathia                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | Elrathia
Elrathiella                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Emarginoconus                            | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Emeiconularia                            | Animal    | Cnidaria                   | -541000000    | -516000000   | <>
Eoconodontus                             | Animal    | Chordata                   | -541000000    | -485400000   | Eoconodontus
Eocystites                               | Animal    | Echinodermata              | -530000000    | -513000000   | Eocystites
Eofallotaspis                            | Animal    | Arthropoda                 | -530000000    | -516000000   | <>
Eogloborilus                             | Animal    | Hyolitha                   | -541000000    | -516000000   | <>
Eohalobia                                | Animal    | Mollusca                   | -541000000    | -516000000   | Eohalobia
Eokochaspis                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Eolimulus                                | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Eolympia                                 | Animal    | Cnidaria                   | -541000000    | -530000000   | Eolympia
Eonovitatus                              | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Eoorthis                                 | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Eosoconus                                | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Eothele                                  | Animal    | Brachiopoda                | -530000000    | -513000000   | <>
Erismacoscinus                           | Animal    | Porifera                   | -530000000    | -520000000   | <>
Ernogia                                  | Animal    | Brachiopoda                | -530000000    | -520000000   | <>
Esmeraldina                              | Animal    | Arthropoda                 | -530000000    | -513000000   | Esmeraldina
Ethmocyathus                             | Animal    | Porifera                   | -541000000    | -513000000   | <>
Ethmophyllum                             | Animal    | Porifera                   | -530000000    | -513000000   | Ethmophyllum
Euptychaspis                             | Animal    | Arthropoda                 | -541000000    | -485400000   | Euptychaspis
Eurekia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Exilitheca                               | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Extentitheca                             | Animal    | Hyolitha                   | -530000000    | -520000000   | <>
Fallotaspis                              | Animal    | Arthropoda                 | -530000000    | -516000000   | Fallotaspis
Favilynthus                              | Animal    | Porifera                   | -541000000    | -513000000   | <>
Fenestrocyathus                          | Animal    | Porifera                   | -530000000    | -513000000   | <>
Flexanulus                               | Animal    | Porifera                   | -541000000    | -513000000   | <>
Fordilla                                 | Animal    | Mollusca                   | -530000000    | -513000000   | Fordilla
Fryxellodontus                           | Animal    | Chordata                   | -541000000    | -485400000   | <>
Fuminaspis                               | Animal    | Arthropoda                 | -541000000    | -513000000   | Fuminaspis
Furnishina                               | Animal    | Chordata                   | -541000000    | -485400000   | Furnishina
Fuxianhuia                               | Animal    | Arthropoda                 | -541000000    | -513000000   | Fuxianhuia
Gabelia                                  | Animal    | Porifera                   | -541000000    | -516000000   | <>
Ganloudina                               | Animal    | Chaetognatha               | -530000000    | -520000000   | <>
Gelasene                                 | Animal    | Arthropoda                 | -541000000    | -513000000   | Gelasene
Geragnostus                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Geragnostus
Geraldinella                             | Animal    | Arthropoda                 | -530000000    | -516000000   | Geraldinella
Geresia                                  | Animal    | Brachiopoda                | -530000000    | -520000000   | <>
Girvanella                               | Micro     | Cyanobacteria              | -530000000    | -513000000   | Girvanella
Glabrella                                | Animal    | Arthropoda                 | -541000000    | -513000000   | Glabrella
Glauderia                                | Animal    | Chaetognatha               | -530000000    | -520000000   | <>
Glomospira                               | Micro     | Foraminifera               | -530000000    | -516000000   | <>
Glossopleura                             | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Glyptagnostus                            | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Gonamella                                | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Gordonophyton                            | Micro     | Cyanobacteria              | -541000000    | -530000000   | <>
Gracilitheca                             | Animal    | Hyolitha                   | -530000000    | -516000000   | <>
Grandinasus                              | Animal    | Arthropoda                 | -530000000    | -516000000   | Grandinasus
Granoconus                               | Animal    | Mollusca                   | -530000000    | -520000000   | <>
Groenwallia                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Gutticonus                               | Animal    | Mollusca                   | -541000000    | -516000000   | <>
Hadranax                                 | Animal    | Arthropoda                 | -530000000    | -516000000   | Hadranax
Hadrocephalites                          | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Hadrotreta                               | Animal    | Brachiopoda                | -530000000    | -513000000   | <>
Halichondrites                           | Animal    | Porifera                   | -541000000    | -513000000   | Halichondrites
Halkieria                                | Animal    | Mollusca                   | -530000000    | -516000000   | Halkieria
