Aepinacodon                              | Animal    | Chordata                   | -37200000     | -33900000    | <>
Aequalobythites                          | Animal    | Chordata                   | -56000000     | -33900000    | <>
Aequipecten                              | Animal    | Mollusca                   | -37200000     | -33900000    | Aequipecten
Aequispirella                            | Animal    | Mollusca                   | -37200000     | -33900000    | Aequispirella
Aeschnophlebia                           | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Aeshna                                   | Animal    | Arthropoda                 | -37200000     | -33900000    | Aeshna
Aetheapnomyia                            | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Aetomylaeus                              | Animal    | Chordata                   | -38000000     | -33900000    | Aetomylaeus
Aforia                                   | Animal    | Mollusca                   | -41300000     | -33900000    | Aforia
Afradapis                                | Animal    | Chordata                   | -38000000     | -33900000    | Afradapis
Africarca                                | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Afrolimnophila                           | Animal    | Arthropoda                 | -38000000     | -33900000    | Afrolimnophila
Afrotarsius                              | Animal    | Chordata                   | -48600000     | -33900000    | Afrotarsius
Agabus                                   | Animal    | Arthropoda                 | -37200000     | -33900000    | Agabus
Agallia                                  | Animal    | Arthropoda                 | -37200000     | -33900000    | Agallia
Agamimus                                 | Animal    | Chordata                   | -48600000     | -37200000    | <>
Agaronia                                 | Animal    | Mollusca                   | -37200000     | -33900000    | Agaronia
Agassizia                                | Animal    | Echinodermata              | -37200000     | -33900000    | Agassizia
Agastomyrma                              | Animal    | Arthropoda                 | -38000000     | -33900000    | Agastomyrma
Agatha                                   | Animal    | Mollusca                   | -48600000     | -37200000    | Agatha
Agathemera                               | Animal    | Arthropoda                 | -37200000     | -33900000    | Agathemera
Agathiphyllia                            | Animal    | Cnidaria                   | -37200000     | -33900000    | <>
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agathodonta                              | Animal    | Mollusca                   | -37200000     | -33900000    | Agathodonta
Agatoides                                | Animal    | Arthropoda                 | -38000000     | -33900000    | <>
Agelena                                  | Animal    | Arthropoda                 | -38000000     | -33900000    | Agelena
Agenioideus                              | Animal    | Arthropoda                 | -37200000     | -33900000    | Agenioideus
Aglaomyia                                | Animal    | Arthropoda                 | -38000000     | -33900000    | Aglaomyia
Aglaoreidia                              | Plant     | Angiospermae               | -37200000     | -33900000    | <>
Agnopterus                               | Animal    | Chordata                   | -38000000     | -33900000    | <>
Agnotocastor                             | Animal    | Chordata                   | -37200000     | -33900000    | Agnotocastor
Agonis                                   | Plant     | Spermatophyta              | -48600000     | -23030000    | Agonis
