Archosyne                                | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Arcibairdia                              | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Arcullina                                | Animal    | Brachiopoda                | -265100000    | -254170000   | <>
Aridophyllum                             | Animal    | Cnidaria                   | -265100000    | -259900000   | <>
Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Arionthia                                | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Armenina                                 | Micro     | Foraminifera               | -298900000    | -259900000   | <>
Arqoviella                               | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Asamiella                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Ascopora                                 | Animal    | Bryozoa                    | -265100000    | -259900000   | <>
Asiachorista                             | Animal    | Arthropoda                 | -268000000    | -265000000   | <>
Asiocoleopsis                            | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Asperlinus                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Asserculinia                             | Animal    | Cnidaria                   | -265100000    | -259900000   | <>
Astartella                               | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Astartellopsis                           | Animal    | Mollusca                   | -268800000    | -259900000   | <>
Astartila                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Astegosia                                | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -268800000    | -259900000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -268800000    | -259900000   | Asterotheca
Atherstonia                              | Animal    | Chordata                   | -265100000    | -259900000   | <>
Athyris                                  | Animal    | Brachiopoda                | -265100000    | -259900000   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Atractites                               | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Attenuatella                             | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Aulohelia                                | Animal    | Cnidaria                   | -268800000    | -259900000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -265100000    | -259900000   | Aulopora
Aulosteges                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Auriculospongia                          | Animal    | Porifera                   | -265100000    | -259900000   | <>
Aurikirkbya                              | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Auseria                                  | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Australerpeton                           | Animal    | Chordata                   | -268800000    | -254170000   | Australerpeton
Australobarbarus                         | Animal    | Chordata                   | -265000000    | -252300000   | Australobarbarus
Australothyris                           | Animal    | Chordata                   | -265100000    | -259900000   | Australothyris
Australoxylon                            | Plant     | Pinophyta                  | -268800000    | -252170000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -315200000    | -254000000   | <>
Avenantia                                | Animal    | Chordata                   | -265100000    | -259900000   | Avenantia
Aviculopecten                            | Animal    | Mollusca                   | -265100000    | -259900000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Avonia                                   | Animal    | Brachiopoda                | -268800000    | -259900000   | Avonia
Babylonites                              | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Bactrites                                | Animal    | Mollusca                   | -265100000    | -259900000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
Bageherpeton                             | Animal    | Chordata                   | -272300000    | -259900000   | Bageherpeton
Baharellinus                             | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -265100000    | -254170000   | Baiera
Baieroxylon                              | Plant     | Ginkgophyta                | -268800000    | -252170000   | Baieroxylon
Bairdia                                  | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Bairdiolites                             | Animal    | Arthropoda                 | -265100000    | -259900000   | <>
Baisalina                                | Micro     | Foraminifera               | -265100000    | -259900000   | <>
Baissalosteges                           | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
Bajtugania                               | Animal    | Brachiopoda                | -265100000    | -259900000   | <>
