Austrohedra                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Badulesia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Baikadamaspis                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bailiaspis                               | Animal    | Arthropoda                 | -505000000    | -501000000   | Bailiaspis
Bailiella                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Balderia                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | Balderia
Balkoceras                               | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Baltagnostus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Banffia                                  | Animal    | Vetulicolia                | -513000000    | -501000000   | Banffia
Basocephalus                             | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Bathyholcus                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bathyuriscidella                         | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bathyuriscus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Bathyuriscus
Bayfieldia                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Beckwithia                               | Animal    | Arthropoda                 | -501000000    | -485400000   | Beckwithia_(arthropod)
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellaspidella                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bellaspis                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bellistrophia                            | Animal    | Brachiopoda                | -513000000    | -485400000   | <>
Belovia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bemella                                  | Animal    | Mollusca                   | -505000000    | -504000000   | <>
Bergeronites                             | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Berkeia                                  | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bhargavia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Biciragnostus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | Biciragnostus
Bienvillia                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bigranulella                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bilimbataia                              | Animal    | Arthropoda                 | -505000000    | -497000000   | <>
Billingsella                             | Animal    | Brachiopoda                | -501000000    | -485400000   | <>
Biloboconus                              | Animal    | Mollusca                   | -501000000    | -485400000   | <>
Biscoia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | Biscoia
Blackwelderia                            | Animal    | Arthropoda                 | -501000000    | -497000000   | Blackwelderia
Blainia                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Blainiopsis                              | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Blandicephalus                           | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Blountia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Blountiella                              | Animal    | Arthropoda                 | -501000000    | -485400000   | Blountiella
Blountina                                | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bohemiella                               | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Bolaspidaspis                            | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Bolaspidella                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bolaspidina                              | Animal    | Arthropoda                 | -501000000    | -498500000   | <>
Bolaspis                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bonneterrina                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Bonneterrina
Bonnia                                   | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Bonniopsis                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Borthaspidella                           | Animal    | Arthropoda                 | -501000000    | -477700000   | <>
Bowmania                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Brachyaspidion                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Brahimorthis                             | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Braintreella                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Branchiocaris                            | Animal    | Arthropoda                 | -513000000    | -498500000   | Branchiocaris
Bredocaris                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Briscoia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Bromella                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Brooksella                               | Animal    | Porifera                   | -513000000    | -501000000   | <>
Brunswickia                              | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Brutonia                                 | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Buitella                                 | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Burgessochaeta                           | Animal    | Annelida                   | -513000000    | -501000000   | Burgessochaeta
Burlingia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | Burlingia
