Chlamys                                  | Animal    | Mollusca                   | -251300000    | -247200000   | Chlamys_(bivalve)
Chomatobatrachus                         | Animal    | Chordata                   | -252170000    | -251200000   | Chomatobatrachus
Chonetes                                 | Animal    | Brachiopoda                | -252170000    | -251300000   | Chonetes
Chordites                                | Plant     | Ochrophyta                 | -252170000    | -247200000   | <>
Chuluaria                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Churkites                                | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Cidaris                                  | Animal    | Echinodermata              | -252170000    | -201300000   | Cidaris
Cidarophyton                             | Plant     | Lycophyta                  | -252170000    | -251200000   | <>
Citrella                                 | Animal    | Arthropoda                 | -251300000    | -247200000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -251300000    | -242000000   | Cladophlebis
Claraia                                  | Animal    | Mollusca                   | -251300000    | -247200000   | Claraia
Clarkina                                 | Animal    | Chordata                   | -252170000    | -251300000   | Clarkina
Cleithrolepis                            | Animal    | Chordata                   | -251300000    | -242000000   | Cleithrolepis
Clypeoceras                              | Animal    | Mollusca                   | -251300000    | -247200000   | Clypeoceras
Clypeoceratoides                         | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Clypites                                 | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Coelacanthus                             | Animal    | Chordata                   | -251300000    | -247200000   | Coelacanthus
Coelostylina                             | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Collignonites                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Colobodus                                | Animal    | Chordata                   | -252170000    | -251300000   | Colobodus
Columbites                               | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Concavisporites                          | Plant     | Pteridophyta               | -252170000    | -251300000   | <>
Confusionella                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -252170000    | -247200000   | Coniopteris
Conservatella                            | Animal    | Chordata                   | -251300000    | -247200000   | <>
Contraspina                              | Animal    | Brachiopoda                | -254170000    | -251300000   | <>
Conulariopsis                            | Animal    | Cnidaria                   | -251300000    | -247200000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -252170000    | -251300000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -252170000    | -251300000   | <>
Copicyntra                               | Micro     | Radiolaria                 | -251300000    | -247200000   | <>
Copicyntroides                           | Micro     | Radiolaria                 | -252170000    | -251300000   | <>
Cordaites                                | Plant     | Pinophyta                  | -252170000    | -247200000   | Cordaites
Cordillerites                            | Animal    | Mollusca                   | -251300000    | -247200000   | <>
