Bowmanites                               | Plant     | Equisetophyta              | -272300000    | -2.651e+08   | <>
Brachycycloceras                         | Animal    | Mollusca                   | -272300000    | -2.651e+08   | <>
Brachydectes                             | Animal    | Chordata                   | -290100000    | -268000000   | Brachydectes
Brachymetopus                            | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -358900000    | -252170000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -296400000    | -268000000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bradyospira                              | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -272300000    | -268800000   | <>
Bransonella                              | Animal    | Chordata                   | -272300000    | -268800000   | Bransonella
Bransonia                                | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Brochidium                               | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Broiliellus                              | Animal    | Chordata                   | -296400000    | -268000000   | Broiliellus
Brongniartites                           | Plant     | Pteridospermophyta         | -272300000    | -268800000   | <>
Bruntonia                                | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Bryorhynchus                             | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Bulimorpha                               | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Burriera                                 | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Bythocypris                              | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Byzantia                                 | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Cactosteges                              | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Calamites                                | Plant     | Sphenophyta                | -272300000    | -254170000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -272500000    | -252300000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -315200000    | -254000000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -272300000    | -268800000   | Calceolispongia
Calcicanicularia                         | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Calcitornella                            | Micro     | Foraminifera               | -279300000    | -2.651e+08   | <>
Calcivertella                            | Micro     | Foraminifera               | -272300000    | -268800000   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Callietheira                             | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Callimokaltania                          | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Calliprotonia                            | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -272300000    | -254170000   | Callipteris
Callispirina                             | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Callistadia                              | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Callitomaria                             | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Calophyllum                              | Animal    | Cnidaria                   | -272300000    | -2.599e+08   | Calophyllum
Calycelasma                              | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Camarophorina                            | Animal    | Brachiopoda                | -272300000    | -254170000   | <>
Campbellelasma                           | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Campodus                                 | Animal    | Chordata                   | -272300000    | -268800000   | Campodus
Camptoneurites                           | Animal    | Arthropoda                 | -272300000    | -268800000   | Camptoneurites
Cancellina                               | Micro     | Foraminifera               | -272300000    | -268800000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Cancrinelloides                          | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Caninia                                  | Animal    | Cnidaria                   | -296400000    | -268000000   | Caninia
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capillomesolobus                         | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Capillonia                               | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Captorhinikos                            | Animal    | Chordata                   | -290100000    | -268000000   | <>
Captorhinus                              | Animal    | Chordata                   | -290100000    | -268000000   | Captorhinus
Capulus                                  | Animal    | Mollusca                   | -272300000    | -254170000   | Capulus
Carbonarca                               | Animal    | Mollusca                   | -272300000    | -254170000   | <>
Carbonicola                              | Animal    | Mollusca                   | -298900000    | -252170000   | Carbonicola
Carcinophyllum                           | Animal    | Cnidaria                   | -272300000    | -2.651e+08   | <>
Cardiella                                | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Cardioneura                              | Plant     | Tracheophyta               | -272300000    | -2.599e+08   | <>
Caricula                                 | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Carinaknightina                          | Animal    | Arthropoda                 | -279300000    | -268800000   | <>
Carinotachylasma                         | Animal    | Cnidaria                   | -272300000    | -2.599e+08   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -298900000    | -252170000   | Carinthiaphyllum
Carphites                                | Animal    | Porifera                   | -272300000    | -268800000   | <>
Cartorhium                               | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Casea                                    | Animal    | Chordata                   | -290100000    | -268000000   | Casea
Caseoides                                | Animal    | Chordata                   | -279300000    | -268800000   | Caseoides
Caseopsis                                | Animal    | Chordata                   | -279300000    | -268800000   | Caseopsis
Cassianoides                             | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Cassiavellia                             | Animal    | Mollusca                   | -272300000    | -268800000   | Cassiavellia
Catenispongia                            | Animal    | Porifera                   | -272300000    | -268800000   | <>
Cathaysia                                | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | Cathaysia
Cauletella                               | Micro     | Radiolaria                 | -272300000    | -2.599e+08   | <>
Caulopteris                              | Plant     | Pteridophyta               | -272300000    | -252170000   | <>
Cavellina                                | Animal    | Arthropoda                 | -272300000    | -268800000   | <>
Cavernella                               | Animal    | Bryozoa                    | -272300000    | -268800000   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
Celebetes                                | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Cenorhynchia                             | Animal    | Brachiopoda                | -272300000    | -2.651e+08   | <>
Ceocypea                                 | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Cerdodon                                 | Animal    | Chordata                   | -272300000    | -2.599e+08   | Cerdodon
Chaetetes                                | Animal    | Porifera                   | -323200000    | -252170000   | Chaetetes
Chalaroschwagerina                       | Micro     | Foraminifera               | -279300000    | -2.651e+08   | <>
Chaoiella                                | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Chaoina                                  | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Chauliochiton                            | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Chekiangoceras                           | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Chelichnus                               | Animal    | Chordata                   | -298900000    | -252170000   | Chelichnus
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelononia                               | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Chelydosaurus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Chenella                                 | Micro     | Foraminifera               | -272300000    | -2.599e+08   | <>
Chengxianites                            | Animal    | Mollusca                   | -272300000    | -268800000   | <>
Chenoprosopus                            | Animal    | Chordata                   | -296400000    | -268000000   | Chenoprosopus
Chiropteris                              | Plant     | Cycadophyta                | -272300000    | -2.651e+08   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -290100000    | -2.599e+08   | Chirotherium
Choerosaurus                             | Animal    | Chordata                   | -272300000    | -2.599e+08   | Choerosaurus
Chondronia                               | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Chonetella                               | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | Chonetes
Chonetinella                             | Animal    | Brachiopoda                | -272300000    | -2.599e+08   | <>
Chonetinetes                             | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
Chonosteges                              | Animal    | Brachiopoda                | -272300000    | -268800000   | <>
