Alligator                                | Animal    | Chordata                   | -10300000     | -1800000     | Alligator
Alloblarinella                           | Animal    | Chordata                   | -3200000      | -2588000     | <>
Allocricetus                             | Animal    | Chordata                   | -3200000      | -2588000     | <>
Allohippus                               | Animal    | Chordata                   | -3200000      | -11700       | Allohippus
Allophaiomys                             | Animal    | Chordata                   | -3200000      | -2588000     | <>
Allopliosilpha                           | Animal    | Arthropoda                 | -3600000      | -2588000     | <>
Alnus                                    | Plant     | Spermatophyta              | -10300000     | -1800000     | Alnus
Aloconatica                              | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Alopecias                                | Animal    | Chordata                   | -3600000      | -2588000     | <>
Alopex                                   | Animal    | Chordata                   | -5333000      | -11700       | Arctic_fox
Alopias                                  | Animal    | Chordata                   | -23030000     | -2588000     | Alopias
Alosa                                    | Animal    | Chordata                   | -3600000      | -2588000     | Alosa
Aluralagus                               | Animal    | Chordata                   | -4900000      | -300000      | <>
Alutera                                  | Animal    | Chordata                   | -3600000      | -1806000     | <>
Aluterus                                 | Animal    | Chordata                   | -3600000      | -2588000     | Aluterus
Alvania                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Alvania
Alveinus                                 | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Alveopora                                | Animal    | Cnidaria                   | -11608000     | -2588000     | Alveopora
Alytes                                   | Animal    | Chordata                   | -3600000      | -781000      | Alytes
Amaea                                    | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Amalda                                   | Animal    | Mollusca                   | -5333000      | -2588000     | Amalda
Amauropsis                               | Animal    | Mollusca                   | -3600000      | -2588000     | Amauropsis
Amblychilepas                            | Animal    | Mollusca                   | -3600000      | -2588000     | Amblychilepas
Amblysomus                               | Animal    | Chordata                   | -5333000      | -2588000     | Amblysomus
Amblystoma                               | Animal    | Chordata                   | -10300000     | -1800000     | Amblystoma
Ameghinomya                              | Animal    | Mollusca                   | -15970000     | -2588000     | <>
Amelanchier                              | Plant     | Spermatophyta              | -5333000      | -2588000     | Amelanchier
Americardia                              | Animal    | Mollusca                   | -3600000      | -2588000     | Americardia
Amiantis                                 | Animal    | Mollusca                   | -3600000      | -1806000     | <>
Ammonia                                  | Micro     | Foraminifera               | -5333000      | -2588000     | <>
Ammospermophilus                         | Animal    | Chordata                   | -4900000      | -1800000     | Ammospermophilus
Amnicola                                 | Animal    | Mollusca                   | -3600000      | -2588000     | Amnicola
Amoria                                   | Animal    | Mollusca                   | -3600000      | -2588000     | Amoria_(gastropod)
Amorpha                                  | Plant     | Spermatophyta              | -5333000      | -2588000     | Amorpha
Ampelopsis                               | Plant     | Spermatophyta              | -3600000      | -2588000     | Ampelopsis
Amphibalanus                             | Animal    | Arthropoda                 | -3600000      | -781000      | Amphibalanus
Amphiblestrum                            | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Amphicetus                               | Animal    | Chordata                   | -11608000     | -2588000     | <>
Amphicyon                                | Animal    | Chordata                   | -5333000      | -2588000     | Amphicyon
Amphinasua                               | Animal    | Chordata                   | -3600000      | -2588000     | <>
Amphiroa                                 | Plant     | Rhodophyta                 | -5333000      | -2588000     | Amphiroa
Amphisile                                | Animal    | Chordata                   | -3600000      | -2588000     | <>
Amphisorus                               | Micro     | Foraminifera               | -11608000     | -2588000     | <>
Amphissa                                 | Animal    | Mollusca                   | -3600000      | -2588000     | Amphissa_(gastropod)
Amphistegina                             | Micro     | Foraminifera               | -3600000      | -2588000     | Amphistegina
Amphithalamus                            | Animal    | Mollusca                   | -5333000      | -2588000     | Amphithalamus
Amplibuteo                               | Animal    | Chordata                   | -4900000      | -1800000     | Amplibuteo
Ampliura                                 | Animal    | Arthropoda                 | -5333000      | -2588000     | <>
Ampulla                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Amusium                                  | Animal    | Mollusca                   | -3600000      | -11700       | Amusium
Amussiopecten                            | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Amyclina                                 | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Anabernicula                             | Animal    | Chordata                   | -23030000     | -2588000     | Anabernicula
Anacardites                              | Plant     | Spermatophyta              | -23030000     | -2588000     | <>
Anachis                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Anachis
Anadara                                  | Animal    | Mollusca                   | -11620000     | -2588000     | Anadara
Anancus                                  | Animal    | Chordata                   | -11608000     | -2588000     | Anancus
Anapagurus                               | Animal    | Arthropoda                 | -23030000     | -2588000     | <>
Anapella                                 | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Anas                                     | Animal    | Chordata                   | -3200000      | -2588000     | Anas
Anatina                                  | Animal    | Mollusca                   | -5333000      | -2588000     | Anatina
Anatoma                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Anatoma
Anazola                                  | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Anchitheriomys                           | Animal    | Chordata                   | -5333000      | -2588000     | Anchitheriomys
Anchitherium                             | Animal    | Chordata                   | -23030000     | -2588000     | Anchitherium
Ancilla                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Ancilla_(gastropod)
Ancistrocrania                           | Animal    | Brachiopoda                | -3600000      | -2588000     | Ancistrocrania
