Archegocimex                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archelcana                               | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Archibio                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archicapsa                               | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Archicercopis                            | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archiconiopteryx                         | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archijassus                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archipleciomima                          | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archipsylla                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archiptilia                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archirhyphus                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Archithemis                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Architipula                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Arcomya                                  | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Arcomytilus                              | Animal    | Mollusca                   | -183000000    | -175600000   | <>
Arctica                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Arctica_(bivalve)
Arctoasteroceras                         | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Arctomytiloides                          | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Arctotis                                 | Animal    | Mollusca                   | -189600000    | -183000000   | Arctotis
Ardela                                   | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Ares                                     | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Arhoussia                                | Animal    | Porifera                   | -196500000    | -189600000   | <>
Arieticeras                              | Animal    | Mollusca                   | -183000000    | -182000000   | Arieticeras
Arminisaurus                             | Animal    | Chordata                   | -189600000    | -183000000   | Arminisaurus
Arnioceras                               | Animal    | Mollusca                   | -190800000    | -182700000   | Arnioceras
Artostrobium                             | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Asoella                                  | Animal    | Mollusca                   | -190800000    | -182700000   | <>
Aspidistes                               | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Astacolus                                | Micro     | Foraminifera               | -183000000    | -182000000   | <>
Astarte                                  | Animal    | Mollusca                   | -183000000    | -182000000   | Astarte_(bivalve)
Asteracanthus                            | Animal    | Chordata                   | -228000000    | -174100000   | Asteracanthus
Asterias                                 | Animal    | Echinodermata              | -189600000    | -183000000   | Asterias
Asteroceras                              | Animal    | Mollusca                   | -196500000    | -183000000   | Asteroceras
Asterohelix                              | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -201300000    | -163500000   | <>
Atacamaia                                | Animal    | Chordata                   | -196500000    | -189600000   | <>
Atalantria                               | Micro     | Radiolaria                 | -189600000    | -183000000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Atractites                               | Animal    | Mollusca                   | -189600000    | -183000000   | <>
Atreta                                   | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Attenborosaurus                          | Animal    | Chordata                   | -196500000    | -189600000   | Attenborosaurus
Auchenophorites                          | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Aucklandirhynchia                        | Animal    | Brachiopoda                | -190800000    | -182700000   | <>
Audaxlytoceras                           | Animal    | Mollusca                   | -189600000    | -183000000   | Audaxlytoceras
Aulacothyris                             | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Aulacotrochus                            | Animal    | Mollusca                   | -190800000    | -182700000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Auritulinasporites                       | Plant     | Pteridophyta               | -196500000    | -189600000   | <>
Austaulius                               | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
