Bourguetia                               | Animal    | Mollusca                   | -171600000    | -168400000   | <>
Brachybelus                              | Animal    | Mollusca                   | -174100000    | -170300000   | Brachybelus
Brachyphyllum                            | Plant     | Coniferophyta              | -171600000    | -166100000   | Brachyphyllum
Bradfordia                               | Animal    | Mollusca                   | -171600000    | -167700000   | Bradfordia
Brasilia                                 | Animal    | Mollusca                   | -171600000    | -167700000   | Brasilia
Bredyia                                  | Animal    | Mollusca                   | -171600000    | -168400000   | Bredyia
Brevibelus                               | Animal    | Mollusca                   | -171600000    | -167700000   | Brevibelus
Breviparopus                             | Animal    | Chordata                   | -174100000    | -170300000   | Breviparopus
Brizalina                                | Micro     | Foraminifera               | -171600000    | -168400000   | <>
Brontopodus                              | Animal    | Chordata                   | -174100000    | -145000000   | Brontopodus
Buchia                                   | Animal    | Mollusca                   | -171600000    | -168300000   | <>
Bucklandia                               | Plant     | Cycadophyta                | -174100000    | -168300000   | <>
Bullariscus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bullopora                                | Micro     | Foraminifera               | -175600000    | -171600000   | <>
Burmirhynchia                            | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Bussonius                                | Plant     | Haptophyta                 | -175600000    | -171600000   | <>
Bythoceratina                            | Animal    | Arthropoda                 | -171600000    | -167700000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Cadomella                                | Animal    | Brachiopoda                | -201300000    | -163500000   | <>
Cadomites                                | Animal    | Mollusca                   | -171600000    | -167700000   | Cadomites
Caenocidaris                             | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Cagliceras                               | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Calamites                                | Plant     | Sphenophyta                | -175600000    | -171600000   | Calamites
Calamophylliopsis                        | Animal    | Cnidaria                   | -174100000    | -168400000   | Calamophylliopsis
Calcirhynchia                            | Animal    | Brachiopoda                | -174100000    | -170300000   | <>
Caledorhynchia                           | Animal    | Brachiopoda                | -174100000    | -163500000   | <>
Callialasporites                         | Plant     | Coniferophyta              | -174100000    | -93500000    | <>
Callianassa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | Callianassa
Calliphylloceras                         | Animal    | Mollusca                   | -171600000    | -167700000   | Calliphylloceras
Caloceras                                | Animal    | Mollusca                   | -201300000    | -163500000   | Caloceras
Calvirhynchia                            | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Calyculus                                | Plant     | Haptophyta                 | -175600000    | -171600000   | Calyculus
Camptonectes                             | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Canavarella                              | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Candona                                  | Animal    | Arthropoda                 | -199300000    | -170300000   | Candona
Canoptum                                 | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Capillirhynchia                          | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Carabopteron                             | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Cardinia                                 | Animal    | Mollusca                   | -174100000    | -170300000   | Cardinia
Cardinirhynchia                          | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Cardobairdia                             | Animal    | Arthropoda                 | -171600000    | -167700000   | <>
Carinathilda                             | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Carinolithus                             | Plant     | Haptophyta                 | -175600000    | -171600000   | <>
Carmelopodus                             | Animal    | Chordata                   | -171600000    | -161200000   | Carmelopodus
Catacoeloceras                           | Animal    | Mollusca                   | -182700000    | -166100000   | Catacoeloceras
Catella                                  | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Catulloceras                             | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Caucasella                               | Animal    | Brachiopoda                | -171600000    | -164700000   | <>
Caumontisphinctes                        | Animal    | Mollusca                   | -171600000    | -167700000   | Caumontisphinctes
Cayeuxia                                 | Micro     | Cyanobacteria              | -175600000    | -171600000   | <>
Caytonia                                 | Plant     | Ginkgophyta                | -174100000    | -145000000   | Caytonia
Cenoceras                                | Animal    | Mollusca                   | -171600000    | -167700000   | Cenoceras
Cenosphaera                              | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Ceratomya                                | Animal    | Mollusca                   | -171600000    | -168400000   | <>
Ceratomyopsis                            | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Cercomya                                 | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Cererithyris                             | Animal    | Brachiopoda                | -171600000    | -164700000   | <>
Ceritella                                | Animal    | Mollusca                   | -171600000    | -155700000   | <>
Cerithinella                             | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Cerithium                                | Animal    | Mollusca                   | -174100000    | -170300000   | Cerithium
Cetiosaurus                              | Animal    | Chordata                   | -171600000    | -167700000   | Cetiosaurus
Chacaicosaurus                           | Animal    | Chordata                   | -171600000    | -168400000   | Chacaicosaurus
Changdusaurus                            | Animal    | Chordata                   | -174100000    | -163500000   | Changdusaurus
Changpeipus                              | Animal    | Chordata                   | -174100000    | -163500000   | Changpeipus
Characichnos                             | Animal    | Chordata                   | -174100000    | -170300000   | <>
Chariocrinus                             | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Charlottea                               | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Charltonithyris                          | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Chemnitzia                               | Animal    | Mollusca                   | -180100000    | -170300000   | Chemnitzia
Cheniothyris                             | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Chimaerocoleites                         | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Chironomaptera                           | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Chiton                                   | Animal    | Mollusca                   | -174100000    | -170300000   | Chiton
Chladocrinus                             | Animal    | Echinodermata              | -189600000    | -171600000   | <>
Chlamys                                  | Animal    | Mollusca                   | -171600000    | -167700000   | Chlamys
Choffatiasphinctes                       | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Chomatoseris                             | Animal    | Cnidaria                   | -171600000    | -164700000   | <>
Chondroceras                             | Animal    | Mollusca                   | -171600000    | -167700000   | Chondroceras
Chorolimnobia                            | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Cicatricosisporites                      | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cicatricososporites                      | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cidaris                                  | Animal    | Echinodermata              | -174100000    | -170300000   | Cidaris
Cingulatisporites                        | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Cinguloturris                            | Micro     | Radiolaria                 | -171600000    | -164700000   | <>
Cirpa                                    | Animal    | Brachiopoda                | -171600000    | -168400000   | <>
Cirrus                                   | Animal    | Mollusca                   | -175600000    | -171600000   | Cirrus
Citharina                                | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Cladocoropsis                            | Animal    | Porifera                   | -175600000    | -171600000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -171600000    | -168400000   | Cladophlebis
Cladophyllia                             | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Cladotheca                               | Plant     | Pteridophyta               | -174100000    | -163500000   | <>
Classopollis                             | Plant     | Coniferophyta              | -174100000    | -93500000    | <>
Clathropteris                            | Plant     | Pteridophyta               | -174100000    | -145000000   | <>
Claughtonia                              | Animal    | Mollusca                   | -174100000    | -170300000   | <>
Clausastrea                              | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Clydoniceras                             | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Clypeus                                  | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Coelastarte                              | Animal    | Mollusca                   | -174100000    | -170300000   | <>
Coeloceras                               | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Coelodiscus                              | Animal    | Mollusca                   | -180100000    | -170300000   | Coelodiscus
Coelopus                                 | Animal    | Arthropoda                 | -201300000    | -145000000   | Coelopus
Coelostylina                             | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -174100000    | -145000000   | Coelurosaurichnus
Coleia                                   | Animal    | Arthropoda                 | -201300000    | -145000000   | Coleia
Coleopteron                              | Animal    | Arthropoda                 | -201300000    | -163500000   | <>
Collignonastraea                         | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Comophyllia                              | Animal    | Cnidaria                   | -174100000    | -168300000   | Comophyllia
Complexastraeopsis                       | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Complexastrea                            | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Comptoniaster                            | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Conarothyris                             | Animal    | Brachiopoda                | -175600000    | -171600000   | <>
Concavisporites                          | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Concavissimisporites                     | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Condorchelys                             | Animal    | Chordata                   | -182700000    | -170300000   | Condorchelys
Condorraptor                             | Animal    | Chordata                   | -180100000    | -168400000   | Condorraptor
Confusastrea                             | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Conicospirillina                         | Micro     | Foraminifera               | -175600000    | -171600000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -171600000    | -166100000   | Coniopteris
Conites                                  | Plant     | Cycadeoideophyta           | -174100000    | -163500000   | <>
Conodicoelites                           | Animal    | Mollusca                   | -175600000    | -161200000   | Conodicoelites
Conoglobigerina                          | Micro     | Foraminifera               | -171600000    | -167700000   | <>
Convexastrea                             | Animal    | Cnidaria                   | -171600000    | -168400000   | <>
Coptothyris                              | Animal    | Brachiopoda                | -201300000    | -145000000   | Coptothyris
Corbicella                               | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Corbicellopsis                           | Animal    | Mollusca                   | -174100000    | -170300000   | <>
Corbicula                                | Animal    | Mollusca                   | -174100000    | -170300000   | Corbicula
Corbula                                  | Animal    | Mollusca                   | -171600000    | -167700000   | Corbula
Corbulomima                              | Animal    | Mollusca                   | -174100000    | -163500000   | <>
Cornutella                               | Micro     | Radiolaria                 | -171600000    | -167700000   | Cornutella
Costactaeon                              | Animal    | Mollusca                   | -174100000    | -170300000   | <>
Costatrochus                             | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Costigervillia                           | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Costirhynchia                            | Animal    | Brachiopoda                | -174100000    | -170300000   | <>
Cotylederma                              | Animal    | Echinodermata              | -189600000    | -171600000   | <>
Cracensigillatus                         | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Crepidolithus                            | Plant     | Haptophyta                 | -175600000    | -171600000   | <>
Cretacaeiporites                         | Plant     | Spermatophyta              | -174100000    | -93500000    | <>
Crossostoma                              | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Crucella                                 | Micro     | Radiolaria                 | -171600000    | -167700000   | <>
Crussolia                                | Micro     | Myzozoa                    | -171600000    | -167700000   | <>
Crybelosporites                          | Plant     | Pteridophyta               | -174100000    | -93500000    | <>
Cryptaulax                               | Animal    | Mollusca                   | -171600000    | -167700000   | Cryptaulax
Cryptocoenia                             | Animal    | Cnidaria                   | -182700000    | -170300000   | <>
Cryptomerites                            | Plant     | Coniferophyta              | -174100000    | -163500000   | <>
Cryptorhynchia                           | Animal    | Brachiopoda                | -174100000    | -170300000   | <>
Ctenis                                   | Plant     | Cycadophyta                | -171600000    | -166100000   | Ctenis
Ctenostreon                              | Animal    | Mollusca                   | -171600000    | -167700000   | <>
Cubanirhynchia                           | Animal    | Brachiopoda                | -171600000    | -167700000   | <>
Cucullaea                                | Animal    | Mollusca                   | -171600000    | -164700000   | Cucullaea
Cucumarites                              | Animal    | Echinodermata              | -171600000    | -167700000   | <>
Culmenformosa                            | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Culozoma                                 | Animal    | Echinodermata              | -175600000    | -171600000   | <>
Cupressinocladus                         | Plant     | Coniferophyta              | -174100000    | -163500000   | <>
Cupressinoxylon                          | Plant     | Pinophyta                  | -174100000    | -163500000   | <>
Curtirhynchia                            | Animal    | Brachiopoda                | -174100000    | -170300000   | <>
