Anisocardia                              | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Ankylosuchus                             | Animal    | Chordata                   | -237000000    | -201300000   | Ankylosuchus
Annalepis                                | Plant| Lycophyta                  | -237000000    | -201300000   | <>
Annulariopsis                            | Plant     | Sphenophyta                | -237000000    | -201300000   | <>
Annulicorona                             | Animal    | Chordata                   | -235000000    | -232000000   | Annulicorona
Annulotriassocampe                       | Micro     | Radiolaria                 | -232000000    | -215560000   | <>
Anodontophora                            | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Anolcites                                | Animal    | Mollusca                   | -235000000    | -232000000   | Anolcites
Anomactinella                            | Animal    | Brachiopoda                | -235000000    | -232000000   | <>
Anomalopleuroidea                        | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Anomoepus                                | Animal    | Chordata                   | -237000000    | -201300000   | Anomoepus
Anomopteris                              | Plant     | Pteridophyta               | -237000000    | -228000000   | <>
Anomozamites                             | Plant     | Cycadeoideophyta           | -237000000    | -201300000   | <>
Anomphalus                               | Animal    | Mollusca                   | -235000000    | -232000000   | Anomphalus
Anoptychia                               | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Anshunsaurus                             | Animal    | Chordata                   | -232000000    | -221500000   | Anshunsaurus
Antalis                                  | Animal    | Mollusca                   | -237000000    | -228000000   | Antalis
Antevsia                                 | Plant     | Peltaspermophyta           | -237000000    | -201300000   | <>
Antholithes                              | Plant     | Pteridospermophyta         | -237000000    | -228000000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -237000000    | -201300000   | <>
Anticonulus                              | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Antijanira                               | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Antiquilima                              | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -235000000    | -232000000   | Antrimpos
Anusoblatta                              | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Apachesaurus                             | Animal    | Chordata                   | -237000000    | -208500000   | Apachesaurus
Aparimella                               | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Apatopus                                 | Animal    | Chordata                   | -232000000    | -221500000   | Apatopus
Apertirhynchella                         | Animal    | Brachiopoda                | -232000000    | -221500000   | <>
Apheloscyta                              | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -237000000    | -201300000   | <>
Apleuroceras                             | Animal    | Mollusca                   | -237000000    | -228000000   | Apleuroceras
Aplococeras                              | Animal    | Mollusca                   | -242000000    | -235000000   | Aplococeras
Arachana                                 | Animal    | Chordata                   | -237000000    | -201300000   | Arachana
Araiophyllum                             | Animal    | Cnidaria                   | -237000000    | -228000000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -237000000    | -174100000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -237000000    | -201300000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -237000000    | -201300000   | <>
Arca                                     | Animal    | Mollusca                   | -235000000    | -232000000   | Arca
Arcavicula                               | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Arcestes                                 | Animal    | Mollusca                   | -232000000    | -221500000   | Arcestes
Archaeoacanthocircus                     | Micro     | Radiolaria                 | -232000000    | -221500000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -235000000    | -232000000   | <>
Archaeocidaris                           | Animal    | Echinodermata              | -252170000    | -201300000   | Archaeocidaris
Archaeolithoporella                      | Plant     | Rhodophyta                 | -242000000    | -228000000   | <>
Archaeopalinurus                         | Animal    | Arthropoda                 | -237000000    | -201300000   | <>
Archaeosemantis                          | Micro     | Radiolaria                 | -237000000    | -228000000   | <>
Archaeosemionotus                        | Animal    | Chordata                   | -242000000    | -235000000   | <>
Archaeospongoprunum                      | Micro     | Radiolaria                 | -237000000    | -228000000   | <>
Archetingis                              | Animal    | Arthropoda                 | -242000000    | -235000000   | <>
Arctacanthus                             | Animal    | Chordata                   | -237000000    | -228000000   | Arctacanthus
Arcticopora                              | Animal    | Bryozoa                    | -232000000    | -215560000   | <>
Arctoarpadites                           | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Arctogymnites                            | Animal    | Mollusca                   | -242000000    | -235000000   | Arctogymnites
Arctophyllites                           | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Arctoptychites                           | Animal    | Mollusca                   | -242000000    | -235000000   | Arctoptychites
Arctosaurus                              | Animal    | Chordata                   | -237000000    | -201300000   | Arctosaurus
Arctosirenites                           | Animal    | Mollusca                   | -232000000    | -221500000   | Arctosirenites
Arctotraversodon                         | Animal    | Chordata                   | -237000000    | -228000000   | Arctotraversodon
Arctotropites                            | Animal    | Mollusca                   | -232000000    | -221500000   | <>
Arenovidalina                            | Micro     | Foraminifera               | -235000000    | -232000000   | <>
Arganasuchus                             | Animal    | Chordata                   | -237000000    | -228000000   | Arganasuchus
Arganodus                                | Animal    | Chordata                   | -237000000    | -201300000   | Arganodus
