Ammonia                                  | Micro     | Foraminifera               | -55800000     | -37200000    | Ammonia
Amotapas                                 | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Amotapus                                 | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Ampelopsis                               | Plant     | Spermatophyta              | -48600000     | -37200000    | Ampelopsis
Ampheristus                              | Animal    | Chordata                   | -43000000     | -37200000    | Ampheristus
Amphibolus                               | Animal    | Arthropoda                 | -48600000     | -40400000    | Amphibolus
Amphidolops                              | Animal    | Chordata                   | -41300000     | -38000000    | <>
Amphidromus                              | Animal    | Mollusca                   | -41300000     | -38000000    | Amphidromus
Amphilemur                               | Animal    | Chordata                   | -40400000     | -37200000    | <>
Amphimorphina                            | Micro     | Foraminifera               | -41300000     | -38000000    | <>
Amphiperatherium                         | Animal    | Chordata                   | -41300000     | -38000000    | <>
Amphirhagatherium                        | Animal    | Chordata                   | -41300000     | -38000000    | Amphirhagatherium
Amphiroa                                 | Plant     | Rhodophyta                 | -48600000     | -33900000    | Amphiroa
Amphissa                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Amphissa
Amphistegina                             | Micro     | Foraminifera               | -47800000     | -33900000    | Amphistegina
Amphitragulus                            | Animal    | Chordata                   | -56000000     | -33900000    | Amphitragulus
Amplogladius                             | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Ampullina                                | Animal    | Mollusca                   | -41300000     | -38000000    | Ampullina
Ampullinopsis                            | Animal    | Mollusca                   | -48600000     | -37200000    | Ampullinopsis
Amuletum                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Amusium                                  | Animal    | Mollusca                   | -41300000     | -33900000    | Amusium
Amyda                                    | Animal    | Chordata                   | -40400000     | -37200000    | Amyda
Amydrocarcinus                           | Animal    | Arthropoda                 | -55800000     | -37200000    | <>
Amygdalum                                | Animal    | Mollusca                   | -41300000     | -38000000    | Amygdalum
Amynodon                                 | Animal    | Chordata                   | -40400000     | -37200000    | <>
Amynodontopsis                           | Animal    | Chordata                   | -40400000     | -37200000    | <>
Anacardites                              | Plant     | Spermatophyta              | -46200000     | -40400000    | <>
Anacardium                               | Plant     | Spermatophyta              | -55800000     | -23030000    | Anacardium
Anachis                                  | Animal    | Mollusca                   | -41300000     | -38000000    | Anachis
Anacolosidites                           | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Anadara                                  | Animal    | Mollusca                   | -41300000     | -38000000    | Anadara
Anadianomys                              | Animal    | Chordata                   | -48600000     | -37200000    | <>
Anagalopsis                              | Animal    | Chordata                   | -41300000     | -38000000    | <>
Anatolikos                               | Animal    | Arthropoda                 | -48600000     | -37200000    | Anatolikos
Anazola                                  | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Anchilophus                              | Animal    | Chordata                   | -48600000     | -40400000    | <>
Anchomomys                               | Animal    | Chordata                   | -41300000     | -38000000    | Anchomomys
Ancilla                                  | Animal    | Mollusca                   | -41300000     | -33900000    | Ancilla
Ancillarina                              | Animal    | Mollusca                   | -41300000     | -38000000    | <>
Ancillina                                | Animal    | Mollusca                   | -43000000     | -37200000    | Ancillina
Ancistrolepis                            | Animal    | Mollusca                   | -41300000     | -33900000    | Ancistrolepis
Anconia                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Anconia
Ancyrona                                 | Animal    | Arthropoda                 | -48600000     | -40400000    | <>
Andersomys                               | Animal    | Chordata                   | -48600000     | -37200000    | <>
Andicula                                 | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Andrewsarchus                            | Animal    | Chordata                   | -48600000     | -37200000    | Andrewsarchus
Anechinocardium                          | Animal    | Mollusca                   | -41300000     | -23030000    | <>
Anemorhysis                              | Animal    | Chordata                   | -56000000     | -33900000    | <>
Aneurus                                  | Animal    | Arthropoda                 | -48600000     | -40400000    | Aneurus
Anevrina                                 | Animal    | Arthropoda                 | -66000000     | -37200000    | Anevrina
Angaria                                  | Animal    | Mollusca                   | -41300000     | -38000000    | Angaria
Angelarctocyon                           | Animal    | Chordata                   | -40400000     | -37200000    | Angelarctocyon
Angelocabrerus                           | Animal    | Chordata                   | -41300000     | -38000000    | <>
Angoumeius                               | Animal    | Chordata                   | -47800000     | -38000000    | Angoumeius
Anguis                                   | Animal    | Chordata                   | -41300000     | -38000000    | Anguis
Angulogerina                             | Micro     | Foraminifera               | -55800000     | -37200000    | <>
Angulus                                  | Animal    | Mollusca                   | -41300000     | -38000000    | Angulus
Anisaster                                | Animal    | Echinodermata              | -41300000     | -38000000    | <>
Anisolambda                              | Animal    | Chordata                   | -41300000     | -38000000    | <>
Anisotemnus                              | Animal    | Chordata                   | -41300000     | -38000000    | <>
Anisus                                   | Animal    | Mollusca                   | -56000000     | -33900000    | Anisus
Ankylodon                                | Animal    | Chordata                   | -40400000     | -37200000    | <>
Annoticyathus                            | Animal    | Cnidaria                   | -56000000     | -33900000    | <>
Anodonta                                 | Animal    | Mollusca                   | -41300000     | -38000000    | Anodonta
Anodontia                                | Animal    | Mollusca                   | -41300000     | -38000000    | Anodontia
