Australonema                             | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Australophyllum                          | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Australospirifer                         | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Australostrophia                         | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Australoxa                               | Animal    | Mollusca                   | -409100000    | -383700000   | <>
Austronoplia                             | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -402500000    | -391900000   | Aviculopecten
Bactrites                                | Animal    | Mollusca                   | -407600000    | -387700000   | <>
Bactrocrinites                           | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Bainbridgia                              | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Bainella                                 | Animal    | Arthropoda                 | -402500000    | -391900000   | Bainella
Bairdia                                  | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Bairdiohealdites                         | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Balbinipleura                            | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Baliactis                                | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Ballistocucumis                          | Animal    | Echinodermata              | -402500000    | -391900000   | <>
Baragwanathia                            | Plant     | Lycopodophyta              | -407600000    | -393300000   | Baragwanathia
Barocospira                              | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Barrandeicardia                          | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Barrandeophyllum                         | Animal    | Cnidaria                   | -402500000    | -387700000   | <>
Barroisocaulus                           | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Barsassia                                | Plant     | Psilophytophyta            | -402500000    | -387700000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Basidechenella                           | Animal    | Arthropoda                 | -402500000    | -387700000   | <>
Bassotrochus                             | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Beachia                                  | Animal    | Brachiopoda                | -419200000    | -393300000   | <>
Beckmannia                               | Animal    | Brachiopoda                | -402500000    | -391900000   | Beckmannia
Beecheroscapha                           | Animal    | Arthropoda                 | -407600000    | -387700000   | <>
Beichuania                               | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belenopyge                               | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Belinurus                                | Animal    | Arthropoda                 | -409100000    | -402500000   | Belinurus
Bellerophon                              | Animal    | Mollusca                   | -407600000    | -393300000   | Bellerophon_(genus)
Belodella                                | Animal    | Chordata                   | -402500000    | -391900000   | <>
Bembexia                                 | Animal    | Mollusca                   | -407600000    | -393300000   | Bembexia
Bensbergia                               | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Berounella                               | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -409100000    | -383700000   | <>
Bicarina                                 | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Biconostrophia                           | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Bicorium                                 | Plant     | Rhodophyta                 | -410800000    | -393300000   | <>
Bifariostroma                            | Animal    | Porifera                   | -407600000    | -393300000   | <>
Bifida                                   | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Biformispira                             | Animal    | Mollusca                   | -419200000    | -393300000   | <>
Bigeyina                                 | Animal    | Bryozoa                    | -407600000    | -393300000   | <>
Billingsastraea                          | Animal    | Cnidaria                   | -407600000    | -387700000   | <>
Biseptum                                 | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Bisinocoelia                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Bisphaera                                | Micro     | Foraminifera               | -402500000    | -391900000   | <>
Blasaria                                 | Plant     | Lycopodophyta              | -409100000    | -402500000   | <>
Blothrophyllum                           | Animal    | Cnidaria                   | -419200000    | -393300000   | <>
Boardmanella                             | Animal    | Bryozoa                    | -407600000    | -387700000   | <>
Bogoslovskya                             | Animal    | Mollusca                   | -409100000    | -391900000   | Bogoslovskya
Bohemicardia                             | Animal    | Mollusca                   | -407600000    | -393300000   | <>
